name,cpu_time_us,package_energy,core_energy
MergeSort,16910433,18200337,1135928
FrogJump,978230,1804015,189871
MergeSort,6172320,18528293,1345329
FrogJump,986614,1808455,175055
MergeSort,6304087,17905034,2939377
FrogJump,1011779,1755829,189595
MergeSort,6304325,19556346,1440554
FrogJump,1002439,1762985,222218
MergeSort,6169235,18760947,1434343
FrogJump,1784068,1791717,172233
MergeSort,6089454,18543520,1495284
FrogJump,2718663,1819745,159751
MergeSort,6337409,18990259,1654379
FrogJump,994270,1737551,219150
MergeSort,5939968,18017059,1253887
FrogJump,965840,1763687,211598
MergeSort,6448929,18551149,4042790
FrogJump,938719,1950537,263018
MergeSort,6431147,18261903,1860286
FrogJump,983628,1738450,183676
