name,cpu_time_us,package_energy,core_energy
MergeSort,18051517,21047999,4403718
FrogJump,1112602,2122693,205357
Life - sequential generation,141675,566423,38084
Life - parallel iterators generation,182852,234531,35658
Life - parallel bridge generation,5338857,4728943,583390
NBody parallel iterator,32946,114908,18218
NBody parallel reduce,184711,292984,57461
NBody sequential,73526,340467,120813
QuickSort,86940,116373,16158
Travelling Salesman Problem,3884,12451,1648
MergeSort,18691902,21045985,4343739
FrogJump,1141994,2231605,234852
Life - sequential generation,145387,597549,40663
Life - parallel iterators generation,186868,250384,33705
Life - parallel bridge generation,5424035,4738571,584610
NBody parallel iterator,40067,107569,16708
NBody parallel reduce,155434,265108,46583
NBody sequential,73639,328856,19393
QuickSort,86704,151650,14465
Travelling Salesman Problem,5584,9720,1877
MergeSort,17693054,21003995,3288206
FrogJump,1124510,2144543,233082
Life - sequential generation,147584,624372,42875
Life - parallel iterators generation,174926,248416,31676
Life - parallel bridge generation,5636595,5006608,645688
NBody parallel iterator,38344,133691,17547
NBody parallel reduce,158560,250124,48033
NBody sequential,71957,325011,19851
QuickSort,86312,125634,13930
Travelling Salesman Problem,7418,15700,1861
MergeSort,17884020,20491844,3005948
FrogJump,2014018,2275380,241091
Life - sequential generation,137070,657132,46873
Life - parallel iterators generation,176368,245013,32515
Life - parallel bridge generation,5466155,5228718,635816
NBody parallel iterator,44831,113581,14999
NBody parallel reduce,155667,244967,48063
NBody sequential,73695,342130,21850
QuickSort,83784,143776,11459
Travelling Salesman Problem,7253,12115,1556
MergeSort,17932309,20567754,3299665
FrogJump,1148181,2239677,266283
Life - sequential generation,136722,619078,186346
Life - parallel iterators generation,179125,233234,32164
Life - parallel bridge generation,5273716,4929280,609619
NBody parallel iterator,50050,132561,18218
NBody parallel reduce,147461,280823,39931
NBody sequential,73522,353757,22261
QuickSort,82965,96461,10269
Travelling Salesman Problem,5477,0,1327
MergeSort,17904293,20920412,1762177
FrogJump,1101808,2112302,227848
Life - sequential generation,150714,595779,40464
Life - parallel iterators generation,171720,247607,32362
Life - parallel bridge generation,5275791,4895087,612884
NBody parallel iterator,35569,107279,17364
NBody parallel reduce,164159,271760,43409
NBody sequential,71209,325346,19972
QuickSort,86026,125543,17349
Travelling Salesman Problem,5300,16844,1343
MergeSort,17932504,21723074,4106522
FrogJump,1153329,2308276,235965
Life - sequential generation,148396,608886,42829
Life - parallel iterators generation,189790,235492,32209
Life - parallel bridge generation,5299367,4903677,613890
NBody parallel iterator,49631,97148,14419
NBody parallel reduce,155397,265901,46766
NBody sequential,72781,330076,21392
QuickSort,86793,100581,10940
Travelling Salesman Problem,4333,14617,1755
MergeSort,17847478,20481988,2232932
FrogJump,1146542,2153621,236285
Life - sequential generation,145057,558717,36466
Life - parallel iterators generation,179345,238513,33843
Life - parallel bridge generation,5324228,4953312,615081
NBody parallel iterator,46251,109247,18936
NBody parallel reduce,162870,267336,50718
NBody sequential,74222,337735,22170
QuickSort,86877,161048,15197
Travelling Salesman Problem,5382,15731,1480
MergeSort,17837447,20731548,2403837
FrogJump,1136088,5282304,694956
Life - sequential generation,135188,611800,44233
Life - parallel iterators generation,176540,234424,30546
Life - parallel bridge generation,5338629,5049910,632353
NBody parallel iterator,47485,95942,20415
NBody parallel reduce,168185,260530,47773
NBody sequential,72169,335417,117349
QuickSort,84606,115473,20003
Travelling Salesman Problem,6904,14450,1800
MergeSort,17838226,20674209,2996046
