name,cpu_time_us,package_energy,core_energy
MergeSort,63187510,129021947,15707148
FrogJump,6145469,26937370,3131007
Life - sequential generation,1822948,8018412,976691
Life - parallel iterators generation,7165791,6135605,608986
Life - parallel bridge generation,1410978211,1246921979,113989774
NBody parallel iterator,608330,544554,52938
NBody parallel reduce,1992712,1822444,152862
NBody sequential,759792,3604056,426580
QuickSort,246213,810911,88051
Travelling Salesman Problem,18111,201660,19049
MergeSort,63996304,112763139,13234103
FrogJump,9112842,28874743,3469581
Life - sequential generation,1942434,7707378,988594
Life - parallel iterators generation,7060612,6278853,630268
Life - parallel bridge generation,1462654590,1163168409,111735074
NBody parallel iterator,416126,444152,45517
NBody parallel reduce,1241545,2065913,200920
NBody sequential,762519,3994314,440732
QuickSort,243509,847288,91785
Travelling Salesman Problem,19340,175720,20150
MergeSort,67294662,123149465,13982700
FrogJump,9417190,30762983,3667303
Life - sequential generation,1873398,8980323,1003741
Life - parallel iterators generation,6818360,6277939,641254
Life - parallel bridge generation,1559664883,1248892555,123602213
NBody parallel iterator,204207,435973,43161
NBody parallel reduce,1448332,1730526,162012
NBody sequential,768272,3563651,436784
QuickSort,228620,773863,91005
Travelling Salesman Problem,24736,90332,9731
MergeSort,69049924,116301460,13617459
FrogJump,7206779,27122550,3224353
Life - sequential generation,1746848,8054789,1003206
Life - parallel iterators generation,7508393,6494185,662842
Life - parallel bridge generation,1451704973,1272851173,125642713
NBody parallel iterator,473008,457457,44523
NBody parallel reduce,1671074,1604671,150490
NBody sequential,836851,3752248,436601
QuickSort,235434,839597,90790
Travelling Salesman Problem,19413,91796,9960
MergeSort,68809625,130239108,22798117
FrogJump,7443460,28003835,3273068
Life - sequential generation,1801554,8117289,1006250
Life - parallel iterators generation,6367866,6370833,654029
Life - parallel bridge generation,1597284343,1337970024,122917202
NBody parallel iterator,393596,455016,44080
NBody parallel reduce,1166753,1618281,147110
NBody sequential,746927,3996572,430725
QuickSort,242005,938841,101041
Travelling Salesman Problem,19713,272400,29636
MergeSort,67512441,132181058,21073363
FrogJump,7203843,29434678,3380137
Life - sequential generation,1833437,8134928,986513
Life - parallel iterators generation,7181469,6326034,661588
Life - parallel bridge generation,1693571065,1232219990,117048779
NBody parallel iterator,260654,448729,43513
NBody parallel reduce,1396337,1737301,157957
NBody sequential,721318,3640310,430527
QuickSort,244490,813902,88893
Travelling Salesman Problem,19916,179809,19522
MergeSort,65952736,120788876,13560772
FrogJump,6947187,29217394,3422167
Life - sequential generation,1760561,8536905,1001568
Life - parallel iterators generation,7036350,6196639,626138
Life - parallel bridge generation,1438963319,1232529865,120766587
NBody parallel iterator,644296,396361,45242
NBody parallel reduce,1692640,1623042,161614
NBody sequential,740272,3588125,445108
QuickSort,253229,826292,90056
Travelling Salesman Problem,19755,168334,19477
MergeSort,66683173,114105115,13446436
FrogJump,11175405,29586167,3512406
Life - sequential generation,1789468,8148722,991486
Life - parallel iterators generation,7272222,6172103,625602
Life - parallel bridge generation,1899881390,1196628406,108342421
NBody parallel iterator,146012,439635,45609
NBody parallel reduce,1513298,1564511,135802
NBody sequential,809023,3586295,431613
QuickSort,247068,806456,89413
Travelling Salesman Problem,17908,171570,19629
MergeSort,66861076,122472770,13846331
FrogJump,9353926,29248155,3454143
Life - sequential generation,1851494,7939616,1003925
Life - parallel iterators generation,6780902,5697007,565886
Life - parallel bridge generation,1406846076,1159204247,104640571
NBody parallel iterator,204558,439513,44829
NBody parallel reduce,1277218,1631771,147492
NBody sequential,764527,3977407,434413
QuickSort,244458,806456,90561
Travelling Salesman Problem,20764,87158,9838
MergeSort,69763568,111799701,13053302
FrogJump,12432613,28711962,3365159
Life - sequential generation,1817460,8114359,1000804
Life - parallel iterators generation,6901392,6388899,648827
Life - parallel bridge generation,1381148690,1186710341,107660730
NBody parallel iterator,147721,437010,44645
NBody parallel reduce,1792701,1613522,144983
NBody sequential,756344,3917776,418485
QuickSort,243259,750365,78917
Travelling Salesman Problem,24346,166687,19186
MergeSort,67275196,120645260,13772952
FrogJump,11546140,29100634,3316719
Life - sequential generation,1889725,8263712,996519
Life - parallel iterators generation,6764103,5888046,588744
Life - parallel bridge generation,1419632706,1336687435,120797294
NBody parallel iterator,136872,448607,45777
NBody parallel reduce,1492884,1631160,146329
NBody sequential,834203,3693472,433418
QuickSort,228124,839780,89734
Travelling Salesman Problem,18233,88134,9853
MergeSort,68941518,116792547,13089364
FrogJump,10531877,28901416,3358135
Life - sequential generation,1800051,9044350,992251
Life - parallel iterators generation,6667203,6291061,626733
Life - parallel bridge generation,1540915214,1617451609,148579279
NBody parallel iterator,225386,431639,44783
NBody parallel reduce,1334549,1718990,149160
NBody sequential,802727,3633657,421499
QuickSort,243745,837095,89627
Travelling Salesman Problem,18330,82092,9777
MergeSort,67087268,114980297,13533569
FrogJump,7188721,28128041,3297426
Life - sequential generation,1844127,8191141,1005103
Life - parallel iterators generation,7122488,6313094,631737
Life - parallel bridge generation,1570743996,1355700082,129002195
NBody parallel iterator,339919,423156,44355
NBody parallel reduce,1571173,1534847,148333
NBody sequential,810119,3833730,431658
QuickSort,223885,897885,100613
Travelling Salesman Problem,35290,180358,20028
MergeSort,69242210,112925675,13458278
FrogJump,11118917,29089769,3361028
Life - sequential generation,1816122,8394998,999870
Life - parallel iterators generation,6862783,6538069,651275
Life - parallel bridge generation,1397522612,1268339283,115689695
NBody parallel iterator,253886,539854,55876
NBody parallel reduce,1577494,1742489,163374
NBody sequential,830351,4060414,436815
QuickSort,246090,872983,91494
Travelling Salesman Problem,18967,168884,20074
MergeSort,68059606,135292256,18871341
FrogJump,12167507,27466971,3261149
Life - sequential generation,1924994,7986796,985779
Life - parallel iterators generation,6937744,6288863,652392
Life - parallel bridge generation,1512018316,1276774197,120564107
NBody parallel iterator,355933,443236,56411
NBody parallel reduce,1801129,1632137,147906
NBody sequential,810012,3561087,431490
QuickSort,245443,825864,92581
Travelling Salesman Problem,21539,88806,9762
MergeSort,67798396,113115128,12950394
FrogJump,8104385,28658008,3251250
Life - sequential generation,1877630,8286600,993046
Life - parallel iterators generation,7079652,6614851,654013
Life - parallel bridge generation,1482267075,1603712875,146449106
NBody parallel iterator,349345,526671,45533
NBody parallel reduce,1562468,1743770,158110
NBody sequential,789977,4006704,433847
QuickSort,242012,806700,103750
Travelling Salesman Problem,23031,93567,9990
MergeSort,66756253,119317809,13061962
FrogJump,10276877,28640490,3315005
Life - sequential generation,1770954,8304605,1001018
Life - parallel iterators generation,6985264,6478866,647832
Life - parallel bridge generation,1470984566,1246797223,113264569
NBody parallel iterator,365166,461608,44370
NBody parallel reduce,1172768,1670101,156626
NBody sequential,831966,3681997,433664
QuickSort,266723,789793,93024
Travelling Salesman Problem,17377,167541,19829
MergeSort,66403316,122194939,14008313
FrogJump,7255061,28918688,3319366
Life - sequential generation,1819998,8359720,1001401
Life - parallel iterators generation,6790476,6498274,645109
Life - parallel bridge generation,1981889981,1244361133,120138416
NBody parallel iterator,390755,340331,45625
NBody parallel reduce,1232518,1547238,140240
NBody sequential,769017,3689749,428216
QuickSort,246833,832700,92917
Travelling Salesman Problem,19024,90820,9823
MergeSort,65449197,121842888,13726027
FrogJump,14780135,29422044,3383197
Life - sequential generation,1721234,8229044,994883
Life - parallel iterators generation,7070508,6265854,642141
Life - parallel bridge generation,1523879804,1245618821,120463157
NBody parallel iterator,399484,453856,45502
NBody parallel reduce,1652984,1708064,162578
NBody sequential,769090,3642202,432485
QuickSort,231846,914244,103152
Travelling Salesman Problem,19343,170409,9930
MergeSort,67495834,114717480,13891267
FrogJump,7606990,28822985,3371003
Life - sequential generation,1807518,8360147,997101
Life - parallel iterators generation,6874512,6333174,642600
Life - parallel bridge generation,1995736549,1272186441,123021853
NBody parallel iterator,176683,434569,34654
NBody parallel reduce,1419007,1607479,146865
NBody sequential,791990,3704520,424651
QuickSort,244916,912595,103780
Travelling Salesman Problem,17481,67504,10067
MergeSort,64642184,126110883,14707829
FrogJump,17535015,29392381,3436793
Life - sequential generation,1928821,8356301,997973
Life - parallel iterators generation,7057331,6419539,647266
Life - parallel bridge generation,1762471297,1251445405,121331264
NBody parallel iterator,353081,462584,43299
NBody parallel reduce,1516114,1674984,146299
NBody sequential,780460,3594778,442109
QuickSort,238402,826170,103612
Travelling Salesman Problem,21101,181213,19477
MergeSort,67918659,118034854,13775416
FrogJump,7338893,28311817,3378286
Life - sequential generation,1842099,8342569,1003634
Life - parallel iterators generation,6996109,6298324,632150
Life - parallel bridge generation,1415383007,1247150738,120269062
NBody parallel iterator,2902,554198,45639
NBody parallel reduce,1207066,1626216,146727
NBody sequential,833781,3626272,422555
QuickSort,250435,914671,114322
Travelling Salesman Problem,20773,104798,9792
MergeSort,67590665,129342076,14406649
FrogJump,7359622,28631640,3310078
Life - sequential generation,1898325,8145426,995755
Life - parallel iterators generation,6753920,6307967,622449
Life - parallel bridge generation,1416577103,1163590588,104781867
NBody parallel iterator,362520,430113,42350
NBody parallel reduce,1601222,1732600,148732
NBody sequential,813395,3550528,412151
QuickSort,237999,836850,90040
Travelling Salesman Problem,19481,89356,9608
MergeSort,69993843,131286896,23092352
FrogJump,10991952,30532270,3518449
Life - sequential generation,1930485,8337930,981924
Life - parallel iterators generation,7276162,5687485,566666
Life - parallel bridge generation,1998556614,1490979765,133664701
NBody parallel iterator,337806,439086,41570
NBody parallel reduce,1451540,1620296,153230
NBody sequential,799038,3950125,414538
QuickSort,230840,857542,90805
Travelling Salesman Problem,18672,85754,9730
MergeSort,67074836,133644189,23334030
FrogJump,7151450,30246138,3415496
Life - sequential generation,1781538,8409464,987325
Life - parallel iterators generation,7130446,6489729,616958
Life - parallel bridge generation,1482988001,1247323833,111173456
NBody parallel iterator,205252,539977,41402
NBody parallel reduce,2051761,1613094,145075
NBody sequential,797959,3628470,424376
QuickSort,236825,868711,92198
