name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,136046,17085,1480770,132238
FrogJump,dahu-10.grenoble.grid5000.fr,1904581,152998,12948270,1265876
Life - sequential generation,dahu-10.grenoble.grid5000.fr,74496,74571,4211293,395138
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,3024710,48160,5031848,409183
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,182469,3323,373839,26821
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1019896,16282,1896175,133753
NBody sequential,dahu-10.grenoble.grid5000.fr,35897,35971,2434991,234763
QuickSort,dahu-10.grenoble.grid5000.fr,197977,8078,718931,59823
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,7952,1006,72753,7650
MergeSort,dahu-10.grenoble.grid5000.fr,136670,13125,982664,90147
FrogJump,dahu-10.grenoble.grid5000.fr,1972382,175472,14001429,1340693
Life - sequential generation,dahu-10.grenoble.grid5000.fr,74765,74846,4078786,329562
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,2982465,47811,5129443,417660
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,177640,3099,374449,26377
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1052299,17003,2091243,153168
NBody sequential,dahu-10.grenoble.grid5000.fr,35166,35312,2541863,245581
QuickSort,dahu-10.grenoble.grid5000.fr,205202,7924,755125,65682
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8048,1090,99487,7022
MergeSort,dahu-10.grenoble.grid5000.fr,114161,11783,1001463,89275
FrogJump,dahu-10.grenoble.grid5000.fr,1990080,179369,14911522,1451159
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72616,72692,4145985,392261
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,3027029,48537,5195849,417429
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,179589,3105,354125,26148
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1082094,17222,2005610,142351
NBody sequential,dahu-10.grenoble.grid5000.fr,34459,34531,2289850,233141
QuickSort,dahu-10.grenoble.grid5000.fr,192512,7312,616148,56870
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8770,1163,158569,14780
MergeSort,dahu-10.grenoble.grid5000.fr,124647,11932,887083,84578
FrogJump,dahu-10.grenoble.grid5000.fr,1855723,167651,13613064,1349092
Life - sequential generation,dahu-10.grenoble.grid5000.fr,74731,74852,4938281,526106
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,3015364,48140,5187792,419174
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,176192,3098,322387,26056
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1052673,16712,1987422,142213
NBody sequential,dahu-10.grenoble.grid5000.fr,36015,36087,2629083,251532
QuickSort,dahu-10.grenoble.grid5000.fr,200156,7244,641600,64780
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8226,1105,174011,15331
MergeSort,dahu-10.grenoble.grid5000.fr,121027,11812,1000424,89551
FrogJump,dahu-10.grenoble.grid5000.fr,1871201,164029,13898463,1342330
Life - sequential generation,dahu-10.grenoble.grid5000.fr,74051,74172,4399952,517553
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,3004047,48245,5214769,416038
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,176944,3128,438659,26683
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1015525,16231,2000239,142106
NBody sequential,dahu-10.grenoble.grid5000.fr,37381,37458,2746392,258891
QuickSort,dahu-10.grenoble.grid5000.fr,202231,7472,738158,64306
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8464,1159,77027,7512
MergeSort,dahu-10.grenoble.grid5000.fr,125635,13054,1088742,98149
FrogJump,dahu-10.grenoble.grid5000.fr,1948939,175843,14641075,1417423
Life - sequential generation,dahu-10.grenoble.grid5000.fr,74122,74232,4235829,379669
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,2989860,48093,5120836,410499
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,177437,3039,341491,25903
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1067231,17003,2001521,142489
NBody sequential,dahu-10.grenoble.grid5000.fr,37613,37687,2450860,245060
QuickSort,dahu-10.grenoble.grid5000.fr,202779,7905,739866,57053
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,9521,1289,101502,6870
MergeSort,dahu-10.grenoble.grid5000.fr,151086,15766,1331051,122645
FrogJump,dahu-10.grenoble.grid5000.fr,1983460,201860,16407062,1634484
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73287,73341,4399281,509826
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,2962833,46884,5132677,385821
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,172093,2989,351745,25382
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,992315,15987,1921687,126531
NBody sequential,dahu-10.grenoble.grid5000.fr,33669,33740,2253656,225369
QuickSort,dahu-10.grenoble.grid5000.fr,188925,8316,792966,63984
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8929,1441,88379,7895
MergeSort,dahu-10.grenoble.grid5000.fr,124407,14292,1279293,120212
FrogJump,dahu-10.grenoble.grid5000.fr,1929363,180685,14229699,1395987
Life - sequential generation,dahu-10.grenoble.grid5000.fr,79657,79741,4240468,328874
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,2959721,47648,5064684,383173
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,175317,3226,306700,25704
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1014826,16231,1912166,126270
