name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,190981,17441,1706050,137195
FrogJump,dahu-10.grenoble.grid5000.fr,5417964,407004,36847745,3303270
Life - sequential generation,dahu-10.grenoble.grid5000.fr,838591,96040,7616496,696379
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1602540,31970,3568656,280694
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,156609,2645,349120,24189
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,578610,11010,1344357,91035
NBody sequential,dahu-10.grenoble.grid5000.fr,483807,48484,3549551,356781
QuickSort,dahu-10.grenoble.grid5000.fr,125797,7930,669493,60175
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,13592,1284,163818,14964
MergeSort,dahu-10.grenoble.grid5000.fr,179721,13602,1120908,98807
FrogJump,dahu-10.grenoble.grid5000.fr,2578443,205335,17367449,1622106
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1041581,101601,7219281,742448
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1547929,27872,3173942,251960
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,164332,2797,361449,25964
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,570174,11147,1456417,92228
NBody sequential,dahu-10.grenoble.grid5000.fr,506594,48473,3480277,350875
QuickSort,dahu-10.grenoble.grid5000.fr,125042,7987,696715,60451
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,17020,1480,60730,7620
MergeSort,dahu-10.grenoble.grid5000.fr,195993,13278,985776,97660
FrogJump,dahu-10.grenoble.grid5000.fr,2510664,196929,16789325,1548191
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1019145,102119,8701455,741851
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1550881,27537,3208793,251440
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,158157,2780,356749,25995
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,535790,9469,1256223,83614
NBody sequential,dahu-10.grenoble.grid5000.fr,499934,48399,3416678,349161
QuickSort,dahu-10.grenoble.grid5000.fr,131440,8468,680174,59915
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,15165,1467,175720,14933
MergeSort,dahu-10.grenoble.grid5000.fr,169968,12548,1109433,89781
FrogJump,dahu-10.grenoble.grid5000.fr,2672535,214192,18074233,1648116
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1011306,102020,8677345,733864
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1512581,25888,2998040,228139
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,153788,2626,336547,25505
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,542708,9980,1273679,83553
NBody sequential,dahu-10.grenoble.grid5000.fr,493622,48345,3495352,355970
QuickSort,dahu-10.grenoble.grid5000.fr,128425,8512,705870,60374
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,18767,1576,86731,6961
MergeSort,dahu-10.grenoble.grid5000.fr,173956,12945,1075742,97247
FrogJump,dahu-10.grenoble.grid5000.fr,2790996,221039,18573622,1689273
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1016513,101942,7385784,728678
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1466575,26117,2963066,208402
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,151044,2641,362487,24204
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,539037,9920,1232357,70258
NBody sequential,dahu-10.grenoble.grid5000.fr,488251,48442,4224721,351884
QuickSort,dahu-10.grenoble.grid5000.fr,124941,8197,753050,59533
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,13096,1226,90698,7298
MergeSort,dahu-10.grenoble.grid5000.fr,186527,12854,1136777,97721
FrogJump,dahu-10.grenoble.grid5000.fr,2675066,209621,18162673,1587023
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1022419,101322,7268231,722252
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1502761,26289,2956536,208371
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,162167,2776,324950,23945
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,518095,9275,1159909,70824
NBody sequential,dahu-10.grenoble.grid5000.fr,494414,48371,4124806,340302
QuickSort,dahu-10.grenoble.grid5000.fr,122956,7937,744933,59991
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,23589,1855,184386,14626
MergeSort,dahu-10.grenoble.grid5000.fr,172528,12472,1115842,90010
FrogJump,dahu-10.grenoble.grid5000.fr,2565207,199788,17600114,1543020
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1024003,101812,8613808,718442
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1494059,26436,2986077,217734
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,173081,2950,344909,23868
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,533953,9533,1254819,79514
NBody sequential,dahu-10.grenoble.grid5000.fr,475732,48442,4153309,343516
QuickSort,dahu-10.grenoble.grid5000.fr,125340,7853,731077,59594
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,13855,1383,91064,7115
MergeSort,dahu-10.grenoble.grid5000.fr,167753,12020,1093564,88725
