name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,113021,14846,1317013,116938
FrogJump,dahu-14.grenoble.grid5000.fr,23,919379,118773,6100143,525739
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77259,77373,3891103,352038
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,242443,16371,815550,73578
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8184946,1023363,58548312,6763717
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,172489,6564,339721,53887
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,546703,21216,1099667,91800
NBody sequential,dahu-14.grenoble.grid5000.fr,1,34534,34605,2207025,244509
QuickSort,dahu-14.grenoble.grid5000.fr,17,71721,8274,441954,54071
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5895,1056,55847,4314
MergeSort,dahu-14.grenoble.grid5000.fr,43,116063,15132,780333,67902
FrogJump,dahu-14.grenoble.grid5000.fr,23,921485,126399,6295089,542201
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,74564,74697,3801870,328965
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,252139,17114,828611,85879
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,7983736,998094,57554540,6679674
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,110804,3813,208984,23226
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,693303,27000,1412227,126133
NBody sequential,dahu-14.grenoble.grid5000.fr,1,35134,35211,2344293,260253
QuickSort,dahu-14.grenoble.grid5000.fr,17,77201,8945,499633,55034
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4615,969,64025,6747
MergeSort,dahu-14.grenoble.grid5000.fr,43,122652,14895,1020689,116387
FrogJump,dahu-14.grenoble.grid5000.fr,23,938670,131937,6701338,579534
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,75132,75231,3834280,360866
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,228124,16487,843565,93269
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8536244,1067205,62204675,7350196
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,146783,4433,375549,34838
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,562984,21833,1172116,102954
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37451,37597,1957026,170426
QuickSort,dahu-14.grenoble.grid5000.fr,17,77747,9044,469359,43284
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,6494,1046,53589,7711
MergeSort,dahu-14.grenoble.grid5000.fr,43,129896,14149,973508,109655
FrogJump,dahu-14.grenoble.grid5000.fr,23,938528,131307,6677534,581568
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72448,72613,4461170,529410
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,223141,16618,849241,84410
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8028899,1003738,57012732,6414372
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,134578,4203,302490,30662
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,516165,20785,1156796,111169
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37061,37178,1890498,160787
QuickSort,dahu-14.grenoble.grid5000.fr,17,71870,8414,464598,39061
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5592,1032,52490,4315
MergeSort,dahu-14.grenoble.grid5000.fr,43,116629,13447,807188,81396
FrogJump,dahu-14.grenoble.grid5000.fr,23,931680,133695,6698103,578478
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,74544,74671,3780325,334382
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,200988,15625,814573,68896
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,7936259,992314,56558999,6460272
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,118193,3880,217101,22583
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,478813,21315,1157101,107819
NBody sequential,dahu-14.grenoble.grid5000.fr,1,36509,36638,1889033,188419
QuickSort,dahu-14.grenoble.grid5000.fr,17,78162,8352,465209,42672
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5424,1007,52124,7711
MergeSort,dahu-14.grenoble.grid5000.fr,43,118440,16474,852293,85573
FrogJump,dahu-14.grenoble.grid5000.fr,23,919716,123843,6243270,539998
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72856,73004,4483631,537948
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,259386,17922,959226,102082
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8760985,1095279,68122446,7833524
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,37688,3780,295471,30860
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,636645,24665,1405331,138113
NBody sequential,dahu-14.grenoble.grid5000.fr,1,35337,35418,2330255,262043
QuickSort,dahu-14.grenoble.grid5000.fr,17,72550,8417,452087,47139
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,6359,1053,58594,6243
