name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,99103,13703,991392,102526
FrogJump,dahu-14.grenoble.grid5000.fr,23,1036419,141189,8587014,1054828
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,75089,75215,3842641,355419
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,191549,13006,666868,59532
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8296701,1037557,58747347,6712095
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,172405,4191,466613,35297
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,408761,16008,1580990,131595
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37014,37141,2499078,285131
QuickSort,dahu-14.grenoble.grid5000.fr,17,65693,7624,696287,63756
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4568,1019,105041,7620
MergeSort,dahu-14.grenoble.grid5000.fr,43,97588,13385,946775,104560
FrogJump,dahu-14.grenoble.grid5000.fr,23,1745637,230457,19882335,1842334
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,79089,79172,5248399,607793
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,250888,16904,1761104,138725
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8693655,1086987,88846269,8553266
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,152914,3695,471495,35374
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,542168,21344,2519891,188863
NBody sequential,dahu-14.grenoble.grid5000.fr,1,36053,36138,2216730,272554
QuickSort,dahu-14.grenoble.grid5000.fr,17,61935,7502,719724,61461
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5109,1149,74157,7711
MergeSort,dahu-14.grenoble.grid5000.fr,43,103999,13280,1107236,103153
FrogJump,dahu-14.grenoble.grid5000.fr,23,946942,128047,10839266,1039099
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,74067,74207,4731372,569665
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,245457,16542,1607967,130478
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,12265131,1533688,119912595,12107028
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,352904,13258,1638728,100659
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,520461,20434,2502862,161599
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37667,37796,2629999,291924
QuickSort,dahu-14.grenoble.grid5000.fr,17,61792,6831,624815,53259
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5217,1305,81665,7757
MergeSort,dahu-14.grenoble.grid5000.fr,43,98284,13932,1148740,110772
FrogJump,dahu-14.grenoble.grid5000.fr,23,1703143,225977,19492748,1830079
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,70596,70686,3965017,415105
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,197276,13428,1510066,107130
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8639034,1080169,88120440,8560090
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,169444,4355,493773,34807
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,561192,21836,2414545,188879
NBody sequential,dahu-14.grenoble.grid5000.fr,1,38507,38613,2707757,300232
QuickSort,dahu-14.grenoble.grid5000.fr,17,64241,7270,688291,64351
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4671,1047,72265,7803
MergeSort,dahu-14.grenoble.grid5000.fr,43,95155,12462,960263,98440
FrogJump,dahu-14.grenoble.grid5000.fr,23,951392,139066,11679719,1126386
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72933,72962,4132009,433770
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,200324,13585,1489132,106029
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,11253559,1407034,116942999,10767253
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,365311,12993,1597713,103642
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,287109,11413,1411435,84502
NBody sequential,dahu-14.grenoble.grid5000.fr,1,35378,35454,1997004,188419
QuickSort,dahu-14.grenoble.grid5000.fr,17,61985,6817,610594,30662
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4806,1110,171448,15652
