name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,95320,13000,1075864,114321
FrogJump,dahu-14.grenoble.grid5000.fr,23,881369,122262,10688633,1014620
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72744,72822,3866872,354302
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,208351,14097,1526669,104147
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,11033380,1379555,117252568,10587738
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,147669,3599,361388,27953
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,400605,15826,1885066,133263
NBody sequential,dahu-14.grenoble.grid5000.fr,1,38344,38419,2186884,207866
QuickSort,dahu-14.grenoble.grid5000.fr,17,62012,7030,587828,33691
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5219,1110,55786,8032
MergeSort,dahu-14.grenoble.grid5000.fr,43,94404,12615,1040585,105616
FrogJump,dahu-14.grenoble.grid5000.fr,23,977649,136223,11337435,1068506
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,73259,73334,3888051,353920
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,203529,13796,1457943,86568
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,9123386,1140740,94300357,8896965
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,273729,7742,957151,71680
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,463313,17987,2030756,159365
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37453,37581,2654595,292965
QuickSort,dahu-14.grenoble.grid5000.fr,17,61122,7094,636412,56288
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4484,996,74829,7941
MergeSort,dahu-14.grenoble.grid5000.fr,43,96900,13099,1093564,104943
FrogJump,dahu-14.grenoble.grid5000.fr,23,1027902,141037,11771821,1081098
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,73960,74032,4832507,569022
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,194419,13155,1411190,100551
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,11180246,1398169,118851441,10722959
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,134223,3462,359252,26713
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,353590,14281,1577694,123272
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37391,37519,2558893,283249
QuickSort,dahu-14.grenoble.grid5000.fr,17,61545,7074,612852,55906
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4682,1054,75134,7711
MergeSort,dahu-14.grenoble.grid5000.fr,43,93111,14179,1049313,112563
FrogJump,dahu-14.grenoble.grid5000.fr,23,1095015,143155,12124176,1138611
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72769,72874,3831533,348519
