name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,130202,13775,1355953,103199
FrogJump,dahu-14.grenoble.grid5000.fr,23,862223,127001,11600678,1031434
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,75878,76008,5084460,584276
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,174519,14632,1543636,115760
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8205053,1028690,86871177,8100141
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,128639,4929,604307,41570
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,310885,14386,1715205,108186
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37484,37565,2623650,292566
QuickSort,dahu-14.grenoble.grid5000.fr,17,65691,8051,703794,63908
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5448,1191,172851,15927
MergeSort,dahu-14.grenoble.grid5000.fr,43,135997,14679,1411373,109854
FrogJump,dahu-14.grenoble.grid5000.fr,23,843915,128222,11804779,1049901
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72299,72375,4160390,416910
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,181784,14011,1432675,71038
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,7943840,995809,84208403,7949360
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,131915,6033,713316,46680
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,254724,11536,1426816,84686
NBody sequential,dahu-14.grenoble.grid5000.fr,1,38679,38769,2777459,299956
QuickSort,dahu-14.grenoble.grid5000.fr,17,61950,7557,715941,63678
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5296,1148,85083,7757
MergeSort,dahu-14.grenoble.grid5000.fr,43,138487,15285,1496944,117565
FrogJump,dahu-14.grenoble.grid5000.fr,23,854292,128378,11834077,1052365
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72902,72978,3927358,357974
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,169376,13196,1393063,74726
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,10728737,1341985,115067943,10277790
