name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-18.grenoble.grid5000.fr,43,229143,19201,1953914,138862
FrogJump,dahu-18.grenoble.grid5000.fr,23,2528928,176715,10570774,635042
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,76139,76266,4771289,356918
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,212167,16368,969602,56916
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,7711277,963886,65034441,5880249
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,3426,2820,380919,23364
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,594594,23635,2865776,168499
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37012,37162,2930168,257867
QuickSort,dahu-18.grenoble.grid5000.fr,17,134903,12309,1339718,84272
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,1006,1025,122863,6931
MergeSort,dahu-18.grenoble.grid5000.fr,43,207288,16619,1797847,123349
FrogJump,dahu-18.grenoble.grid5000.fr,23,2390337,174991,19265210,1291213
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72251,72330,4559986,279807
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,223744,15242,1776363,101531
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,7473765,933853,91641855,6852181
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,204183,7402,991331,59487
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,774423,30689,3768423,226119
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37287,37373,2971489,258876
QuickSort,dahu-18.grenoble.grid5000.fr,17,170282,13192,1459713,92198
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,1055,1080,103027,7436
MergeSort,dahu-18.grenoble.grid5000.fr,43,203776,16998,1833675,123073
FrogJump,dahu-18.grenoble.grid5000.fr,23,7216851,467048,52681078,3467301
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,75717,75845,5772935,523688
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,213183,16258,1900630,112134
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,11291139,1411670,137831068,9809473
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,317374,7542,1049253,58385
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,660094,26518,3303581,181305
NBody sequential,dahu-18.grenoble.grid5000.fr,1,36814,36906,2956841,256214
QuickSort,dahu-18.grenoble.grid5000.fr,17,137521,12685,1324643,83997
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,1043,1063,140990,6915
MergeSort,dahu-18.grenoble.grid5000.fr,43,195199,15165,1502499,107253
FrogJump,dahu-18.grenoble.grid5000.fr,23,2552885,176807,19804942,1319625
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,76995,77120,5963669,539631
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,233201,17829,2153803,126668
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,10876214,1359458,134849325,9457894
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,19682,3448,672362,31013
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,674091,26313,3275016,183004
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37145,37280,2992912,258218
QuickSort,dahu-18.grenoble.grid5000.fr,17,131488,12616,1235715,84547
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,967,991,200744,14245
MergeSort,dahu-18.grenoble.grid5000.fr,43,189956,17953,1914668,130356
FrogJump,dahu-18.grenoble.grid5000.fr,23,2550178,178990,20086374,1331712
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,73395,73471,4744617,292796
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,258707,16483,1902400,110573
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,7473218,933919,91448008,6898969
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,429397,14998,1862178,108294
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,801468,30809,3722830,236309
NBody sequential,dahu-18.grenoble.grid5000.fr,1,36906,37026,2980584,259595
QuickSort,dahu-18.grenoble.grid5000.fr,17,139888,14672,1600520,105479
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,1036,1056,85511,7298
MergeSort,dahu-18.grenoble.grid5000.fr,43,193941,16736,1838557,123196
FrogJump,dahu-18.grenoble.grid5000.fr,23,2486210,177234,19781627,1319013
