name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-18.grenoble.grid5000.fr,43,97869,14308,1257870,97171
FrogJump,dahu-18.grenoble.grid5000.fr,23,977075,132047,9253089,748430
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72529,72608,5500779,502238
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,198346,13456,890562,73670
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,7881622,985478,68565742,5906978
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,328606,11537,810423,77387
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,363188,14397,1967036,98685
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37365,37474,3148307,266679
QuickSort,dahu-18.grenoble.grid5000.fr,17,64561,7415,750853,49159
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,5506,1252,194396,14091
MergeSort,dahu-18.grenoble.grid5000.fr,43,89469,12870,1214901,73762
FrogJump,dahu-18.grenoble.grid5000.fr,23,957673,135264,9882116,953878
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72130,72206,5416551,504533
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,206377,14018,947325,68299
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,8039426,1005121,68806160,5756534
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,233989,7624,559020,49710
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,374722,15325,2058649,105907
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37367,37449,2586969,173869
QuickSort,dahu-18.grenoble.grid5000.fr,17,64058,7370,675718,29698
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,4760,1319,83557,7344
MergeSort,dahu-18.grenoble.grid5000.fr,43,97037,12832,1161496,96543
FrogJump,dahu-18.grenoble.grid5000.fr,23,950180,131694,9717321,934416
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72027,72114,5374986,504288
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,208483,14114,944577,69998
