name,cpu_time_us,package_energy,core_energy
MergeSort,110102196,135811237,15608386
FrogJump,16327719,48412474,5706915
Life - sequential generation,4860743,9623754,1118093
Life - parallel iterators generation,7092772,6151779,658589
Life - parallel bridge generation,1694784829,1867502299,184737646
NBody parallel iterator,517381,420653,42442
NBody parallel reduce,2057164,1747310,165990
NBody sequential,1586115,4283070,468700
QuickSort,345533,746702,80172
Travelling Salesman Problem,38093,181945,19890
MergeSort,123333337,145189752,18818449
FrogJump,16379562,37570277,4073900
Life - sequential generation,3764730,9742895,1060260
Life - parallel iterators generation,7151343,6452254,657732
Life - parallel bridge generation,2290132041,1354010084,127439162
NBody parallel iterator,239996,431457,42258
NBody parallel reduce,1881731,1654415,152373
NBody sequential,1576583,4211720,459306
QuickSort,353091,863462,90561
Travelling Salesman Problem,38667,96252,9960
MergeSort,116244382,136874283,14619992
FrogJump,20324376,37923732,4206352
Life - sequential generation,3643324,9788366,1057827
Life - parallel iterators generation,6831253,6294051,633252
Life - parallel bridge generation,1926861621,1298289218,120195607
NBody parallel iterator,689110,1065976,108079
NBody parallel reduce,2004198,2646965,258800
NBody sequential,1620152,4246632,468257
QuickSort,369508,869627,90438
Travelling Salesman Problem,38519,100159,9945
MergeSort,118686588,130800141,14061572
FrogJump,16390106,37482387,4082881
Life - sequential generation,3762793,10097936,1078069
Life - parallel iterators generation,6976966,6489973,639234
Life - parallel bridge generation,1616062211,1392584082,129143812
NBody parallel iterator,372110,443297,42565
NBody parallel reduce,1568732,1893428,175109
NBody sequential,1567656,4398426,472648
QuickSort,357786,881955,91418
Travelling Salesman Problem,47528,191283,20410
MergeSort,114008539,138188489,14034155
FrogJump,15780903,37607326,4059916
Life - sequential generation,3719682,9945531,1069990
Life - parallel iterators generation,6857979,6430220,637842
Life - parallel bridge generation,1639749293,1383703306,127783045
NBody parallel iterator,258197,557311,54759
NBody parallel reduce,1701506,1714290,161997
NBody sequential,1624913,4430408,482179
QuickSort,361913,1005369,92809
Travelling Salesman Problem,36755,119019,10098
MergeSort,113841292,141151616,14708945
FrogJump,22109487,40023702,4436648
Life - sequential generation,3693292,9911962,1089575
Life - parallel iterators generation,6823099,6590620,661633
Life - parallel bridge generation,1655566028,1382252016,127367650
NBody parallel iterator,314166,452879,43636
NBody parallel reduce,1701492,1826411,170549
NBody sequential,1624500,4472828,476550
QuickSort,334083,878782,91417
Travelling Salesman Problem,44039,189270,20502
MergeSort,111680727,145365229,19367000
FrogJump,19639212,38196009,4173060
Life - sequential generation,3820208,10743075,1147148
Life - parallel iterators generation,7120804,6856672,678219
Life - parallel bridge generation,2324648594,1332339485,121895222
NBody parallel iterator,449923,549010,54315
NBody parallel reduce,1791083,2046626,190408
NBody sequential,1624358,4540272,477788
QuickSort,366553,793088,81641
Travelling Salesman Problem,45159,98389,10266
MergeSort,120021329,141899845,14690678
FrogJump,16373891,38022120,4073487
Life - sequential generation,3824099,10073034,1081114
Life - parallel iterators generation,7116329,6582563,645568
Life - parallel bridge generation,1550157027,1716774963,159572054
NBody parallel iterator,410981,457823,45288
NBody parallel reduce,1677725,1720332,161079
NBody sequential,1558674,4505299,488574
QuickSort,358937,892637,94217
Travelling Salesman Problem,34780,195434,20854
MergeSort,111672698,152281226,22188014
FrogJump,16063582,39602132,4309367
Life - sequential generation,3618073,10542148,1103481
Life - parallel iterators generation,7055311,6574995,670691
Life - parallel bridge generation,1565798547,1961706526,198867824
NBody parallel iterator,314211,440551,44400
NBody parallel reduce,1646355,1742977,163296
NBody sequential,1557463,4688831,491467
QuickSort,349102,912046,97522
Travelling Salesman Problem,36451,190673,20792
MergeSort,113256958,142674500,15305477
FrogJump,22924567,71598999,8040487
Life - sequential generation,3786935,9979711,1115646
Life - parallel iterators generation,6762700,6494552,660914
Life - parallel bridge generation,1632856989,1421617454,140962878
NBody parallel iterator,520965,423155,45472
NBody parallel reduce,1730507,1701717,171391
NBody sequential,1545160,4593983,476457
QuickSort,344108,916197,101195
Travelling Salesman Problem,38724,208496,20808
MergeSort,113510867,139443368,14653116
FrogJump,27070841,37593776,4053092
Life - sequential generation,3615322,10165867,1097301
Life - parallel iterators generation,6831976,6473311,652744
Life - parallel bridge generation,1589211869,1421006433,140173306
NBody parallel iterator,316745,554991,55233
NBody parallel reduce,1845767,1838374,182667
NBody sequential,1545218,4601428,477146
QuickSort,334201,911985,100567
Travelling Salesman Problem,38286,190490,20563
MergeSort,110495599,136659745,14542252
FrogJump,16039721,39122031,4203797
Life - sequential generation,3611573,10112645,1096857
Life - parallel iterators generation,6383980,6609358,693763
Life - parallel bridge generation,1587914522,1390105206,137132738
NBody parallel iterator,374595,445495,44921
NBody parallel reduce,1633315,1974787,187471
NBody sequential,1550580,4534290,483939
QuickSort,334643,921080,102128
Travelling Salesman Problem,48030,92224,10695
MergeSort,111129899,143189758,14727245
FrogJump,18152742,39986775,4279257
Life - sequential generation,3642587,10461093,1101524
Life - parallel iterators generation,6698788,6534407,655819
Life - parallel bridge generation,1625936143,1419283537,139419246
NBody parallel iterator,303532,456054,44309
NBody parallel reduce,1897438,1850520,172354
NBody sequential,1577070,4523426,469802
QuickSort,350567,908445,94937
Travelling Salesman Problem,40639,196166,20593
MergeSort,115768810,140570746,14632981
FrogJump,15446642,38736901,4144525
Life - sequential generation,3725863,10811923,1106649
Life - parallel iterators generation,6783948,6837384,682564
Life - parallel bridge generation,1636386072,1380267585,134618855
NBody parallel iterator,325637,451415,44110
NBody parallel reduce,1819529,1748897,149664
NBody sequential,1557157,4353261,484000
QuickSort,361524,913450,95671
Travelling Salesman Problem,36591,194030,21037
MergeSort,114155194,141956302,14695497
FrogJump,25385946,38359643,4038282
Life - sequential generation,3781778,10301853,1101600
Life - parallel iterators generation,6901767,6715742,663821
Life - parallel bridge generation,1607594841,1978500307,193464354
NBody parallel iterator,615888,445800,45655
NBody parallel reduce,1440137,1730220,160482
NBody sequential,1596170,4528675,487106
QuickSort,361810,807249,93789
Travelling Salesman Problem,40495,105041,10328
MergeSort,114495367,134183128,14247789
FrogJump,15524087,39029014,4183463
Life - sequential generation,3637990,10546787,1120098
Life - parallel iterators generation,6884968,6625227,665580
Life - parallel bridge generation,1696869508,1308460151,117545034
NBody parallel iterator,335296,457031,45074
NBody parallel reduce,1820439,1852352,172462
NBody sequential,1563676,4484852,483541
QuickSort,358446,913267,92764
Travelling Salesman Problem,37169,207763,20471
MergeSort,111579232,137804335,14452763
FrogJump,15505464,38652856,4185239
Life - sequential generation,3615711,10199803,1094991
Life - parallel iterators generation,7087477,6541121,657028
Life - parallel bridge generation,1485134639,1313109981,118619523
NBody parallel iterator,310771,564635,56396
NBody parallel reduce,1631116,1757320,163175
NBody sequential,1589701,4551136,486081
QuickSort,342580,805601,83660
Travelling Salesman Problem,37192,204285,20870
MergeSort,113532314,141831180,14696874
FrogJump,15492484,38954490,4205404
Life - sequential generation,3639533,10688144,1114575
Life - parallel iterators generation,6921004,6704877,677423
Life - parallel bridge generation,1472254774,1317032334,119898021
NBody parallel iterator,455485,450499,34012
NBody parallel reduce,1713479,1746761,160543
NBody sequential,1545014,4571155,491972
QuickSort,348168,907956,94157
Travelling Salesman Problem,37788,94727,10679
MergeSort,115116470,153359227,16183620
FrogJump,15222965,37966516,4136462
Life - sequential generation,3574654,10614048,1117956
Life - parallel iterators generation,6853250,6645125,667371
Life - parallel bridge generation,1466896260,1320747107,119958609
NBody parallel iterator,365419,460204,46344
NBody parallel reduce,1792908,1881159,176026
NBody sequential,1586526,4750171,476442
QuickSort,353516,936154,93452
Travelling Salesman Problem,51491,101196,10481
MergeSort,112075729,150923930,19903173
FrogJump,14317808,39516684,4269771
Life - sequential generation,3581228,10259068,1102961
Life - parallel iterators generation,6817068,6570601,658420
Life - parallel bridge generation,1500974858,1311796324,118847753
NBody parallel iterator,342492,577696,59991
NBody parallel reduce,1734039,1985469,187164
NBody sequential,1523440,4471607,478033
QuickSort,348694,920224,94309
Travelling Salesman Problem,38627,196899,20701
MergeSort,115085660,144271665,14993525
FrogJump,29013548,39472006,4266206
Life - sequential generation,3583225,10296909,1117619
Life - parallel iterators generation,6616365,6529525,659063
Life - parallel bridge generation,2466870323,1471314532,135011377
NBody parallel iterator,364022,452879,46420
NBody parallel reduce,1519687,1857478,177878
NBody sequential,1530390,4493763,489539
QuickSort,340013,799436,94095
Travelling Salesman Problem,36820,197754,20977
MergeSort,112906437,148649583,15120653
FrogJump,15536804,38432580,4215717
Life - sequential generation,3616037,10621860,1117910
Life - parallel iterators generation,6926987,6754439,684767
Life - parallel bridge generation,1870434170,1304228229,117912586
NBody parallel iterator,317864,466551,48241
NBody parallel reduce,1736525,1791194,163174
NBody sequential,1581642,4814258,492721
QuickSort,353225,951352,95687
Travelling Salesman Problem,49042,198974,20700
MergeSort,113207952,135483418,14488626
FrogJump,16237043,38975913,4313529
Life - sequential generation,3619094,10179662,1108944
Life - parallel iterators generation,6883557,6468124,652193
Life - parallel bridge generation,1470451543,1496809706,136717756
NBody parallel iterator,328050,465697,48516
NBody parallel reduce,1803870,1765437,166571
NBody sequential,1573870,4502674,491619
QuickSort,356665,819029,84456
Travelling Salesman Problem,42713,202026,21313
MergeSort,112282486,168902339,17477817
