name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,1244657,23649,2592218,187073
FrogJump,dahu-10.grenoble.grid5000.fr,7378495,315982,29967514,2352176
Life - sequential generation,dahu-10.grenoble.grid5000.fr,679281,82955,6628584,596731
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,939474,28776,2972649,226730
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,233225,3005,502074,24480
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,2496572,39554,4726977,287226
NBody sequential,dahu-10.grenoble.grid5000.fr,619129,49778,3914785,326609
QuickSort,dahu-10.grenoble.grid5000.fr,262534,17530,1510433,117442
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,88266,1772,191466,14596
MergeSort,dahu-10.grenoble.grid5000.fr,927460,19218,2057551,139016
FrogJump,dahu-10.grenoble.grid5000.fr,5887632,305063,27633596,2229347
Life - sequential generation,dahu-10.grenoble.grid5000.fr,675851,83807,5662522,462030
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,733771,23283,2415155,173655
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,226357,5151,613280,38556
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,3217460,59428,6523176,429135
NBody sequential,dahu-10.grenoble.grid5000.fr,1354323,42316,4195058,301977
QuickSort,dahu-10.grenoble.grid5000.fr,200153,15045,1322018,110022
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,88215,1422,195557,14504
MergeSort,dahu-10.grenoble.grid5000.fr,570505,18543,1787959,130081
FrogJump,dahu-10.grenoble.grid5000.fr,13288608,601773,56432290,4537368
Life - sequential generation,dahu-10.grenoble.grid5000.fr,658635,81505,6203903,574484
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,844448,23546,2573480,192857
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,227015,3128,368651,23546
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,745220,11076,1452999,88036
NBody sequential,dahu-10.grenoble.grid5000.fr,1763950,51218,4393909,295719
QuickSort,dahu-10.grenoble.grid5000.fr,84744,19162,1190854,103933
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,36182,2655,138610,14275
MergeSort,dahu-10.grenoble.grid5000.fr,1405413,29690,3081963,224191
FrogJump,dahu-10.grenoble.grid5000.fr,6861551,305316,27587881,2179791
Life - sequential generation,dahu-10.grenoble.grid5000.fr,735781,80807,5787156,469511
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,810396,23636,2567071,187242
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,213486,3252,372680,23333
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,746021,9975,1336544,81151
NBody sequential,dahu-10.grenoble.grid5000.fr,1966612,52465,5006518,373580
QuickSort,dahu-10.grenoble.grid5000.fr,47773,19035,1389340,134349
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,176,2303,266662,21543
MergeSort,dahu-10.grenoble.grid5000.fr,1165938,22023,2480340,164658
FrogJump,dahu-10.grenoble.grid5000.fr,6508109,297521,28090871,2229561
Life - sequential generation,dahu-10.grenoble.grid5000.fr,480695,82175,6350753,575862
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,763073,23219,2700616,201791
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,1514,3051,373045,24587
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,4687691,114374,12129424,808390
NBody sequential,dahu-10.grenoble.grid5000.fr,1889576,53028,5026354,370260
QuickSort,dahu-10.grenoble.grid5000.fr,43501,11127,864622,80646
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,40136,1804,94665,14321
MergeSort,dahu-10.grenoble.grid5000.fr,1542658,30251,3375113,219953
FrogJump,dahu-10.grenoble.grid5000.fr,6386291,316258,28704273,2395628
Life - sequential generation,dahu-10.grenoble.grid5000.fr,503934,86411,6637983,619329
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,751975,23154,2631707,194280
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,224323,3259,377624,23806
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,969893,14906,1904109,109686
NBody sequential,dahu-10.grenoble.grid5000.fr,1841407,51596,4899279,377023
QuickSort,dahu-10.grenoble.grid5000.fr,178035,16252,1398861,118896
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,501,2040,179138,14964
MergeSort,dahu-10.grenoble.grid5000.fr,522456,17804,1916804,141143
FrogJump,dahu-10.grenoble.grid5000.fr,6886947,377173,32604530,2667279
Life - sequential generation,dahu-10.grenoble.grid5000.fr,683737,80898,5763840,491758
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,811374,24544,2529291,182774
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,226667,3066,380554,25169
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,482276,9733,1200864,73043
NBody sequential,dahu-10.grenoble.grid5000.fr,2026023,52675,4689319,319020
QuickSort,dahu-10.grenoble.grid5000.fr,23504,13718,936948,81380
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,176,1493,166992,15055
MergeSort,dahu-10.grenoble.grid5000.fr,533507,20771,1844966,160879
FrogJump,dahu-10.grenoble.grid5000.fr,6174119,322685,27864796,2343256
Life - sequential generation,dahu-10.grenoble.grid5000.fr,773426,83011,5773300,492048
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,653588,23516,2342645,176776
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,204088,3126,362670,22751
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,1751795,28077,3379996,217765
NBody sequential,dahu-10.grenoble.grid5000.fr,1015551,44257,3329398,233126
QuickSort,dahu-10.grenoble.grid5000.fr,134789,14627,1075497,74312
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,64150,1721,248962,13923
MergeSort,dahu-10.grenoble.grid5000.fr,685827,24902,2281305,186691
FrogJump,dahu-10.grenoble.grid5000.fr,7363428,333877,31575237,2504534
Life - sequential generation,dahu-10.grenoble.grid5000.fr,681870,81119,5901841,520903
