name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,96160,15002,1213254,118774
FrogJump,dahu-14.grenoble.grid5000.fr,23,954335,132536,10988925,1031098
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,71999,72071,3771291,333800
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,205103,13885,1504452,93039
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,10763581,1345796,112223224,10327301
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,193170,5085,595397,44783
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,433416,17292,1998469,141907
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37707,37834,2640618,293103
QuickSort,dahu-14.grenoble.grid5000.fr,17,60499,6777,581419,48332
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4767,1091,160217,7895
MergeSort,dahu-14.grenoble.grid5000.fr,43,94907,12565,977536,106794
FrogJump,dahu-14.grenoble.grid5000.fr,23,1033792,141107,11696686,1094990
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,73388,73462,3964528,365899
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,196681,13342,1450802,74725
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,9103274,1139515,93169378,8911546
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,243698,6889,842283,61628
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,688928,26673,2651970,263221
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37029,37126,2554742,286110
QuickSort,dahu-14.grenoble.grid5000.fr,17,62865,7492,694334,64596
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4260,865,102661,7712
MergeSort,dahu-14.grenoble.grid5000.fr,43,96016,12522,940916,95809
FrogJump,dahu-14.grenoble.grid5000.fr,23,861455,115197,10069981,951415
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72788,72868,3754385,345811
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,193562,13179,1408443,91938
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8736654,1093034,91958077,8606067
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,356304,13120,1639522,100704
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,405425,15892,1944453,123456
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37685,37817,2643792,293102
QuickSort,dahu-14.grenoble.grid5000.fr,17,63903,7446,636351,62240
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4478,1096,75317,7849
MergeSort,dahu-14.grenoble.grid5000.fr,43,95116,12899,1027158,103551
FrogJump,dahu-14.grenoble.grid5000.fr,23,860485,117362,10145299,968015
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72444,72515,3808218,348656
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,197874,13425,1505123,75460
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,7826438,978578,81447973,7888634
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,134307,3270,466979,34899
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,564875,21991,2460626,205754
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37595,37757,2647576,292965
QuickSort,dahu-14.grenoble.grid5000.fr,17,65701,7726,686034,63158
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5240,1311,84778,7528
MergeSort,dahu-14.grenoble.grid5000.fr,43,91790,12861,1064694,105234
FrogJump,dahu-14.grenoble.grid5000.fr,23,1016481,146162,12534453,1197990
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,78153,78363,5251635,600846
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,201052,13627,1476437,107988
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,13728922,1716474,125793562,13753721
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,160572,3689,437194,34303
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,453128,17673,1815425,160696
NBody sequential,dahu-14.grenoble.grid5000.fr,1,36781,36931,2063411,199023
QuickSort,dahu-14.grenoble.grid5000.fr,17,61718,7303,427245,38556
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4415,976,156311,7527
MergeSort,dahu-14.grenoble.grid5000.fr,43,100479,13629,1025815,101454
FrogJump,dahu-14.grenoble.grid5000.fr,23,879154,124080,10667941,1018873
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72780,72858,3806020,345810
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,192517,13057,1406979,72109
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,10138867,1267786,106476290,10136954
