name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,119114,13524,1222592,103581
FrogJump,dahu-14.grenoble.grid5000.fr,23,889147,126373,11361788,1028175
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77381,77506,5063524,593411
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,226298,16268,1757564,130356
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,11289014,1412120,119570067,10821476
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,118779,3919,502196,33507
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,625307,24555,2632317,191311
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37528,37655,2641900,292154
QuickSort,dahu-14.grenoble.grid5000.fr,17,66550,8567,831114,69324
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4943,1049,80566,7803
MergeSort,dahu-14.grenoble.grid5000.fr,43,128481,14626,1488339,108294
FrogJump,dahu-14.grenoble.grid5000.fr,23,859375,128712,11691804,1052564
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,73300,73379,3905813,355450
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,236105,17963,1786494,114704
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8684667,1085894,91008861,8759434
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,119165,4068,492065,41233
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,677068,28206,3049553,228138
NBody sequential,dahu-14.grenoble.grid5000.fr,1,37979,38089,2644768,292934
QuickSort,dahu-14.grenoble.grid5000.fr,17,62580,7913,769224,61643
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5023,1052,75745,7894
MergeSort,dahu-14.grenoble.grid5000.fr,43,130098,14814,1511165,116648
FrogJump,dahu-14.grenoble.grid5000.fr,23,842808,123267,11319978,1014405
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72644,72731,3902212,351502
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,226287,15795,1661433,113189
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,7505085,938500,78994549,7526912
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,119540,3267,380553,26607
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,849937,33004,3503348,269999
