name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,136930,15251,780577,65408
FrogJump,dahu-14.grenoble.grid5000.fr,23,846094,125433,11624421,1030363
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,73475,73592,3985585,349482
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,169114,13570,692259,72017
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8010812,1004420,58258456,6597069
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,129381,4685,339355,38510
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,238268,10170,603270,75046
NBody sequential,dahu-14.grenoble.grid5000.fr,1,34861,34932,2315485,234962
QuickSort,dahu-14.grenoble.grid5000.fr,17,61124,7807,438659,41555
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5385,1179,61096,7068
MergeSort,dahu-14.grenoble.grid5000.fr,43,134823,14935,838804,78199
FrogJump,dahu-14.grenoble.grid5000.fr,23,848833,125496,6506758,542354
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,75620,75746,3888784,326211
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,169199,13649,691038,62653
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8320324,1042558,60107085,6614052
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,116257,4196,317382,30799
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,305780,12753,712340,100231
NBody sequential,dahu-14.grenoble.grid5000.fr,1,34563,34635,2347406,268836
QuickSort,dahu-14.grenoble.grid5000.fr,17,61281,8045,452696,50352
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5026,1174,54871,13173
MergeSort,dahu-14.grenoble.grid5000.fr,43,131362,13838,983213,108967
FrogJump,dahu-14.grenoble.grid5000.fr,23,863718,128592,6726484,598949
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77443,77561,4007191,350309
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,172679,14160,725401,61047
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8448011,1058689,63314657,7130856
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,124208,4653,298766,30844
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,233451,10497,736449,84685
NBody sequential,dahu-14.grenoble.grid5000.fr,1,38126,38282,2089716,196299
QuickSort,dahu-14.grenoble.grid5000.fr,17,67767,8964,482909,39290
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5018,1167,64331,7803
MergeSort,dahu-14.grenoble.grid5000.fr,43,122592,13189,1059690,111537
FrogJump,dahu-14.grenoble.grid5000.fr,23,837722,126438,6582747,559750
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72842,72926,4618457,533817
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,192038,14967,866697,107651
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,8147892,1021535,58577242,6488195
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,121344,5072,297424,38464
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,290407,13396,702818,67060
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33965,34037,2170771,230051
QuickSort,dahu-14.grenoble.grid5000.fr,17,61108,7937,450499,47001
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4974,1181,56763,6701
MergeSort,dahu-14.grenoble.grid5000.fr,43,132246,14656,964048,93912
FrogJump,dahu-14.grenoble.grid5000.fr,23,854748,126332,6590071,565304
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72769,72842,4583667,557027
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,174229,14035,776732,78994
Life - parallel bridge generation,dahu-14.grenoble.grid5000.fr,8,7828406,981948,57282324,6691134
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,124153,5085,310180,38464
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,248416,10384,551939,67473
NBody sequential,dahu-14.grenoble.grid5000.fr,1,34122,34174,2216180,237073
QuickSort,dahu-14.grenoble.grid5000.fr,17,61781,7918,459532,54529
