name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-18.grenoble.grid5000.fr,43,156553,15315,1627132,116510
FrogJump,dahu-18.grenoble.grid5000.fr,23,856350,123093,7445904,440350
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72790,72918,5135729,484765
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,218603,15373,1816096,102908
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,10848804,1357011,131136688,9257525
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,134343,5125,667479,36812
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,808012,32009,3820119,234595
NBody sequential,dahu-18.grenoble.grid5000.fr,1,38469,38568,3086174,261049
QuickSort,dahu-18.grenoble.grid5000.fr,17,66811,7867,854795,55539
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,4692,1113,186218,14321
MergeSort,dahu-18.grenoble.grid5000.fr,43,140382,16120,1750301,117000
FrogJump,dahu-18.grenoble.grid5000.fr,23,858934,122823,12664763,922054
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72669,72744,4610035,297983
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,224967,17976,1997187,93453
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,7398842,928348,89162858,6882888
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,126235,5027,663511,35435
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,746156,29988,3619742,220518
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37077,37203,2974175,254745
QuickSort,dahu-18.grenoble.grid5000.fr,17,63986,7679,792296,48746
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,5742,1480,208313,13923
MergeSort,dahu-18.grenoble.grid5000.fr,43,137182,15496,1681148,106350
FrogJump,dahu-18.grenoble.grid5000.fr,23,841642,123082,12781278,932121
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72444,72519,4548512,290364
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,226791,17546,1959773,94140
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,10830194,1355063,131302765,9244597
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,130071,4489,636229,38572
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,519090,20945,2585809,145274
NBody sequential,dahu-18.grenoble.grid5000.fr,1,36498,36581,2500787,166800
QuickSort,dahu-18.grenoble.grid5000.fr,17,66741,8134,850156,39290
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,4649,1089,92529,7023
MergeSort,dahu-18.grenoble.grid5000.fr,43,134488,14730,1694027,105478
FrogJump,dahu-18.grenoble.grid5000.fr,23,857191,127181,13201993,961253
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,72754,72832,4596363,289858
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,218808,16279,1831783,107544
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,10959691,1370595,133685388,9343939
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,131272,5086,658507,37072
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,681375,26686,3273307,198671
NBody sequential,dahu-18.grenoble.grid5000.fr,1,34619,34690,2308588,150919
QuickSort,dahu-18.grenoble.grid5000.fr,17,68076,7821,794248,38419
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,4630,1090,85877,7115
MergeSort,dahu-18.grenoble.grid5000.fr,43,137960,14713,1672725,109119
FrogJump,dahu-18.grenoble.grid5000.fr,23,890957,127448,13547756,986651
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,80199,80335,6420882,556032
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,262994,19541,2211603,148027
Life - parallel bridge generation,dahu-18.grenoble.grid5000.fr,8,11064584,1383768,133786522,9443328
NBody parallel iterator,dahu-18.grenoble.grid5000.fr,51,127507,4959,786191,36750
NBody parallel reduce,dahu-18.grenoble.grid5000.fr,26,525687,22162,2723870,151975
NBody sequential,dahu-18.grenoble.grid5000.fr,1,37787,37916,3078300,260911
QuickSort,dahu-18.grenoble.grid5000.fr,17,68603,8231,859861,55402
Travelling Salesman Problem,dahu-18.grenoble.grid5000.fr,10,4777,1149,177673,7022
MergeSort,dahu-18.grenoble.grid5000.fr,43,129047,14363,1529415,106411
FrogJump,dahu-18.grenoble.grid5000.fr,23,872215,130625,13424892,981694
Life - sequential generation,dahu-18.grenoble.grid5000.fr,1,74223,74305,4897631,320887
Life - parallel iterators generation,dahu-18.grenoble.grid5000.fr,15,227958,16883,1835262,89689
