name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,498727,80335,6564436,598245
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,652457,100529,8317728,748109
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,530612,86869,6808820,650082
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,655519,101205,8332071,755774
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,593808,96181,7445843,719559
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,663426,101446,8291544,757825
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,634608,96113,7108929,718442
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,655113,101135,8253458,756371
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,658275,101124,8140726,747665
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,659208,101255,8200052,758131
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,624038,95688,6953047,709690
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,666150,100961,8155375,756325
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,662660,101042,8088969,746411
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,663736,101294,8158854,755820
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,665287,100898,8165811,755514
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,666755,101381,8170817,757136
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,651660,100896,8181253,756554
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,658998,100851,8161051,755988
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,644662,95017,6651045,710976
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,652767,101037,8042826,756111
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,659422,101077,8041483,756448
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,662012,101329,8072672,755514
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,717770,101328,6830060,757932
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,685641,95278,6370223,714357
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,652726,101230,8070658,758574
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,651861,100986,8042827,756416
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,663922,100862,7955241,747512
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,692395,96646,6525679,720049
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,598723,101172,8521768,783207
Life - sequential generation,dahu-9.grenoble.grid5000.fr,50,640423,100701,8013774,751383
