sample,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
0,1353.36,2214.081,1721.191,3578.732,1389.662,1272.757,1397.089,1394.68
1,1601.213,1497.361,2356.115,1439.527,1277.809,1236.945,1465.965,1388.466
2,1352.748,1337.838,1522.069,1451.423,1359.323,1478.356,1331.808,1462.041
3,1563.859,1631.515,1504.62,1477.794,1307.002,1385.982,1306.869,1362.005
4,1358.507,1399.456,1345.066,1358.701,1289.702,1275.469,1557.634,1507.712
5,1496.614,1493.962,1840.994,3034.593,1495.049,1583.919,1417.663,1467.781
6,1965.58,1696.706,1617.535,1953.588,1938.989,2825.784,1585.733,1512.536
7,1504.993,1532.65,1521.152,1496.556,3490.883,3322.646,1589.134,1584.797
8,1495.526,1502.573,1493.969,1516.026,3719.306,3729.844,1656.342,1658.307
9,2232.691,1609.023,2084.032,1520.249,3308.599,3665.747,1645.01,1677.163
10,1471.565,1471.186,2033.229,1617.653,3592.767,3245,1628.178,1653.634
11,1487.497,1489.095,1487.06,1487.645,3707.68,3719.787,1637.402,1611.058
12,1494.348,1489.559,2428.375,1550.542,3758.186,3639.459,1477.143,1483.823
13,1494.122,1504.376,1500.485,1773.266,3288.889,3687.237,1454.343,1450.584
14,1651.323,1654.411,1671.702,1671.044,3662.426,3697.964,1488.432,1496.087
15,1480.775,1484.261,1669.213,1667.085,3759.185,3710.164,1537.651,1539.241
16,1487.398,1489.445,1658.053,1672.977,3721.693,3735.764,1487.186,1513.203
17,1491.191,1490.368,1659.298,1707.094,3821.137,3728.613,1508.662,1492.42
18,1475.737,1477.933,1626.677,1641.512,3713.839,3695.662,1602.203,1584.36
19,1478.358,1474.735,1639.85,1650.174,3717.223,3691.381,1604.242,1739.731
20,1468.542,1471.921,1632.52,1556.813,3784.923,3721.481,1541.467,1786.824
21,1475.065,1472.397,1476.978,1498.171,3806.839,3750.333,1584.322,1542.261
22,1750.642,1917.492,1459.239,1474.136,3798.495,3705.607,1625.666,1714.704
23,1490.329,1487.72,1490.126,1489.075,3766.56,3726.331,1508.16,1509.153
24,2778.412,2867.05,2528.592,2735.632,3294.573,3438.645,2346.302,2380.13
25,1491.534,1488.708,1652.904,1656.299,3669.673,3725.101,1518.59,1490.232
26,1488.059,1487.927,1654.43,1653.006,3719.603,3716.764,1487.656,1509.045
27,1417.907,1424.041,3020.304,2270.085,3617.434,3709.165,1549.875,1620.267
28,1487.098,1487.14,1488.092,1487.812,3720.541,3708.729,1652.912,1680.718
29,1556.629,1725.021,1486.71,1480.842,3754.017,3714.339,1665.823,1659.469
30,1515.859,1608.666,1497.847,1547.439,3717.833,3693.871,1644.59,1632.572
31,1495.57,1485.691,1653.227,1655.96,3749.703,3716.449,1676.159,1654.515
32,1486.686,1486.619,1646.546,1642.476,3711.473,3719.107,1650.792,1695.058
33,1488.939,1488.365,1489.468,1490.552,3752.591,3730.503,1691.984,1656.447
34,1486.961,1486.763,1487.142,1486.846,3717.903,3704.396,1652.436,1652.354
35,1486.819,1484.225,1557.494,1581.399,3657.087,3707.96,1669.372,1649.423
36,1487.664,1486.973,1653.135,1664.302,3721.183,3707.923,1652.481,1689.36
37,1496.795,1479.374,1645.143,1611.023,3733.918,3706.332,1875.969,2315.591
38,1553.106,1628.823,1643.496,1638.279,3734.977,3699.263,1475.098,1498.859
39,1677.937,1698.879,1655.126,1675.756,3752.155,3700.497,1467.144,1495.082
40,1635.297,1624.811,2708.032,2511.66,3186.817,3669.095,1445.918,1468.509
41,1662.803,1658.443,1656.455,1706.462,3713.807,3678.634,1493.599,1488.261
42,1472.579,1468.498,1690.934,1732.34,3743.046,3460.282,1453.486,1510.405
43,1488.675,1485.144,1646.05,1688.706,3743.187,3631.135,1488.802,1496
44,1487.357,1484.865,1663.753,1681.011,3712.377,3772.542,1482.754,1506.565
45,1474.691,1476.207,1674.172,1656.347,3744.09,3754.033,1508.645,1507.998
46,1480.394,1482.542,1644.114,1667.301,3714.827,3708.924,1483.492,1499.003
47,1511.578,1486.89,1650.38,1655.689,3566.773,3719.791,1489.764,1489.126
48,1548.084,1653.109,1471.939,1485.39,3788.279,3698.4,1468.547,1491.611
49,1677.505,1652.777,1485.302,1491.736,3763.425,3717.472,1488.286,1489.134
50,1482.362,1467.46,1548.23,2294.102,3717.654,3689.375,1469.677,1483.845
51,1509.118,1485.61,1487.74,1503.579,3719.311,3707.865,1484.508,1483.832
52,1480.583,1489.994,1450.842,1502.719,3439.489,3698.849,1414.889,1470.083
53,1510.399,1491.225,1668.446,1650.078,3712.197,3474.244,1492.852,1487.288
54,1640.187,1512.222,1630.407,1642.114,3667.937,3545.368,1493.924,2824.553
55,3367.857,3135.325,1617.641,1551.786,1835.504,3487.186,1772.025,1812.692
56,3735.294,3733.127,1669.863,1664.635,1499.391,1545.552,1664.525,1663.715
57,2509.648,3619.997,1621.082,1674.81,1552.55,1552.945,1635.618,1650.148
58,2986.489,3700.613,1558.366,1506.297,2292.341,1657.888,1831.206,1683.906
59,1478.145,1476.587,1482.427,1482.69,3806.411,3697.34,1665.557,1585.951
60,1485.782,1485.296,1484.065,1484.166,3693.803,3701.482,1650.515,1650.333
61,1485.923,1486.398,1490.927,1500.593,3707.663,3592.678,1649.727,1680.068
62,1483.834,1483.86,1487.951,1485.482,3691.569,3727.583,1658.479,1646.634
63,1489.211,1484.902,1491.232,1490.34,3768.849,3691.156,1646.958,1676.437
64,1509.301,1480.414,1625.641,1563.586,3836.442,3689.752,1667.631,1640.313
65,1663.357,1881.509,1632.424,1600.365,3671.33,3687.084,1606.647,1592.56
66,1624.838,1640.292,2624.333,1809.005,3640.189,3577.707,1837.64,1477.952
67,1622.419,1615.405,1691.171,1661.451,1821.389,1712.719,3672.867,3684.163
68,1641.045,1638.693,1695.362,2266.446,1638.913,1641.863,3675.545,3695.599
69,1630.525,1658.328,1732.768,3443.269,1638.4,1648.337,3671.844,3660.485
70,1642.698,1642.339,1482.513,1477.114,1646.815,1645.771,3687.09,3667.229
71,1642.787,1645.005,1478.719,1511.053,1653.67,1646.684,3697.858,3703.385
72,1478.064,1479.975,1478.781,1484.294,1624.765,1718.579,3680.196,3636.968
73,1537.21,1575.849,1636.732,1688.507,1447.104,1472.442,3684.88,3663.151
74,1554.859,1642.235,1475.332,1478.891,1477.215,1473.549,3675.436,3701.936
75,1671.046,1578.53,1471.911,1480.05,1531.413,1580.098,3689.904,3676.611
76,1669.998,1696.049,1472.604,1475.448,1634.44,1633.989,3619.147,3682.778
77,1672.184,1702.562,1479.557,1497.208,1650.342,1650.048,3688.581,3693.671
78,1642.212,1643.481,1483.166,1492.906,1642.499,1643.149,3717.948,3690.905
79,1654.654,1959.756,1475.841,1488.117,1621.024,1641.549,3682.228,3688.507
80,1602.02,1535.872,1484.372,1503.761,1642.97,1635.651,3670.543,3681.89
81,1678.243,1656.034,1496.082,1480.713,1482.242,1487.148,3700.073,3729.577
82,1646.807,1656.053,1485.885,1479.753,1481.763,1486.789,3736.417,3700.491
83,1719.519,1693.344,1477.8,1470.295,1734.112,2179.782,3668.689,3657.02
84,1642.326,1643.738,1480.592,1478.292,1481.25,1485.004,3773.541,3691.217
85,1674.724,1652.125,1488.474,1487.218,1481.892,1492.792,3695.894,3698.044
86,1641.228,1624.406,1474.778,1476.131,1521.797,1561.177,3723.691,3683.309
87,1645.865,1675.918,1478.003,1487.921,1671.533,1650.093,3679.949,3760.4
88,1645.47,1643.294,1482.307,1478.447,1643.786,1642.593,3691.189,3694.8
89,1676.666,1649.65,1487.556,1491.646,1653.463,1660.217,3703.989,3599.939
90,1545.501,1667.838,1465.484,1466.324,1636.723,1669.063,3678.182,3634.491
91,1558.148,1609.873,1950.756,1612.441,1492.301,1482.433,3655.795,2280.079
92,1623.158,1637.45,3533.106,3395.974,1613.77,1611.441,1493.569,1500.678
93,1657.383,1648.074,3647.732,3599.656,1633.063,1630.678,1628.201,1629.752
94,1681.436,1620.606,3699.662,3702.124,1646.537,1642.423,1634.326,1643.78
95,1628.096,1662.646,3458.63,3677.023,1587.683,1559.178,1636.483,1636.254
96,1667.663,1673.923,3709.453,3707.989,1478.466,1482.017,1649.512,1646.752
97,1612.561,1629.736,3550.462,3191.826,1492.926,1504.629,1587.443,1562.158
98,1579.789,1607.453,3578.106,3074.574,1590.926,1603.808,1594.541,1584.692
99,1636.556,1599.432,3720.724,3701.042,1584.73,1631.284,1482.68,1482.627
100,1646.174,1650.23,3707.578,3707.504,1646.398,1647.938,1483.098,1484.438
101,1649.735,1646.343,3713.985,3708.056,1650.046,1668.57,1604.485,1566.753
102,1593.912,1577.921,3640.459,3613.879,1620.128,1616.652,1469.65,1472.178
103,1521.042,1522.486,3709.737,3703.283,1565.482,1607.098,1485.35,1483.103
104,1535.871,1549.05,3687.653,3586.277,1633.785,1635.431,1499.545,1515.209
105,1549.069,1597.099,3633.129,3317.313,1615.357,1610.53,1588.734,1614.169
106,1651.379,1622.921,3521.744,3283.346,1537.094,1538.52,1459.09,1456.842
107,1670.914,1674.157,3710.805,3715.625,1665.421,1646.199,1649.852,1648.425
108,1646.092,1572.783,3700.519,3712.324,1649.172,1650.397,1648.129,1652.696
109,1648.779,1647.269,3699.037,3717,1649.744,1661.69,1660.791,1661.583
110,1639.963,1642.722,3694.428,3696.429,1672.012,1678.308,1639.075,1642.27
111,1758.338,3138.953,2704.84,3565.382,1673.523,2561.32,1640.324,1630.649
112,3464.201,3680.135,2236.249,1969.543,1609.542,1640.427,1641.375,1638.002
113,3594.168,3688.206,1491.621,1501.204,1674.627,1667.135,1640.757,1645.817
114,3715.06,3627.121,1487.445,1490.57,1629.241,1598.229,1591.213,1598.627
115,3745.682,3542.657,1533.923,1546.484,1538.552,1528.658,1562.205,1605.929
116,3679.488,3631.441,2118.382,1854.319,1773.031,1686.716,1653.384,1661.11
117,1497.063,1500.341,3359.175,3623.107,1526.191,1514.526,1638.613,1620.954
118,1489.01,1496.094,3492.579,3516.98,1592.975,1563.552,1599.112,1556.757
119,1621.931,1625.352,3304.202,3707.496,1621.649,1634.131,1621.929,1613.62
120,1610.763,1606.613,3449.609,3491.008,1561.041,1565.332,1606.419,1615.766
121,1617.26,1574.769,1725.541,1807.812,1610.773,1615.617,3430.866,3487.452
122,1589.68,1585.519,1604.391,1578.068,2605.558,2806.866,3241.032,3416.534
123,1606.441,1615.089,1636.018,1669.865,3661.468,3489.688,1547.149,1650.728
124,1617.273,1629.789,1630.921,1613.509,3670.969,3531.745,1621.627,1615.495
125,1577.479,1697.215,1453.513,1463.768,3547.746,3696.525,1466.913,1468.608
126,1585.693,1565.798,1547.291,1565.208,3637.677,3392.882,1609.007,2613.739
127,3216.799,3334.058,1596.771,1520.465,1560.153,1578.812,1535.063,1555.757
128,3743.131,3740.934,1491.906,1498.214,1495.503,1495.917,1524.37,1531.026
129,3726.795,3730.288,1549.596,1532.835,1495.847,1492.135,1514.162,1506.979
130,3547.146,3418.187,1503.239,1511.211,1502.135,1482.432,1618.161,1617.164
131,3769.002,3725.989,1658.146,1660.696,1695.796,1684.624,1657.68,1647.25
132,3718.278,3716.522,1604.278,1543.668,1648.818,1652.731,1672.018,1681.738
133,3644.514,3517.392,1490.823,1477.124,1659.527,1642.379,1633.702,1630.184
134,3358.716,3568.95,1611.315,1558.525,1562.098,1532.662,1552.646,1569.65
135,3738.883,3740.492,1657.483,1662.297,1696.611,1697.768,1660.922,1664.163
136,3733.619,3715.639,1654.88,1654.875,1654.07,1655.35,1630.903,1675.697
137,3661.909,3590.194,1640.33,1640.538,1971.074,2935.516,1470.325,1507.2
138,1545.572,1534.015,1457.974,1454.966,3356.505,3269.961,1469.604,1447.344
139,1608.447,1637.452,1466.089,1467.574,2933.93,2054.807,3320.319,2872.368
140,1477.611,1476.085,1475.441,1477.724,1476.964,1477.415,3688.624,3497.821
141,1482.939,1477.983,1606.234,1558.233,1427.153,1429.766,3308.139,3022.689
142,1640.729,1639.957,1635.605,1642.252,1679.48,1699.121,3712.393,3684.718
143,1630.211,1632.816,1633.008,1632.761,1590.647,1659.679,3702.385,3566.761
144,1517.547,1572.422,1659.645,2470.084,2912.488,2522.271,3010.692,2186.987
145,2141.168,1814.658,1568.71,1569.131,2914.026,3328.924,1506.429,1469.925
146,1625.708,1618.577,1636.089,1619.785,3599.806,3690.467,1615.84,1621.55
147,1591.363,1580.321,1572.895,1594.677,1599.515,1674.226,2998.105,3513.782
148,1598.664,1614.04,1562.489,1609.216,1586.774,1601.914,3363.068,3534.066
149,1603.817,1596.307,1663.354,1682.518,1597.638,1582.823,3168.503,3551.777
150,1453.682,1457.573,1511.996,1495.911,1557.902,1511.934,3365.933,3377.177
151,1482.015,1491.476,1571.522,1610.254,1479.562,1483.323,3703.805,3698.125
152,1528.675,1519.573,1463.84,1476.103,1469.977,1466.628,3472.141,3661.2
153,1718.056,1571.953,1472.951,1479.447,1478.984,1477.719,3700.096,3699.521
154,1485.237,1481.893,2344.444,1599.007,1489.923,1488.286,3617.197,3532.995
155,1598.985,1588.401,1707.975,1663.772,1598.472,1592.015,3373.914,3608.487
156,1655.345,1643.051,1626.28,1618.287,1620.679,1609.938,3575.234,3584.228
157,1483.135,1530.95,1591.292,1555.966,1536.489,1569.295,3316.517,3405.343
158,1620.491,1613.347,1618.116,1689.329,1640.956,1632.892,3631.361,3556.037
159,1617.206,1627.167,1628.476,1619.797,1648.125,1670.128,3520.291,3695.392
160,1451.349,1455.226,2840.055,2748.49,1584.207,1535.974,3273.15,2276.299
161,1619.67,1620.714,3681.998,3413.541,1620.087,1650.456,1626.285,1623.136
162,1473.329,1473.589,3685.706,3687.009,1519.947,1539.812,1596.913,1549.009
163,1525.859,1523.245,3758.347,3507.716,1522.405,1515.104,1649.971,1656.92
164,1632.349,1630.176,3567.181,3680.311,1634.423,1632.428,1674.3,1650.966
165,1460.734,1505.422,2767.402,3133.336,2090.864,1691.215,1625.008,2508.135
166,1485.129,1481.938,1484.32,1485.526,1620.221,1572.761,3526.716,3602.675
167,1767.512,1674.067,1485.804,1498.355,1606.247,1597.968,3359.231,3664.026
168,1638.99,1641.881,1622.658,1619.011,2084.456,1712.445,3650.349,3475.868
169,1613.521,1601.931,1608.606,1606.988,2493.009,2058.064,3523.029,3268.54
170,1652.158,1600.658,1621.389,1623.239,1622.419,1632.6,3461.518,3674.857
171,1600.053,1538.597,1575.167,1564.693,1505.397,1499.583,3425.348,3271.674
172,1758.041,1715.512,1609.261,1607.159,1593.084,1595.173,3538.412,3497.616
173,1627.07,1626.931,1631.397,1630.419,1671.011,1756.639,3410.791,3651.145
174,1600.187,1592.573,1477.044,1454.251,1564.966,1535.03,3515.108,3607.182
175,1639.532,1613.542,1495.47,1514.499,1511.576,1506.487,3625.318,2784.073
176,1623.819,1632.086,1627.328,1626.367,1632.537,1644.972,3682.186,3403.501
177,1607.848,1652.303,1618.044,1609.379,1625.453,1613.128,3675.549,3485.234
178,1642.376,1643.976,1642.436,1643.143,1643.243,1642.618,3698.428,3695.164
179,1615.273,1623.028,1853.701,2038.204,1625.542,1598.995,3535.736,3621.667
180,1592.233,1581.759,1990.908,1949.595,1589.628,1595.169,3618.569,3498.873
181,1628.418,1627.028,3353.777,3653.995,1671.441,1647.396,1618.884,1633.987
182,1916.425,2437.669,3658.996,3653.142,1625.37,1623.931,1629.774,1625.119
183,1558.556,1546.695,1814.414,2601.428,2086.965,1929.92,1733.824,2538.386
184,1272.569,1246.341,1381.983,1614.346,1442.737,1777.134,1224.663,1284.443
185,1618.339,1780.368,1479.824,1484.17,1331.952,1315.365,1243.478,1329.226
186,1335.201,1357.156,1583.836,1540.29,1588.413,1495.048,1286.332,1289.636
