name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,69900,3160,262207,25153
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,71478,3287,251403,24678
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,68551,3075,247558,33079
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,68279,3056,248718,25153
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,68965,3082,246887,25000
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,66364,2975,244873,24648
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,67475,3026,250244,24450
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,67380,3015,248168,25199
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,71952,3208,250793,25030
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,67008,3009,252075,24556
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,63919,2878,248535,24786
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,69052,3094,254027,24220
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,67169,3004,254272,25138
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,70911,3166,245056,25352
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,63218,2854,250366,24633
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,65996,2964,247070,24418
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,64861,2912,245178,24587
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,70373,3143,248291,24419
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,70100,3130,254150,25107
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,68703,3079,247497,24863
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,68983,3085,253478,24801
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,69630,3119,257201,25230
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,70338,3136,247741,25184
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,65635,2945,246765,24572
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,66322,2978,252136,24495
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,65968,2962,244995,24144
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,66401,2979,164856,25000
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,69629,3121,254333,25016
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,69832,3124,253906,24970
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,24,66687,2986,253051,24862
