name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2702,2724,242431,23669
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2862,2882,242431,23822
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2851,2872,240050,23670
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2808,2830,242248,23532
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42849,2870,241210,23271
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42845,2866,245055,23623
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42743,2889,246399,23715
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42643,2911,221741,23761
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42489,2872,242004,24112
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42408,2884,268737,23517
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,41997,2577,241027,23486
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42292,2629,251891,16203
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2613,2634,157104,24158
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,42878,2899,234069,24189
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2554,2574,244628,23669
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2567,2587,161010,15867
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2576,2597,244323,23363
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2599,2619,240661,23546
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2588,2608,151000,15836
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,2555,2576,156127,15820
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,39981,2614,247680,23592
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,40215,2622,242614,23730
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,40361,2569,241150,23807
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,40695,2624,155151,24296
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,40886,2614,251342,23501
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,41103,2596,236816,23393
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,41351,2610,165527,23547
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,41832,2863,233275,23623
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,41457,2589,157653,15544
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,11,41731,2624,150818,16233
