name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,19,89643,17830,1729121,159395
MergeSort,dahu-6.grenoble.grid5000.fr,19,86950,16748,1645076,149726
MergeSort,dahu-6.grenoble.grid5000.fr,19,86773,16682,1555538,140117
MergeSort,dahu-6.grenoble.grid5000.fr,19,85715,15885,1451230,131213
MergeSort,dahu-6.grenoble.grid5000.fr,19,84478,15919,1448605,131151
MergeSort,dahu-6.grenoble.grid5000.fr,19,87076,17823,1648678,148747
MergeSort,dahu-6.grenoble.grid5000.fr,19,87305,16432,1643123,148732
MergeSort,dahu-6.grenoble.grid5000.fr,19,85649,16630,1544551,139674
MergeSort,dahu-6.grenoble.grid5000.fr,19,87309,16562,1643001,147737
MergeSort,dahu-6.grenoble.grid5000.fr,19,87140,16394,1552364,140622
MergeSort,dahu-6.grenoble.grid5000.fr,19,85668,16387,1552669,140271
MergeSort,dahu-6.grenoble.grid5000.fr,19,89596,18463,1825617,158248
MergeSort,dahu-6.grenoble.grid5000.fr,19,87311,18048,1745235,156779
MergeSort,dahu-6.grenoble.grid5000.fr,19,90071,18222,1739986,157774
MergeSort,dahu-6.grenoble.grid5000.fr,19,86336,16551,1535274,139598
MergeSort,dahu-6.grenoble.grid5000.fr,19,85595,17069,1640437,148716
MergeSort,dahu-6.grenoble.grid5000.fr,19,84741,15736,1545589,139459
MergeSort,dahu-6.grenoble.grid5000.fr,19,85353,16059,1546443,138909
MergeSort,dahu-6.grenoble.grid5000.fr,19,82512,15317,1449398,130341
MergeSort,dahu-6.grenoble.grid5000.fr,19,87833,16778,1648006,148441
MergeSort,dahu-6.grenoble.grid5000.fr,19,89767,18104,1736384,157467
MergeSort,dahu-6.grenoble.grid5000.fr,19,85618,16632,1549618,139781
MergeSort,dahu-6.grenoble.grid5000.fr,19,86128,17551,1734553,156840
MergeSort,dahu-6.grenoble.grid5000.fr,19,83745,16576,1542355,139689
MergeSort,dahu-6.grenoble.grid5000.fr,19,87001,18679,1751949,168177
MergeSort,dahu-6.grenoble.grid5000.fr,19,87347,18719,1752376,166387
MergeSort,dahu-6.grenoble.grid5000.fr,19,85664,16703,1638668,140944
MergeSort,dahu-6.grenoble.grid5000.fr,19,90433,19751,1931391,176026
MergeSort,dahu-6.grenoble.grid5000.fr,19,87807,16756,1553035,140148
MergeSort,dahu-6.grenoble.grid5000.fr,19,88542,16979,1640804,148900
FrogJump,dahu-6.grenoble.grid5000.fr,19,1240269,185907,17911575,1695638
FrogJump,dahu-6.grenoble.grid5000.fr,19,1230849,184331,17852127,1700917
FrogJump,dahu-6.grenoble.grid5000.fr,19,1261318,193944,18718824,1794981
FrogJump,dahu-6.grenoble.grid5000.fr,19,1254604,199500,19192090,1841676
FrogJump,dahu-6.grenoble.grid5000.fr,19,1258979,197129,18985181,1806287
FrogJump,dahu-6.grenoble.grid5000.fr,19,2247525,320044,30850385,2909907
FrogJump,dahu-6.grenoble.grid5000.fr,19,1254087,198140,19097058,1826346
FrogJump,dahu-6.grenoble.grid5000.fr,19,1231981,186650,17964798,1692440
FrogJump,dahu-6.grenoble.grid5000.fr,19,3311454,490008,47392640,4462934
FrogJump,dahu-6.grenoble.grid5000.fr,19,1226402,188895,18207168,1714090
FrogJump,dahu-6.grenoble.grid5000.fr,19,1230993,188442,18124649,1734194
FrogJump,dahu-6.grenoble.grid5000.fr,19,1282349,207898,19954356,1911552
FrogJump,dahu-6.grenoble.grid5000.fr,19,1239706,188813,18235304,1732496
FrogJump,dahu-6.grenoble.grid5000.fr,19,1230756,188491,18075759,1713723
FrogJump,dahu-6.grenoble.grid5000.fr,19,2219927,327313,31635539,3005731
FrogJump,dahu-6.grenoble.grid5000.fr,19,1246730,202756,19546886,1841278
FrogJump,dahu-6.grenoble.grid5000.fr,19,1240632,201079,19308728,1814351
FrogJump,dahu-6.grenoble.grid5000.fr,19,1279744,226265,21752996,2077908
FrogJump,dahu-6.grenoble.grid5000.fr,19,1243443,197290,18985669,1810801
FrogJump,dahu-6.grenoble.grid5000.fr,19,1252796,195393,18949414,1808429
FrogJump,dahu-6.grenoble.grid5000.fr,19,1259320,200076,19392895,1865774
FrogJump,dahu-6.grenoble.grid5000.fr,19,1248416,195598,18889601,1798316
FrogJump,dahu-6.grenoble.grid5000.fr,19,1256154,201759,19515392,1864229
FrogJump,dahu-6.grenoble.grid5000.fr,19,1263790,216524,20873298,1983003
FrogJump,dahu-6.grenoble.grid5000.fr,19,1241109,198216,19089856,1817395
FrogJump,dahu-6.grenoble.grid5000.fr,19,1233638,196656,18888074,1798056
FrogJump,dahu-6.grenoble.grid5000.fr,19,1259739,202735,19570445,1855064
FrogJump,dahu-6.grenoble.grid5000.fr,19,1254181,198013,19084973,1813632
FrogJump,dahu-6.grenoble.grid5000.fr,19,1232433,194275,18690198,1776712
FrogJump,dahu-6.grenoble.grid5000.fr,19,2227737,332478,32111978,3021367
Life - sequential generation,dahu-6.grenoble.grid5000.fr,19,148714,148737,13927150,1292865
Life - sequential generation,dahu-6.grenoble.grid5000.fr,19,149410,149440,14065577,1292254
Life - sequential generation,dahu-6.grenoble.grid5000.fr,19,149374,149396,14066248,1292376
