name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,30,111996,20114,1835505,175506
MergeSort,dahu-6.grenoble.grid5000.fr,30,105579,19116,1758785,166388
MergeSort,dahu-6.grenoble.grid5000.fr,30,106583,19719,1846248,174833
MergeSort,dahu-6.grenoble.grid5000.fr,30,101043,19182,1751461,164858
MergeSort,dahu-6.grenoble.grid5000.fr,30,101950,18538,1657771,156427
MergeSort,dahu-6.grenoble.grid5000.fr,30,108360,22857,2109370,199848
MergeSort,dahu-6.grenoble.grid5000.fr,30,106018,20512,1960323,183922
MergeSort,dahu-6.grenoble.grid5000.fr,30,106813,18931,1755428,165454
MergeSort,dahu-6.grenoble.grid5000.fr,30,110414,20201,1850459,174940
MergeSort,dahu-6.grenoble.grid5000.fr,30,106597,19591,1833370,173945
MergeSort,dahu-6.grenoble.grid5000.fr,30,106405,19802,1842769,174618
MergeSort,dahu-6.grenoble.grid5000.fr,30,106820,19679,1842891,166372
MergeSort,dahu-6.grenoble.grid5000.fr,30,108412,20405,1868526,174680
MergeSort,dahu-6.grenoble.grid5000.fr,30,103972,19528,1851863,173747
MergeSort,dahu-6.grenoble.grid5000.fr,30,105310,20280,1850703,174160
MergeSort,dahu-6.grenoble.grid5000.fr,30,106029,18851,1752925,157529
MergeSort,dahu-6.grenoble.grid5000.fr,30,105034,20250,1833370,182483
MergeSort,dahu-6.grenoble.grid5000.fr,30,104486,20126,1748347,165776
MergeSort,dahu-6.grenoble.grid5000.fr,30,108771,20015,1845577,174604
MergeSort,dahu-6.grenoble.grid5000.fr,30,108535,19496,1758113,166066
MergeSort,dahu-6.grenoble.grid5000.fr,30,105336,18862,1746089,165072
MergeSort,dahu-6.grenoble.grid5000.fr,30,106120,19288,1751888,165501
MergeSort,dahu-6.grenoble.grid5000.fr,30,105114,21884,2018427,190409
MergeSort,dahu-6.grenoble.grid5000.fr,30,104882,19216,1751704,166204
MergeSort,dahu-6.grenoble.grid5000.fr,30,106903,19804,1755549,165439
MergeSort,dahu-6.grenoble.grid5000.fr,30,103682,18923,1663997,156901
MergeSort,dahu-6.grenoble.grid5000.fr,30,106552,22199,1925044,191847
MergeSort,dahu-6.grenoble.grid5000.fr,30,107294,19736,1836421,174497
MergeSort,dahu-6.grenoble.grid5000.fr,30,106967,20666,1841059,174283
MergeSort,dahu-6.grenoble.grid5000.fr,30,105409,18983,1767573,165761
FrogJump,dahu-6.grenoble.grid5000.fr,30,1374135,201182,18458999,1821450
FrogJump,dahu-6.grenoble.grid5000.fr,30,1343967,186909,17198259,1682510
FrogJump,dahu-6.grenoble.grid5000.fr,30,2446244,320177,29616318,2945097
FrogJump,dahu-6.grenoble.grid5000.fr,30,1350992,197726,18199660,1771450
FrogJump,dahu-6.grenoble.grid5000.fr,30,1384485,192757,17815506,1757970
FrogJump,dahu-6.grenoble.grid5000.fr,30,1378616,190842,17633073,1751774
FrogJump,dahu-6.grenoble.grid5000.fr,30,1363798,196053,18090774,1783628
FrogJump,dahu-6.grenoble.grid5000.fr,30,1365235,192391,17865799,1750963
FrogJump,dahu-6.grenoble.grid5000.fr,30,1362039,199240,18300429,1782633
FrogJump,dahu-6.grenoble.grid5000.fr,30,1388821,191761,17724441,1742563
FrogJump,dahu-6.grenoble.grid5000.fr,30,1333179,186292,17159685,1683245
FrogJump,dahu-6.grenoble.grid5000.fr,30,3500272,450919,41609879,4030448
FrogJump,dahu-6.grenoble.grid5000.fr,30,1386356,199745,18359206,1799678
FrogJump,dahu-6.grenoble.grid5000.fr,30,1370029,207856,19105786,1879559
FrogJump,dahu-6.grenoble.grid5000.fr,30,1370917,191576,17635758,1747367
FrogJump,dahu-6.grenoble.grid5000.fr,30,1369286,214909,19807140,1915331
FrogJump,dahu-6.grenoble.grid5000.fr,30,1395773,205971,18940687,1852493
FrogJump,dahu-6.grenoble.grid5000.fr,30,1347446,193479,17765030,1729573
FrogJump,dahu-6.grenoble.grid5000.fr,30,1361023,197697,18099136,1773729
FrogJump,dahu-6.grenoble.grid5000.fr,30,1373144,203273,18674147,1816844
FrogJump,dahu-6.grenoble.grid5000.fr,30,1363039,190209,17513566,1727171
FrogJump,dahu-6.grenoble.grid5000.fr,30,1354617,198819,18228530,1794720
FrogJump,dahu-6.grenoble.grid5000.fr,30,1382480,198964,18333815,1798714
FrogJump,dahu-6.grenoble.grid5000.fr,30,1374926,197710,18206497,1805828
FrogJump,dahu-6.grenoble.grid5000.fr,30,1353970,185500,17208391,1726957
FrogJump,dahu-6.grenoble.grid5000.fr,30,1329508,180464,16630390,1633198
FrogJump,dahu-6.grenoble.grid5000.fr,30,1379010,202739,18719191,1843711
FrogJump,dahu-6.grenoble.grid5000.fr,30,1346164,193637,17902115,1766385
FrogJump,dahu-6.grenoble.grid5000.fr,30,1364913,198281,18238112,1785862
FrogJump,dahu-6.grenoble.grid5000.fr,30,1353934,197557,18340590,1822505
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151476,151498,13731227,1304799
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151442,151466,13481472,1301632
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151208,151237,13407559,1294640
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,150735,150756,13470974,1301939
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151312,151333,13474575,1304386
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151345,151367,13482753,1302734
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,150945,150967,13479152,1301724
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,150951,150972,13388882,1293906
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151433,151455,13486538,1304065
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151225,151253,13382839,1292283
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,150969,150991,13473049,1301847
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,151255,151277,13474148,1300637
Life - sequential generation,dahu-6.grenoble.grid5000.fr,30,150915,150938,13472195,1303299
