name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,307368,23858,2166010,200032
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,304453,23624,2062494,188909
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,310933,24091,2192621,205769
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,296367,23008,2078975,194447
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,298296,23158,2090815,193392
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,305148,23673,2085016,191571
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,297938,23121,2070247,189368
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,302993,23509,2064936,189583
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,299017,23216,2078241,187716
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,297533,23109,2082392,187425
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,299551,23255,2078364,188434
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,295210,22909,2062556,188190
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,295564,22934,2076716,194325
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,300983,23350,2089289,194433
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,305058,23664,2170770,197370
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,300485,23323,2172175,196406
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,304217,23608,2163813,188496
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,298492,23166,2087275,189108
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,297757,23112,2073725,189277
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,299877,23280,2164485,200828
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,299699,23256,2161066,198686
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,300638,23330,2082270,189093
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,301972,23431,2072505,188618
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,293977,22821,1990046,184228
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,296222,22989,1986811,187134
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,297517,23086,2098261,186431
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,297645,23097,2083063,188909
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,302224,23453,2097589,187257
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,297062,23052,2095210,186737
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,13,303001,23509,2158442,195458
