name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162521,82571,7057355,614065
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162035,82058,6969037,608634
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162171,82192,7050763,622358
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,163677,82091,7055096,618702
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164064,81849,7073408,623077
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,165284,82220,7058087,619298
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,166151,82616,7069928,617707
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,161646,82026,6968854,611801
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162021,82044,6953657,620201
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162021,82042,7055890,618947
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,163859,82275,7050885,622037
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164264,82256,7056317,616223
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164980,82532,7144758,624623
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164454,81848,7047651,618365
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,161631,82202,7048871,620461
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162247,82337,7052838,615535
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162034,82052,6968000,611557
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162082,82104,6969282,612091
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,163483,82004,7035810,620752
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164359,82177,7054914,619329
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164997,82264,7052716,622848
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,165057,82007,7057416,619711
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,166236,82543,7140973,628264
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162210,82376,7045392,618870
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162376,82394,7055341,619849
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162209,82229,7057721,619528
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,162228,82248,7056928,618655
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,163557,82220,7044171,618701
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164053,82267,7055158,620981
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,2,164521,82300,7049482,621042
