name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,192320,39424,3487601,310176
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191411,39228,3392997,301241
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190494,38768,3394035,299558
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,192033,39394,3405143,300936
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190766,38868,3306571,300094
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190899,38878,3379203,298488
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190270,38778,3412894,301012
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191802,39064,3392081,299008
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190205,38797,3318229,291725
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190806,39086,3407340,299207
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190753,39129,3400443,300477
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191862,38997,3441825,307148
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,195420,39756,3610404,319663
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,192063,39317,3425528,306383
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190516,38844,3406852,301609
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190127,39053,3404654,291771
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190146,38736,3400504,300018
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,189129,38508,3313651,293010
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190726,38902,3319571,299176
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190138,38611,3322013,291954
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191062,38983,3304191,299529
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,189759,38839,3403922,299850
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191800,39223,3418571,299069
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190853,38902,3391165,300890
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,189569,38947,3401420,299038
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,190537,38866,3400687,299299
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,189317,38552,3323417,290057
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191006,39151,3411185,299941
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,191506,38924,3320243,300906
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,5,189989,38674,3312858,291128
