name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175295,43990,3832021,337043
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,173552,43925,3846548,340242
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,169177,43702,3846243,341006
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175695,43717,3842153,340043
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,174398,43459,3847768,338268
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,171863,43655,3747671,329424
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,169077,44050,3826223,341021
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175820,43840,3847830,333754
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,172717,43654,3839956,340073
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,169885,43867,3836050,338849
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175578,43601,3848013,340318
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175052,43634,3774344,327986
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,171950,43488,3754080,333418
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,169506,43576,3849661,339843
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175919,43941,3848135,334335
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,174728,43513,3762380,332056
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,171943,43422,3751638,326930
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,169575,43464,3840993,330343
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,167011,43227,3744925,326119
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175703,43725,3752432,328950
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,174131,43708,3849111,337977
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,170691,43526,3840689,338758
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,168124,43618,3753286,330618
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175702,43727,3775198,330296
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,174081,43758,3767507,325202
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,170895,43940,3864431,331459
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,163700,43719,3749136,332208
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,175410,43646,3757376,330817
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,171807,43134,3752065,324941
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,4,170667,43488,3745352,330572
