name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,316845,23854,2176508,188649
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,353256,25120,2252436,189062
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,319037,23547,2106379,184304
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,285812,23932,2172602,192382
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,333311,24470,2264460,193453
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,302915,23174,2079584,184304
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,310044,23883,2178523,193453
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,311858,23263,2164851,185910
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,278927,23136,2069208,177297
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,322907,23168,2072749,178811
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,312221,23229,2068781,177969
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,282447,23258,2089350,184610
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,335159,23362,2104914,184946
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,281787,23059,2090876,185298
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,335430,23456,2185420,185022
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,294385,23451,2181513,193423
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,346910,27385,2517877,222340
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,279536,23584,2175959,192673
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,311538,23907,2169428,186323
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,300268,23125,2071772,184319
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,334577,27935,2430963,223074
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,317965,23437,2173212,186813
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,303251,23468,2162775,185849
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,321162,23425,2083796,177786
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,295232,23197,2165460,192153
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,386260,29781,2704400,237838
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,275972,23071,2087886,185359
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,298596,23197,2079890,179010
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,302209,23146,2074702,178995
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,14,291151,24550,2254450,193147
