name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,388633,19904,2098689,180081
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,317008,17942,1755855,149558
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,380568,18051,1762630,153735
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,315944,18147,1782772,151822
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,322064,18093,1794307,157346
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,374388,19646,1961848,168637
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,428757,27391,2733513,219998
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,373204,18370,1796322,159212
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,370616,18225,1905330,166372
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,367272,18785,1869136,157865
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,340629,19890,1993648,171605
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,317077,18114,1768306,148854
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,314535,18118,1788570,158141
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,321793,17814,1777949,148686
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,321965,17994,1785518,150047
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,322211,18243,1787165,154852
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,339726,18038,1809810,159977
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,373551,17733,1790096,155968
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,369839,18352,1775081,155341
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,348648,18516,1874080,155969
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,366013,18189,1789241,157115
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,362864,18221,1774837,157421
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,332547,18778,1877070,163190
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,298629,18915,1864192,157376
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,352270,25258,2538934,211645
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,299340,17980,1776851,148028
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,310625,18994,1890132,166464
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,376403,19349,1960505,171436
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,352088,18138,1770809,149925
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,20,337340,17989,1663631,146482
