name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21450,3858,360839,31457
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21615,3942,359679,31886
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21380,3831,418029,31395
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21503,3933,361693,31075
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21141,3699,356994,31702
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21422,3900,359069,31212
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,20692,3746,340453,31028
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21276,3915,349426,31288
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,20886,3654,263000,23394
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21131,3790,269470,31411
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21472,3954,347106,31900
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21214,3713,274963,23898
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21307,3814,258849,23440
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21431,3862,346923,31273
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21044,3682,348326,31166
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21360,3737,353820,31029
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21385,3824,349792,23286
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21835,3972,348327,31182
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21567,3840,355956,31380
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21192,3814,351867,31135
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21168,3727,257934,23180
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21231,3713,347229,31136
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21760,3965,349120,31442
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21581,3851,350463,23486
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21503,3759,347289,31228
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21083,3781,354125,30615
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21149,3913,349670,30952
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21362,3825,272033,31549
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21289,3726,354552,31288
Life - parallel iterators generation,dahu-8.grenoble.grid5000.fr,6,21114,3801,349670,31273
