name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-7.grenoble.grid5000.fr,32,512275,16310,1477047,117825
MergeSort,dahu-7.grenoble.grid5000.fr,32,512926,16959,1579830,132895
MergeSort,dahu-7.grenoble.grid5000.fr,32,639369,19405,1735713,139521
MergeSort,dahu-7.grenoble.grid5000.fr,32,513094,17112,1560726,124986
MergeSort,dahu-7.grenoble.grid5000.fr,32,513781,17820,1653988,131519
MergeSort,dahu-7.grenoble.grid5000.fr,32,513162,17180,1643794,124343
MergeSort,dahu-7.grenoble.grid5000.fr,32,631526,18683,1741328,139077
MergeSort,dahu-7.grenoble.grid5000.fr,32,511710,15731,1473751,117274
MergeSort,dahu-7.grenoble.grid5000.fr,32,511863,15887,1465878,116081
MergeSort,dahu-7.grenoble.grid5000.fr,32,513527,17560,1570553,124542
MergeSort,dahu-7.grenoble.grid5000.fr,32,513015,17038,1468319,116770
MergeSort,dahu-7.grenoble.grid5000.fr,32,639106,19132,1679500,138664
MergeSort,dahu-7.grenoble.grid5000.fr,32,512500,16532,1464046,116999
MergeSort,dahu-7.grenoble.grid5000.fr,32,512791,16822,1544796,124435
MergeSort,dahu-7.grenoble.grid5000.fr,32,513955,17977,1643001,131795
MergeSort,dahu-7.grenoble.grid5000.fr,32,507314,17163,1569881,123839
MergeSort,dahu-7.grenoble.grid5000.fr,32,766097,22142,2019343,160788
MergeSort,dahu-7.grenoble.grid5000.fr,32,512363,16410,1558895,124435
MergeSort,dahu-7.grenoble.grid5000.fr,32,513969,18036,1645687,131014
MergeSort,dahu-7.grenoble.grid5000.fr,32,512007,17358,1560848,124282
MergeSort,dahu-7.grenoble.grid5000.fr,32,575164,19919,1809322,146467
MergeSort,dahu-7.grenoble.grid5000.fr,32,466187,18198,1635067,131381
MergeSort,dahu-7.grenoble.grid5000.fr,32,509486,19411,1745418,138740
MergeSort,dahu-7.grenoble.grid5000.fr,32,640060,20081,1828059,146237
MergeSort,dahu-7.grenoble.grid5000.fr,32,639174,19208,1753535,139001
MergeSort,dahu-7.grenoble.grid5000.fr,32,626721,17194,1546444,124221
MergeSort,dahu-7.grenoble.grid5000.fr,32,481628,17649,1643490,131749
MergeSort,dahu-7.grenoble.grid5000.fr,32,482636,18670,1721370,138787
MergeSort,dahu-7.grenoble.grid5000.fr,32,481394,17418,1643368,132101
MergeSort,dahu-7.grenoble.grid5000.fr,32,508096,18817,1740596,139061
FrogJump,dahu-7.grenoble.grid5000.fr,23,4524266,233474,20380502,1768404
FrogJump,dahu-7.grenoble.grid5000.fr,23,5157748,266950,23401856,2053979
FrogJump,dahu-7.grenoble.grid5000.fr,23,4306233,238397,20895577,1847628
FrogJump,dahu-7.grenoble.grid5000.fr,23,6609799,415240,36062224,3168523
FrogJump,dahu-7.grenoble.grid5000.fr,23,4461173,255255,22235478,1966968
