name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,395067,97121,5922592,685348
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,385691,96821,7266827,690428
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,408774,98321,7341961,699164
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,418283,102012,7568096,719176
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,406163,102271,6358199,725802
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,390777,97398,7285565,689005
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,385028,96670,7203656,683589
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,391708,98769,7350018,696426
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,409958,102408,6318465,724761
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,411259,102261,6272567,717539
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,389831,97052,5995223,692279
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,405645,101890,6266708,718152
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,390069,97368,7282880,688087
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,406322,101475,6254623,719344
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,391521,97387,7289166,688974
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,393451,97972,6029159,699164
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,385051,97233,7277875,690352
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,388998,97095,7309795,690321
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,400173,97754,7292828,690963
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,399103,97533,7349103,697588
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,407236,101717,6346663,723904
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,395541,97397,7281231,688515
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,383744,96918,7201153,684354
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,407786,102061,7651042,727867
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,387047,97143,6066757,691055
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,413842,101467,7580303,718319
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,387471,96401,5940231,683849
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,394203,97493,7345501,699470
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,393221,97164,7208661,683650
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,391046,96863,7277874,691637
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,396889,97896,7286419,690963
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,413085,101814,7655498,726949
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,407371,102414,6371200,728127
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,387100,97413,7290631,691652
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,387040,97546,7275006,687827
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,388498,97972,7361858,700985
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,393920,97186,7199261,685654
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,387513,97936,6154037,700251
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,415894,102311,7655620,732120
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,392153,97567,7287090,692953
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,391527,97374,6021835,691361
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,384219,97064,7277691,690413
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,417248,102180,7651714,725939
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,388464,97273,6046494,689203
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,395671,97395,7289105,691453
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,390086,96408,5915756,683880
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,392395,97309,6030197,691989
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,396024,97854,7279156,699500
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,414284,102531,7658489,725617
Life - sequential generation,dahu-31.grenoble.grid5000.fr,34,391531,97449,6043197,689800
