name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-7.grenoble.grid5000.fr,64,152853,19356,1706294,142688
MergeSort,dahu-7.grenoble.grid5000.fr,64,157747,19525,1702816,148961
MergeSort,dahu-7.grenoble.grid5000.fr,64,137469,16572,1436276,118911
MergeSort,dahu-7.grenoble.grid5000.fr,64,150294,16621,1525630,118897
MergeSort,dahu-7.grenoble.grid5000.fr,64,147085,17341,1610409,133600
MergeSort,dahu-7.grenoble.grid5000.fr,64,147661,17793,1523861,126271
MergeSort,dahu-7.grenoble.grid5000.fr,64,162490,17352,1521724,126102
MergeSort,dahu-7.grenoble.grid5000.fr,64,151193,17888,1609370,133248
MergeSort,dahu-7.grenoble.grid5000.fr,64,142858,18185,1603206,133600
MergeSort,dahu-7.grenoble.grid5000.fr,64,152183,16926,1440242,118790
MergeSort,dahu-7.grenoble.grid5000.fr,64,158304,17499,1532710,126393
MergeSort,dahu-7.grenoble.grid5000.fr,64,152924,17471,1618526,133416
MergeSort,dahu-7.grenoble.grid5000.fr,64,145260,16929,1531002,126454
MergeSort,dahu-7.grenoble.grid5000.fr,64,149077,17127,1520809,126546
MergeSort,dahu-7.grenoble.grid5000.fr,64,146120,17856,1612056,132528
MergeSort,dahu-7.grenoble.grid5000.fr,64,148248,18113,1604549,133339
MergeSort,dahu-7.grenoble.grid5000.fr,64,153848,17541,1619258,133308
MergeSort,dahu-7.grenoble.grid5000.fr,64,149663,17163,1529843,125949
MergeSort,dahu-7.grenoble.grid5000.fr,64,144629,17975,1610348,133325
MergeSort,dahu-7.grenoble.grid5000.fr,64,147650,16882,1525509,126072
MergeSort,dahu-7.grenoble.grid5000.fr,64,148152,16508,1430355,118713
MergeSort,dahu-7.grenoble.grid5000.fr,64,153155,18031,1608211,133677
MergeSort,dahu-7.grenoble.grid5000.fr,64,152313,17163,1525386,126179
MergeSort,dahu-7.grenoble.grid5000.fr,64,150824,17220,1526180,126133
MergeSort,dahu-7.grenoble.grid5000.fr,64,150578,16751,1532894,125858
MergeSort,dahu-7.grenoble.grid5000.fr,64,153694,18473,1689631,140515
MergeSort,dahu-7.grenoble.grid5000.fr,64,147400,16949,1525447,126179
MergeSort,dahu-7.grenoble.grid5000.fr,64,144832,17248,1528927,125949
MergeSort,dahu-7.grenoble.grid5000.fr,64,149417,16872,1525753,126225
MergeSort,dahu-7.grenoble.grid5000.fr,64,154115,17358,1616695,133386
FrogJump,dahu-7.grenoble.grid5000.fr,64,2545974,236616,21256172,1837316
FrogJump,dahu-7.grenoble.grid5000.fr,64,2189239,223804,19984996,1713508
FrogJump,dahu-7.grenoble.grid5000.fr,64,2502936,249091,22230778,1960894
FrogJump,dahu-7.grenoble.grid5000.fr,64,2195979,222838,20023142,1733674
FrogJump,dahu-7.grenoble.grid5000.fr,64,2356420,236425,21102118,1831900
FrogJump,dahu-7.grenoble.grid5000.fr,64,2402662,260648,23234254,2012332
FrogJump,dahu-7.grenoble.grid5000.fr,64,2400911,241075,21540777,1883109
FrogJump,dahu-7.grenoble.grid5000.fr,64,2224567,229729,20556588,1771755
FrogJump,dahu-7.grenoble.grid5000.fr,64,6723112,565321,50808463,4384858
FrogJump,dahu-7.grenoble.grid5000.fr,64,3953596,354661,31877359,2774701
FrogJump,dahu-7.grenoble.grid5000.fr,64,2482567,254873,22833987,1982956
FrogJump,dahu-7.grenoble.grid5000.fr,64,2142054,221755,19872263,1724753
FrogJump,dahu-7.grenoble.grid5000.fr,64,4922182,453958,40849810,3562483
FrogJump,dahu-7.grenoble.grid5000.fr,64,2159246,226210,20215524,1753135
FrogJump,dahu-7.grenoble.grid5000.fr,64,2451154,245849,21934881,1897170
FrogJump,dahu-7.grenoble.grid5000.fr,64,2093636,215610,19377270,1664410
FrogJump,dahu-7.grenoble.grid5000.fr,64,4584917,411602,36812528,3148786
FrogJump,dahu-7.grenoble.grid5000.fr,64,2176082,225760,20186533,1735142
FrogJump,dahu-7.grenoble.grid5000.fr,64,2517065,251555,22453861,1943849
