name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,1184978,149006,12967802,1253728
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,236074,149171,12389434,1252381
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149525,149491,12347197,1254998
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149836,149793,12440519,1263290
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149882,149841,12351653,1250821
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149488,149448,12360930,1250866
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149823,149589,12376738,1260123
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149565,149520,12388457,1253039
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149836,149816,12382781,1253574
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149209,149205,12376738,1251784
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149010,148974,12380767,1253529
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149771,149730,12358366,1252611
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149707,149667,12449065,1252779
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,150290,150251,12473601,1255916
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149721,149686,12405730,1254309
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,148613,148574,12313079,1245451
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149622,149583,12393095,1252321
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149748,149738,12469511,1260689
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149681,149671,12470182,1262801
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149733,149694,12435515,1263092
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149538,149500,12362701,1254952
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149062,149023,12276763,1244119
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149225,149193,12379668,1255457
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149797,149760,12467498,1253529
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149858,149823,12359710,1255641
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,150883,150808,12560759,1276892
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149427,149356,12504119,1266258
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149774,149759,12380156,1256328
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149635,149579,12431243,1264514
Life - sequential generation,dahu-27.grenoble.grid5000.fr,8,149903,149864,12464934,1263122
NBody sequential,dahu-27.grenoble.grid5000.fr,8,512032,64154,5485948,530849
NBody sequential,dahu-27.grenoble.grid5000.fr,8,512053,64079,5559495,539738
NBody sequential,dahu-27.grenoble.grid5000.fr,8,261471,64087,5508592,539693
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64091,64076,5459581,540014
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64090,64075,5456407,539983
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64043,64064,5376939,530268
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64082,64067,5461168,538958
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64077,64067,5461656,539830
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64082,64066,5458848,539738
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64071,64056,5451463,537978
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64090,64073,5451158,539554
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64044,64065,5452196,540243
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64060,64044,5390917,529946
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64064,64055,5455003,538728
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64071,64062,5464281,539004
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64575,64449,5545640,538269
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64043,64063,5373155,529778
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64087,64067,5466844,539233
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64082,64066,5457811,536021
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64090,64040,5459276,538362
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64068,64053,5542893,537306
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64056,64046,5466173,530099
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64056,64077,5474656,537795
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64081,64064,5387620,529273
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64068,64052,5460618,538636
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64059,64050,5370897,537443
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64063,64043,5453599,538790
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64058,64049,5462328,538957
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64037,64058,5460130,538774
NBody sequential,dahu-27.grenoble.grid5000.fr,8,64072,64062,5460923,538315
