name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78345,78421,3734121,313406
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36306,36387,1802303,157070
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77431,77510,3725942,320275
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35398,35527,2126765,235742
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73819,73890,3653556,309963
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35592,35644,1739253,149955
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77037,77114,3826833,335529
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35855,35932,1762691,143989
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77649,77720,3809560,336401
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35887,35963,2205988,230143
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77545,77715,4694385,548596
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35954,35984,2317560,264246
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75824,75900,4572437,544466
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35487,35561,1951106,174834
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78076,78152,3797171,323549
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36094,36120,1728511,143024
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78263,78337,3783560,308402
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36236,36306,1796016,155969
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77129,77164,3722952,306245
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36088,36117,1766963,149588
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77619,77690,3792593,317582
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36132,36202,1775691,172217
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78146,78219,3790579,321805
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35775,35849,1770320,167749
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77140,77214,3706412,310330
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36336,36463,2265741,257269
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76451,76534,3739065,313237
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35268,35327,1755916,157896
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76857,76933,3732412,315930
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36269,36341,2227838,256688
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77102,77250,4659778,551274
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35462,35548,2209223,257637
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76535,76616,4678394,550020
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35567,35639,2164057,249313
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76604,76776,4642688,550632
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36408,36534,1878719,161246
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78896,79021,3821402,313558
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36383,36460,1828608,164551
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75496,75611,3681326,321484
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34743,34770,2123164,250568
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76021,76098,4544849,543731
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36130,36157,1902705,169647
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78395,78490,3784414,321989
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36028,36101,1739559,149649
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76386,76463,3643606,303169
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36090,36215,2249628,255801
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77366,77438,3927664,352237
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36177,36252,1859614,164827
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78142,78217,3800466,321989
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36592,36664,1874018,184243
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78602,78675,3815726,316022
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36462,36537,1734004,148914
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77722,77797,3773611,311891
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36240,36312,1722957,148272
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77906,77995,3741568,310651
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35316,35394,1763668,143713
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77052,77124,3719778,306336
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36324,36395,1759822,144126
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77418,77493,3742300,308861
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36109,36189,1795101,148900
