name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,268219,95751,5335863,660027
NBody sequential,dahu-10.grenoble.grid5000.fr,1,104812,38242,2190058,273931
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,266869,94991,5369432,684094
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108618,38185,2137140,273641
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,263491,95214,5468674,688301
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108280,38236,2147578,276196
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,266471,95432,5412950,684583
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106960,38232,2178278,274222
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,269865,95139,5362413,687582
NBody sequential,dahu-10.grenoble.grid5000.fr,1,102570,38229,2228754,249038
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,266345,95085,5399217,688500
NBody sequential,dahu-10.grenoble.grid5000.fr,1,105711,38248,2193598,275078
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,264818,95294,5423203,688500
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106514,38209,2234430,282912
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265682,94874,5428697,685440
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107810,38239,2201776,274528
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265756,95095,5407457,686832
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107523,38235,2222223,274834
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265887,95243,5435594,686649
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106471,38208,2182551,275293
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,268414,95475,5415880,688301
NBody sequential,dahu-10.grenoble.grid5000.fr,1,105844,38239,2175959,273809
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,262826,93536,5288805,671012
NBody sequential,dahu-10.grenoble.grid5000.fr,1,105759,38179,2176264,274910
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,263770,94892,5362108,681645
NBody sequential,dahu-10.grenoble.grid5000.fr,1,90095,38287,2380670,250170
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265912,94706,5407274,683559
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107232,38274,2159785,275384
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,266686,95085,5386583,689755
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108057,38190,2146418,276165
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,264794,94718,5351000,681814
NBody sequential,dahu-10.grenoble.grid5000.fr,1,101403,38215,2245539,275675
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265962,94941,5334276,680682
NBody sequential,dahu-10.grenoble.grid5000.fr,1,101770,38219,2207331,241434
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,262919,95113,5463793,652545
NBody sequential,dahu-10.grenoble.grid5000.fr,1,104624,38208,2190363,273641
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,269367,95703,5403917,686251
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107989,38210,2170954,274681
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265176,95044,5426805,686863
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106901,38190,2167658,274314
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,269050,95607,5446398,693687
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108749,38229,2159480,275385
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,264038,94510,5332323,677254
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107091,38242,2163874,273824
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,266282,95157,5422105,675525
NBody sequential,dahu-10.grenoble.grid5000.fr,1,103426,38245,2229548,274176
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,263925,95216,5443040,656844
NBody sequential,dahu-10.grenoble.grid5000.fr,1,105643,38251,2182490,276257
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265016,95049,5441514,685822
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107579,38254,2233576,274635
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,265320,94930,5439134,688362
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106334,38265,2176386,275890
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,263598,95141,5475816,689219
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107501,38241,2177607,275217
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,264887,94650,5324083,681645
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108892,38239,2151545,276303
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,266426,94985,5406358,683237
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108276,38259,2228326,283402
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,268458,94984,5408006,688148
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108386,38253,2160029,275416
