name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78143,78291,4796008,553279
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30847,30913,1747188,185375
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76233,76331,4128774,459627
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31327,31459,2003535,223579
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78086,78177,4811999,562504
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31466,31588,1954402,223870
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76277,76416,4619312,543303
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31316,31428,1752010,210819
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78118,78197,4000722,390303
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31148,31265,1681759,179010
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75712,75797,4596973,526932
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31213,31330,1582393,151837
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77895,78014,4695423,547220
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31427,31546,1905818,219831
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77572,77708,4790881,556859
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31523,31596,1988399,230127
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75155,75261,4220448,544787
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31217,31310,1854182,221758
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77850,77976,4830066,560011
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30888,31026,1738887,222110
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77351,77477,4729297,550770
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31490,31615,1929072,228475
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76370,76475,3879628,356429
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31100,31226,1986445,230020
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74935,75028,3774831,368501
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31046,31170,1683223,202878
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77770,77895,4790149,563056
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31697,31780,1968012,231566
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77276,77402,4772876,557517
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30920,31039,1904170,225736
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76238,76341,4048086,446470
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31455,31483,1935848,219861
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75752,75845,3953298,391696
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31249,31387,1593746,147614
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77778,77901,4237172,470934
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31522,31626,1844721,230479
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77207,77335,4704577,554885
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30912,31153,1971430,224497
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77550,77680,4706898,555573
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31360,31496,1936274,222875
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75809,75937,4599903,546669
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31079,31151,1907893,223165
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76247,76376,4670398,554059
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31678,31803,2031062,229821
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74726,74858,4432301,532073
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31618,31735,1971003,228383
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75499,75649,3869253,396484
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31342,31449,1799434,191540
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76614,76743,4684253,549928
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31194,31313,1920100,219724
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76647,76718,4632984,539693
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30953,31049,1677486,168958
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78206,78279,4785571,539096
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31441,31516,1715938,184655
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75719,75821,4017751,435132
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30590,30683,1624751,174558
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76802,76864,4190541,431689
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31421,31545,1960200,229133
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75168,75274,3990529,410958
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31407,31535,2010981,228353
