name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,378512,95519,5712449,690122
NBody sequential,dahu-10.grenoble.grid5000.fr,1,177727,44226,3217216,317032
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,386407,96198,6984967,691254
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174968,44166,3220207,315471
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,388667,96540,6994855,689801
NBody sequential,dahu-10.grenoble.grid5000.fr,1,179230,44434,2625482,317567
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,386170,95703,6899763,683359
NBody sequential,dahu-10.grenoble.grid5000.fr,1,173519,44222,2702081,324406
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,386532,96270,6965864,689311
NBody sequential,dahu-10.grenoble.grid5000.fr,1,173389,44221,3216117,318118
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,390017,96512,6993268,693014
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175359,44206,2641900,317827
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,382573,96310,6981244,695247
NBody sequential,dahu-10.grenoble.grid5000.fr,1,173203,44230,2644219,319755
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,386151,95649,6907087,684079
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174600,44218,2646416,317062
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,387814,96055,6912153,687720
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175187,44217,2657464,319648
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,388068,96173,6968855,692157
NBody sequential,dahu-10.grenoble.grid5000.fr,1,172937,44231,2638055,318715
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,394225,95769,6985272,691392
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174170,44202,3223076,318087
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,387978,95196,6917768,684920
NBody sequential,dahu-10.grenoble.grid5000.fr,1,176194,44226,2643792,317583
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,384330,96105,6906233,686939
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174809,44279,2649163,317399
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,379121,95908,5778733,693289
NBody sequential,dahu-10.grenoble.grid5000.fr,1,144318,46265,3605948,366098
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,380675,96163,5832505,695890
NBody sequential,dahu-10.grenoble.grid5000.fr,1,172690,44257,3226798,316373
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,379003,96063,5723679,694176
NBody sequential,dahu-10.grenoble.grid5000.fr,1,172525,44225,2740655,318271
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,384236,95979,6998090,694512
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175408,44238,2651300,317904
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,379367,95626,5677475,684460
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174647,44244,2640618,317261
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,389831,95836,6993390,695002
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175017,44204,3278984,324559
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,397149,100337,6010361,717769
NBody sequential,dahu-10.grenoble.grid5000.fr,1,153175,44315,3236137,316251
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,383738,95938,6937848,684323
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175862,44298,3241325,315042
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,383694,96529,5762619,688944
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175591,44210,3209770,317338
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,351693,95844,6974652,687719
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174825,44216,2647088,318317
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,380692,95969,5768174,695140
NBody sequential,dahu-10.grenoble.grid5000.fr,1,173285,44272,3224479,317659
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,376417,95844,5746994,685501
NBody sequential,dahu-10.grenoble.grid5000.fr,1,176255,44315,3217948,317246
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,376431,95584,5707505,684155
NBody sequential,dahu-10.grenoble.grid5000.fr,1,173054,44227,2661919,318026
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,382037,96108,5739305,694482
NBody sequential,dahu-10.grenoble.grid5000.fr,1,175817,44291,3217888,316970
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,384631,95597,6911848,686297
NBody sequential,dahu-10.grenoble.grid5000.fr,1,172327,44227,2677300,318760
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,378046,95786,6924238,687429
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174984,44249,2651787,317367
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,378413,95760,6907208,681569
NBody sequential,dahu-10.grenoble.grid5000.fr,1,173891,44224,2664238,315716
