name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77511,77590,4650196,556430
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29441,29515,1760982,211323
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73867,73995,4358266,535469
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31367,31496,1928950,224956
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74927,75056,4429615,543685
NBody sequential,dahu-10.grenoble.grid5000.fr,1,28500,28574,1481991,128933
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73683,73757,3616323,316633
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31368,31499,1527523,124435
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74723,74841,3722402,378033
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30737,30855,1479184,123272
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72551,72710,4122060,511555
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29668,29795,1747494,204577
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76309,76437,4572498,549928
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31080,31210,1903071,224925
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73613,73738,4294484,525831
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30465,30554,1909175,217061
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72831,72919,4266774,528279
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30296,30430,1887264,223992
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75261,75403,4582324,548199
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31195,31319,1910579,225048
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74214,74343,4390369,535332
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30872,30963,1904170,224206
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74053,74178,4310352,533664
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30553,30680,1821956,216113
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74486,74672,4449269,534873
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29353,29422,1505428,140591
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75984,76101,3644461,304638
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30874,30995,1484554,130111
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72621,72801,4164419,497831
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31504,31626,1533016,132973
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75862,75943,3620474,303292
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31437,31558,1496089,142198
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73232,73363,3487845,291603
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30254,30384,1436947,125169
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74392,74537,3565542,295978
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31375,31505,1474423,127878
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75092,75179,3582327,298029
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30739,30860,1494076,135543
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73620,73699,3482718,291144
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30430,30562,1433224,124251
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75580,75663,3532889,307713
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30318,30449,1487911,128061
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73399,73531,3526785,289308
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30305,30434,1483395,124114
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76318,76452,3634878,305434
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30148,30283,1436093,119111
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73770,73898,3534110,302665
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29092,29250,1664547,189124
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73616,73743,4306385,529350
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31188,31317,1985103,232621
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75085,75211,4451649,543135
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31311,31435,1909053,224818
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75340,75418,3694327,333510
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29212,29346,1446957,140408
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75126,75285,4385365,524729
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29497,29580,1747432,211094
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77288,77414,4611134,557685
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31086,31166,1865840,218897
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73610,73742,4352345,529762
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31392,31516,1918696,225002
