name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,764111,95609,7520427,711083
NBody sequential,dahu-10.grenoble.grid5000.fr,1,293603,36284,2342523,266679
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,863714,101777,8428751,747925
NBody sequential,dahu-10.grenoble.grid5000.fr,1,298371,36436,3121146,261921
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,846597,103238,5577806,667616
NBody sequential,dahu-10.grenoble.grid5000.fr,1,386624,48399,2375055,198839
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,600994,74504,4490711,524897
NBody sequential,dahu-10.grenoble.grid5000.fr,1,389134,48159,4284230,345030
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,733129,92317,7088056,676842
NBody sequential,dahu-10.grenoble.grid5000.fr,1,401307,47494,3044976,317138
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,746508,94311,6938947,685853
NBody sequential,dahu-10.grenoble.grid5000.fr,1,414873,47992,4116994,344494
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,860520,101741,8416910,749211
NBody sequential,dahu-10.grenoble.grid5000.fr,1,290029,35965,3114372,262364
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,861378,102067,6564253,754213
NBody sequential,dahu-10.grenoble.grid5000.fr,1,339046,41538,3074821,311814
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,624261,77281,6701399,554671
NBody sequential,dahu-10.grenoble.grid5000.fr,1,386112,48246,2462824,215853
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,860081,103205,5561082,720155
NBody sequential,dahu-10.grenoble.grid5000.fr,1,401254,47693,2971062,333907
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,863840,101822,5792953,598123
NBody sequential,dahu-10.grenoble.grid5000.fr,1,345588,44102,3418692,323350
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,827603,102526,9065772,731141
NBody sequential,dahu-10.grenoble.grid5000.fr,1,388241,48215,4292286,344801
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,841777,103445,9186256,739449
NBody sequential,dahu-10.grenoble.grid5000.fr,1,415930,47790,4090627,356597
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,868620,102388,8721474,753310
NBody sequential,dahu-10.grenoble.grid5000.fr,1,393704,48347,4295033,346224
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,863818,102088,8530129,746763
NBody sequential,dahu-10.grenoble.grid5000.fr,1,316197,39389,3266715,285238
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,824291,102651,5604600,536494
NBody sequential,dahu-10.grenoble.grid5000.fr,1,391719,47626,3099175,345765
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,837818,101946,6571821,746823
NBody sequential,dahu-10.grenoble.grid5000.fr,1,386301,48063,2516412,227343
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,656427,83289,5600999,571256
NBody sequential,dahu-10.grenoble.grid5000.fr,1,390004,48197,4324513,347830
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,830148,102609,9080604,740137
NBody sequential,dahu-10.grenoble.grid5000.fr,1,267878,33451,2874199,239414
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,849185,101657,6622969,738302
NBody sequential,dahu-10.grenoble.grid5000.fr,1,389178,47615,3033622,315930
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,865433,103765,9349891,747772
NBody sequential,dahu-10.grenoble.grid5000.fr,1,394045,47467,3098014,345214
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,849853,102203,6563460,715305
NBody sequential,dahu-10.grenoble.grid5000.fr,1,400764,47702,2889702,293087
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,837011,102245,6177535,628524
NBody sequential,dahu-10.grenoble.grid5000.fr,1,407147,47773,2910881,352450
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,839434,101565,6635298,716224
NBody sequential,dahu-10.grenoble.grid5000.fr,1,347059,43243,3204948,316527
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,875777,103010,9016639,751399
NBody sequential,dahu-10.grenoble.grid5000.fr,1,385673,48084,4214406,340456
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,850219,102602,9047096,740903
NBody sequential,dahu-10.grenoble.grid5000.fr,1,392631,47985,4186635,341021
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,885166,101985,8688942,757503
NBody sequential,dahu-10.grenoble.grid5000.fr,1,291336,35584,3050407,254852
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,779661,102794,7785929,769054
NBody sequential,dahu-10.grenoble.grid5000.fr,1,390385,47241,3179680,319754
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,795337,100561,7016095,744406
NBody sequential,dahu-10.grenoble.grid5000.fr,1,395255,47448,3106132,351456
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,840392,101751,6855635,741760
NBody sequential,dahu-10.grenoble.grid5000.fr,1,337176,47229,3561758,355832
