name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,83738,83855,3909230,330664
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35545,35624,2051081,230388
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77396,77526,3680777,341909
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33697,33847,1919245,198013
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74250,74367,3521292,315150
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33997,34067,1585873,134717
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73901,73982,4265492,509673
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34381,34491,1650386,154745
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73312,73445,3417045,292582
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33639,33701,1961787,230326
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73019,73168,4210011,523444
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34023,34138,1653744,152893
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72372,72452,4076955,484337
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34178,34287,1617000,139536
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73674,73789,3436393,306137
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33981,34190,1948176,220549
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74938,75059,3535758,310698
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33509,33578,1965815,222386
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74148,74267,3507193,319234
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34650,34770,1663264,145595
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73569,73698,3471732,292658
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33905,33978,1584286,148578
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73478,73641,4277821,523352
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34490,34619,1731380,165929
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74204,74327,3476065,314599
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33971,34046,1590328,134777
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73942,74269,4247914,518074
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33498,33580,1928950,236156
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74050,74133,3513479,316343
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33850,34006,1938716,209488
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73019,73136,3469474,304807
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34064,34139,1595454,134579
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72634,72708,4114552,490901
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36391,36470,1749690,160849
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72764,72845,4198048,504028
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34253,34330,1658015,157666
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73865,73942,3454398,290271
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34389,34524,1667171,154086
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74651,74731,3498404,299130
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33800,33872,1608333,135038
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73468,73542,3510916,299957
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33654,33736,1996699,232162
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74246,74330,3553885,308356
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34334,34461,1595882,143346
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73285,73399,3497427,289583
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33884,33974,1964350,224543
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73871,73952,3538566,318699
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34275,34399,1612301,133936
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74021,74149,3509512,292980
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34591,34708,1617061,135268
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73655,73685,3458121,287564
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34222,34276,1623714,147706
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73402,73519,3583059,370964
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34480,34578,1698177,157161
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74027,74186,3559744,327588
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34494,34566,1611141,134594
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73877,74005,3498160,311431
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33960,34048,1627987,154545
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73615,73739,3434012,297983
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34404,34480,1595699,134395
