name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,531682,99181,5119982,620935
NBody sequential,dahu-10.grenoble.grid5000.fr,1,151135,29980,1842708,214537
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,511375,99507,4821765,419480
NBody sequential,dahu-10.grenoble.grid5000.fr,1,156930,29527,1786129,203841
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,509534,98217,8033976,711649
NBody sequential,dahu-10.grenoble.grid5000.fr,1,210908,40125,3303031,290011
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,532526,99480,8103678,717555
NBody sequential,dahu-10.grenoble.grid5000.fr,1,211168,40109,3303214,290746
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,527438,99457,8234659,724822
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206860,40068,3307365,290088
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,406267,76022,5973496,551947
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206102,40082,3307426,290363
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,410201,75669,5909348,544971
NBody sequential,dahu-10.grenoble.grid5000.fr,1,208345,40084,2108637,192444
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,531089,99767,5433336,671379
NBody sequential,dahu-10.grenoble.grid5000.fr,1,211592,40267,2184076,236430
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,521871,100138,5012865,507394
NBody sequential,dahu-10.grenoble.grid5000.fr,1,205344,40045,2158686,248548
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,539065,99230,5401170,678264
NBody sequential,dahu-10.grenoble.grid5000.fr,1,205855,40102,1984553,178459
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,510152,99294,4854968,449132
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206950,40216,1918391,159824
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,533788,99289,5404344,666101
NBody sequential,dahu-10.grenoble.grid5000.fr,1,207183,40244,1989863,173869
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,506551,98860,5513292,616560
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206359,40198,2304620,289354
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,521642,99181,5490465,717891
NBody sequential,dahu-10.grenoble.grid5000.fr,1,170833,30221,1885859,217183
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,407219,75799,4711597,543624
NBody sequential,dahu-10.grenoble.grid5000.fr,1,164450,30003,1875727,218529
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,528937,99670,5166613,642814
NBody sequential,dahu-10.grenoble.grid5000.fr,1,216544,40267,2223627,289033
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,435257,77712,5116869,564417
NBody sequential,dahu-10.grenoble.grid5000.fr,1,155854,30153,1874690,217474
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,515926,99561,8137003,713011
NBody sequential,dahu-10.grenoble.grid5000.fr,1,205890,40078,3305411,288696
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,516717,99416,8148783,716897
NBody sequential,dahu-10.grenoble.grid5000.fr,1,212561,40156,3324882,289461
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,508069,99017,8060282,706890
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206024,40053,3296989,288619
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,509079,99012,8129374,714250
NBody sequential,dahu-10.grenoble.grid5000.fr,1,205858,40005,3314078,288680
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,512350,99437,8128092,716147
NBody sequential,dahu-10.grenoble.grid5000.fr,1,207078,40085,3293693,288987
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,521456,99883,8173197,715122
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206790,40078,3223929,282193
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,517512,99244,8167765,712368
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206370,40024,3315910,280740
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,503442,97999,8002177,706095
NBody sequential,dahu-10.grenoble.grid5000.fr,1,206131,40138,3319144,287747
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,506846,98318,8092142,708299
NBody sequential,dahu-10.grenoble.grid5000.fr,1,147417,29245,2334405,209075
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,537684,100314,5407579,721365
NBody sequential,dahu-10.grenoble.grid5000.fr,1,213007,40244,2087153,244326
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,508098,99470,4799671,404470
NBody sequential,dahu-10.grenoble.grid5000.fr,1,212412,40203,2041865,264247
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,520358,99247,4971301,518808
NBody sequential,dahu-10.grenoble.grid5000.fr,1,208314,40028,2027766,176286
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,523529,99310,5105577,693931
NBody sequential,dahu-10.grenoble.grid5000.fr,1,208209,40008,2026423,200828
