name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,428444,79755,5782822,563882
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,551048,100651,6466170,745278
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,539227,100528,6410994,744253
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,481243,86479,6945356,638806
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,548490,100936,6721784,751246
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,532895,100674,6692915,742723
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,607586,96868,7800578,715917
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,596095,93893,7561931,700266
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,630594,96223,7672587,714387
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,560655,100796,6682905,745783
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,577199,90745,7375409,669237
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,559689,101111,6798078,751750
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,565650,100611,6612959,743626
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,548059,100802,6759382,750786
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,563646,90797,7124737,678983
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,551984,100360,6548995,736373
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,560578,100641,6652022,746104
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,558127,90276,7143414,669895
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,558580,101206,6639937,749241
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,561613,101320,6711592,754167
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,558524,101356,6669050,750787
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,544083,86568,7048627,638637
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,535809,87622,7197369,651964
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,518042,85871,7004499,629611
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,548215,100955,6747114,750465
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,547367,100692,6779280,749593
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,541585,100522,6723921,745599
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,543862,100554,6697187,742907
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,536579,100525,6765180,742631
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,547223,100363,6704939,742585
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,572275,91042,7451580,677699
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,563977,91167,7487468,677300
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,542951,100929,6710615,743350
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,578636,94276,7633953,695691
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,542043,100467,6750593,745890
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,534453,100674,6809187,746517
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,553255,91409,7456402,678907
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,536885,100767,6777509,740857
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,541361,87604,7184003,646547
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,574776,92628,7419415,681569
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,546153,85916,6964582,638194
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,540181,95916,6364730,709063
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,550009,90484,7339092,674317
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,512176,100791,7157392,752821
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,571196,91170,7357342,675664
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,543995,100535,6673262,745033
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,537810,87086,7092267,646777
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,541467,101003,6832502,745461
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,568176,91742,7391948,676337
Life - sequential generation,dahu-8.grenoble.grid5000.fr,45,571276,91131,7315045,668274
