name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,84036,13863,711790,60955
FrogJump,dahu-14.grenoble.grid5000.fr,23,976016,116757,5830795,503585
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72746,72891,4475270,547542
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,593981,20732,1234250,153888
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,86944,3411,336791,23042
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,603813,21350,2319269,166647
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33091,33161,2153314,245978
QuickSort,dahu-14.grenoble.grid5000.fr,17,96955,8008,494628,61781
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,6376,1300,108398,15422
MergeSort,dahu-14.grenoble.grid5000.fr,43,83101,13791,727232,60679
FrogJump,dahu-14.grenoble.grid5000.fr,23,1085551,141539,8057474,1053129
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,73375,73450,4413807,560485
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,508642,17785,938840,87669
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,87428,3503,367003,17992
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,626425,21937,2484307,151210
NBody sequential,dahu-14.grenoble.grid5000.fr,1,32920,32995,1801570,162960
QuickSort,dahu-14.grenoble.grid5000.fr,17,99013,8771,518614,43927
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,6088,1142,49804,7711
MergeSort,dahu-14.grenoble.grid5000.fr,43,94867,13846,1092954,104530
FrogJump,dahu-14.grenoble.grid5000.fr,23,2076220,243754,20729805,1904177
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72912,72987,3832937,347096
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,574670,20252,2342706,138266
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,74097,2934,332031,23271
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,521542,18787,2336298,146284
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33736,33806,2313166,261584
QuickSort,dahu-14.grenoble.grid5000.fr,17,95710,7702,510191,61598
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,6439,1147,113159,15376
MergeSort,dahu-14.grenoble.grid5000.fr,43,78923,13948,938474,107896
FrogJump,dahu-14.grenoble.grid5000.fr,23,1045786,134844,7700969,999442
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72970,73058,4526111,560944
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,670371,23425,2230463,180861
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,79721,3000,338683,23700
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,437165,15642,1945796,123761
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33839,33913,2335321,253857
QuickSort,dahu-14.grenoble.grid5000.fr,17,97010,8302,811461,71420
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,8370,1238,163757,15423
MergeSort,dahu-14.grenoble.grid5000.fr,43,79663,13597,1107664,101026
FrogJump,dahu-14.grenoble.grid5000.fr,23,1034784,131778,11071261,996765
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72889,72969,3810293,345123
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,451682,16546,1860835,123196
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,74859,3055,346008,23363
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,462933,16430,1995112,122706
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33939,34066,2338128,262074
QuickSort,dahu-14.grenoble.grid5000.fr,17,90889,7328,674071,56717
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7077,1362,64941,15284
MergeSort,dahu-14.grenoble.grid5000.fr,43,82851,12581,1141294,102189
FrogJump,dahu-14.grenoble.grid5000.fr,23,1037646,134971,11374849,1043597
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77330,77412,4988024,592340
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,507243,18041,994687,110007
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,80834,3265,345764,31273
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,840908,29476,2869195,241740
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33620,33745,2279230,260437
QuickSort,dahu-14.grenoble.grid5000.fr,17,96361,7737,745359,65270
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5867,1091,94848,8171
MergeSort,dahu-14.grenoble.grid5000.fr,43,91234,13276,760801,81809
FrogJump,dahu-14.grenoble.grid5000.fr,23,1062373,135083,7788372,1005133
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,72833,72906,4535816,561280
