name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,72333,16342,856810,69676
FrogJump,dahu-14.grenoble.grid5000.fr,23,720746,140084,7007795,606828
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,146013,96399,4803882,424605
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,171385,13154,740660,69034
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,58921,4776,269287,37455
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,160654,11929,634215,71466
NBody sequential,dahu-14.grenoble.grid5000.fr,1,69209,44872,2273188,201822
QuickSort,dahu-14.grenoble.grid5000.fr,17,53444,8051,402831,34792
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,5252,1071,49133,4360
MergeSort,dahu-14.grenoble.grid5000.fr,43,73295,16230,796018,68529
FrogJump,dahu-14.grenoble.grid5000.fr,23,702270,121884,6071091,528079
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,144870,95688,4741504,420766
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,181458,14068,787291,80738
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,53826,4225,255431,30661
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,153953,11137,642942,79682
NBody sequential,dahu-14.grenoble.grid5000.fr,1,68096,44971,3346915,338099
QuickSort,dahu-14.grenoble.grid5000.fr,17,53096,7765,653685,53871
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4951,1096,58044,8078
MergeSort,dahu-14.grenoble.grid5000.fr,43,70815,15197,1373592,123578
FrogJump,dahu-14.grenoble.grid5000.fr,23,710559,130377,10960726,1069761
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,147868,96211,7031171,737032
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,161145,12206,1287838,92442
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,57309,4284,457214,30707
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,176997,13054,1455867,100613
NBody sequential,dahu-14.grenoble.grid5000.fr,1,68828,44971,3440299,345535
QuickSort,dahu-14.grenoble.grid5000.fr,17,53568,8000,723448,61598
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,4977,1086,155883,15606
MergeSort,dahu-14.grenoble.grid5000.fr,43,73454,15111,1379147,116280
