name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-2.grenoble.grid5000.fr,15,91992,20945,1861323,183141
MergeSort,dahu-2.grenoble.grid5000.fr,15,95713,20451,1902216,192076
MergeSort,dahu-2.grenoble.grid5000.fr,15,92170,20379,1783748,173104
MergeSort,dahu-2.grenoble.grid5000.fr,15,91822,21131,1880306,181213
MergeSort,dahu-2.grenoble.grid5000.fr,15,92186,20237,1796260,173211
MergeSort,dahu-2.grenoble.grid5000.fr,15,91418,20008,1792659,172691
MergeSort,dahu-2.grenoble.grid5000.fr,15,94897,22017,1874751,190164
MergeSort,dahu-2.grenoble.grid5000.fr,15,95160,20865,1880611,173670
MergeSort,dahu-2.grenoble.grid5000.fr,15,93038,19148,1698726,164200
MergeSort,dahu-2.grenoble.grid5000.fr,15,93695,19941,1785640,172660
MergeSort,dahu-2.grenoble.grid5000.fr,15,94879,20075,1793636,172966
MergeSort,dahu-2.grenoble.grid5000.fr,15,95509,21254,1874202,181260
MergeSort,dahu-2.grenoble.grid5000.fr,15,96453,22045,1964961,190699
MergeSort,dahu-2.grenoble.grid5000.fr,15,93534,20228,1787837,172447
MergeSort,dahu-2.grenoble.grid5000.fr,15,93589,20018,1809505,182192
MergeSort,dahu-2.grenoble.grid5000.fr,15,92920,19949,1788997,172966
MergeSort,dahu-2.grenoble.grid5000.fr,15,92679,19561,1702755,163878
MergeSort,dahu-2.grenoble.grid5000.fr,15,93749,20381,1780635,171497
MergeSort,dahu-2.grenoble.grid5000.fr,15,92696,20331,1810603,172584
MergeSort,dahu-2.grenoble.grid5000.fr,15,95983,23195,2071650,198364
MergeSort,dahu-2.grenoble.grid5000.fr,15,92393,19891,1779415,172248
MergeSort,dahu-2.grenoble.grid5000.fr,15,92721,20557,1801204,172079
MergeSort,dahu-2.grenoble.grid5000.fr,15,96556,22438,2050349,197569
MergeSort,dahu-2.grenoble.grid5000.fr,15,93796,20594,1800838,173242
MergeSort,dahu-2.grenoble.grid5000.fr,15,93348,19830,1786067,173058
MergeSort,dahu-2.grenoble.grid5000.fr,15,94801,20536,1793330,172675
MergeSort,dahu-2.grenoble.grid5000.fr,15,94070,19820,1789302,172828
MergeSort,dahu-2.grenoble.grid5000.fr,15,93973,21698,1961970,190684
MergeSort,dahu-2.grenoble.grid5000.fr,15,91804,19210,1697688,163129
MergeSort,dahu-2.grenoble.grid5000.fr,15,92462,19408,1698665,164949
FrogJump,dahu-2.grenoble.grid5000.fr,15,1192724,206073,18285598,1845654
FrogJump,dahu-2.grenoble.grid5000.fr,15,1217051,212291,18996350,1972002
FrogJump,dahu-2.grenoble.grid5000.fr,15,1224780,215430,19158521,1959533
FrogJump,dahu-2.grenoble.grid5000.fr,15,1225013,223998,19945872,2028458
FrogJump,dahu-2.grenoble.grid5000.fr,15,1224898,229217,20410104,2054193
FrogJump,dahu-2.grenoble.grid5000.fr,15,1207903,221634,19812754,2017580
FrogJump,dahu-2.grenoble.grid5000.fr,15,1209509,209969,18804335,1901347
FrogJump,dahu-2.grenoble.grid5000.fr,15,1219448,225694,20150949,2074803
FrogJump,dahu-2.grenoble.grid5000.fr,15,1216068,215719,19227306,1951668
FrogJump,dahu-2.grenoble.grid5000.fr,15,1228825,217587,19300121,1953382
FrogJump,dahu-2.grenoble.grid5000.fr,15,1204342,205424,18420668,1900337
FrogJump,dahu-2.grenoble.grid5000.fr,15,1194445,202293,17975113,1828533
