name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-2.grenoble.grid5000.fr,25,93440,17219,1524532,148853
MergeSort,dahu-2.grenoble.grid5000.fr,25,88453,15921,1428280,138480
MergeSort,dahu-2.grenoble.grid5000.fr,25,93109,17362,1612606,147048
MergeSort,dahu-2.grenoble.grid5000.fr,25,90800,15520,1431637,138021
MergeSort,dahu-2.grenoble.grid5000.fr,25,90512,15863,1439572,138251
MergeSort,dahu-2.grenoble.grid5000.fr,25,89246,16598,1520443,146650
MergeSort,dahu-2.grenoble.grid5000.fr,25,92673,16066,1437008,139000
MergeSort,dahu-2.grenoble.grid5000.fr,25,90464,15238,1443966,138006
MergeSort,dahu-2.grenoble.grid5000.fr,25,95389,16679,1547238,157912
MergeSort,dahu-2.grenoble.grid5000.fr,25,89549,16061,1443234,138985
MergeSort,dahu-2.grenoble.grid5000.fr,25,94114,17273,1525692,147324
MergeSort,dahu-2.grenoble.grid5000.fr,25,92852,15968,1433529,138388
MergeSort,dahu-2.grenoble.grid5000.fr,25,92845,15886,1431942,138496
MergeSort,dahu-2.grenoble.grid5000.fr,25,92289,15936,1351254,129713
MergeSort,dahu-2.grenoble.grid5000.fr,25,91860,15494,1367795,129270
MergeSort,dahu-2.grenoble.grid5000.fr,25,91820,17014,1516903,147064
MergeSort,dahu-2.grenoble.grid5000.fr,25,92126,16032,1441402,138006
MergeSort,dahu-2.grenoble.grid5000.fr,25,91842,16038,1436947,138602
MergeSort,dahu-2.grenoble.grid5000.fr,25,92505,15687,1344174,130310
MergeSort,dahu-2.grenoble.grid5000.fr,25,91441,16910,1520077,146697
MergeSort,dahu-2.grenoble.grid5000.fr,25,91183,16585,1524044,146987
MergeSort,dahu-2.grenoble.grid5000.fr,25,90091,15873,1438962,137960
MergeSort,dahu-2.grenoble.grid5000.fr,25,92908,15774,1439023,137685
MergeSort,dahu-2.grenoble.grid5000.fr,25,90632,15743,1361446,148379
MergeSort,dahu-2.grenoble.grid5000.fr,25,92452,16433,1533749,146651
MergeSort,dahu-2.grenoble.grid5000.fr,25,89770,15873,1436459,137929
MergeSort,dahu-2.grenoble.grid5000.fr,25,90127,15771,1433774,137914
MergeSort,dahu-2.grenoble.grid5000.fr,25,91651,16660,1429439,138357
MergeSort,dahu-2.grenoble.grid5000.fr,25,93147,15409,1349118,130111
MergeSort,dahu-2.grenoble.grid5000.fr,25,92111,16878,1526486,146543
FrogJump,dahu-2.grenoble.grid5000.fr,25,1347806,182805,16358174,1642624
FrogJump,dahu-2.grenoble.grid5000.fr,25,1350538,191353,17162492,1723683
FrogJump,dahu-2.grenoble.grid5000.fr,25,1367304,188761,16925250,1715559
FrogJump,dahu-2.grenoble.grid5000.fr,25,1349603,181016,16145650,1627370
FrogJump,dahu-2.grenoble.grid5000.fr,25,1341619,191966,17159502,1745638
FrogJump,dahu-2.grenoble.grid5000.fr,25,1347899,206977,18501235,1885771
FrogJump,dahu-2.grenoble.grid5000.fr,25,1365956,197362,17627946,1775794
FrogJump,dahu-2.grenoble.grid5000.fr,25,1365226,195372,17507279,1762178
FrogJump,dahu-2.grenoble.grid5000.fr,25,1368641,187657,16776447,1696280
FrogJump,dahu-2.grenoble.grid5000.fr,25,1374879,196932,17586869,1775274
FrogJump,dahu-2.grenoble.grid5000.fr,25,1356101,202288,18130385,1836153
FrogJump,dahu-2.grenoble.grid5000.fr,25,1367689,185466,16636066,1687911
FrogJump,dahu-2.grenoble.grid5000.fr,25,1343652,192122,17302324,1771251
FrogJump,dahu-2.grenoble.grid5000.fr,25,1377991,199710,17741104,1801086
FrogJump,dahu-2.grenoble.grid5000.fr,25,1385761,200650,17976699,1806379
FrogJump,dahu-2.grenoble.grid5000.fr,25,1346395,193453,17340227,1761550
FrogJump,dahu-2.grenoble.grid5000.fr,25,1369270,204508,18208815,1848408
FrogJump,dahu-2.grenoble.grid5000.fr,25,1346786,192711,17215166,1744185
FrogJump,dahu-2.grenoble.grid5000.fr,25,1375514,196858,17456865,1741125
FrogJump,dahu-2.grenoble.grid5000.fr,25,1359984,204825,18287306,1852218
FrogJump,dahu-2.grenoble.grid5000.fr,25,3544681,448661,40248249,4078674
FrogJump,dahu-2.grenoble.grid5000.fr,25,1382836,203270,18124282,1820746
FrogJump,dahu-2.grenoble.grid5000.fr,25,1351602,188705,16911334,1706088
FrogJump,dahu-2.grenoble.grid5000.fr,25,1378640,201954,18044510,1829758
FrogJump,dahu-2.grenoble.grid5000.fr,25,1344907,197136,17584305,1767441
FrogJump,dahu-2.grenoble.grid5000.fr,25,1358320,199236,17784928,1807404
FrogJump,dahu-2.grenoble.grid5000.fr,25,1360491,200920,17925369,1833736
FrogJump,dahu-2.grenoble.grid5000.fr,25,1342662,183017,16398822,1680507
FrogJump,dahu-2.grenoble.grid5000.fr,25,1343232,192082,17086138,1717058
FrogJump,dahu-2.grenoble.grid5000.fr,25,1358067,194784,17438981,1759117
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149650,149673,13013211,1277902
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149385,149407,13015103,1265050
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149290,149323,13019437,1275209
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149407,149429,13017301,1279187
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,148649,148669,13011136,1272547
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,148747,148768,12933195,1270191
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149685,149708,13102078,1286883
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149718,149739,13013211,1284833
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149184,149212,13014554,1277029
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149127,149148,12920072,1282185
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149709,149730,12979092,1280273
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149097,149117,12999539,1267559
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,148691,148711,13010709,1279417
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149877,149898,13002286,1287632
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149303,149323,13014799,1282309
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,150843,150872,13278835,1325087
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,150746,150768,13152677,1299674
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,150101,150123,13101712,1293263
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149509,149531,13025662,1281375
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149221,149244,13023770,1281498
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149345,149366,13002897,1279922
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149566,149588,13008573,1280320
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149878,149898,13016446,1280243
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149355,149377,13001737,1280808
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149750,149771,13004178,1283640
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149115,149137,13012357,1275837
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149912,149936,13115384,1284924
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149163,149184,13017728,1282125
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149514,149545,13028165,1282553
Life - sequential generation,dahu-2.grenoble.grid5000.fr,25,149537,149558,13024991,1290845
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5066779,208514,19665904,1886077
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5802016,240744,22866092,2175951
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4874942,199934,18754102,1785541
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4997444,206380,19330761,1852249
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5453647,226398,21259223,2042504
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5348555,220904,20888313,1995885
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4960254,204512,19257153,1847169
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4792040,197456,18558851,1774081
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5027847,208136,19471630,1874234
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5014967,208245,19442333,1874020
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4725255,194745,18297316,1751085
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4975465,205117,19334728,1841141
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4882319,201680,18936230,1807573
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4752803,195964,18395033,1763967
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4998654,206898,19359692,1852279
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5018880,208018,19537853,1863862
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5148951,212954,19990245,1918911
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4845557,198883,18618910,1784102
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4655116,191780,18021499,1729160
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5156477,213053,19953501,1911276
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4938553,203041,18957349,1809837
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5111211,211859,19804454,1890177
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4717470,193678,18210464,1733567
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4948249,204854,19208081,1830905
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4813447,198299,18730482,1779987
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5054369,209053,19654552,1873944
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,4976112,205319,19332897,1840957
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5267139,218151,20488961,1940147
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5764117,239855,22844913,2162395
Life - parallel iterators generation,dahu-2.grenoble.grid5000.fr,25,5118641,211287,19813731,1884914
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,200150,8315,781981,71742
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,225138,9346,878416,88893
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,194353,8105,780515,71160
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,206358,8592,778623,71833
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,197002,8185,778075,79820
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,201553,8386,785582,71528
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,207489,8693,867674,71207
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,202718,8458,782408,71635
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,204685,8498,872617,79774
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,205879,8557,867308,80172
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,201662,8395,872617,79942
NBody parallel iterator,dahu-2.grenoble.grid5000.fr,25,198971,8282,774779,71176
