name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,10,87889,22419,1727657,167091
MergeSort,dahu-9.grenoble.grid5000.fr,10,89926,22612,1730952,167121
MergeSort,dahu-9.grenoble.grid5000.fr,10,87216,22155,1717159,166433
MergeSort,dahu-9.grenoble.grid5000.fr,10,88208,21963,1727779,165683
MergeSort,dahu-9.grenoble.grid5000.fr,10,87496,23314,1878474,181749
MergeSort,dahu-9.grenoble.grid5000.fr,10,88906,23905,1878230,181060
MergeSort,dahu-9.grenoble.grid5000.fr,10,88071,23339,1816828,174114
MergeSort,dahu-9.grenoble.grid5000.fr,10,88545,22778,1732173,167046
MergeSort,dahu-9.grenoble.grid5000.fr,10,88518,21616,1736019,166219
MergeSort,dahu-9.grenoble.grid5000.fr,10,89246,21845,1730220,165745
MergeSort,dahu-9.grenoble.grid5000.fr,10,87433,22452,1728145,166096
MergeSort,dahu-9.grenoble.grid5000.fr,10,87521,21424,1654536,159227
MergeSort,dahu-9.grenoble.grid5000.fr,10,88783,22019,1730892,166372
MergeSort,dahu-9.grenoble.grid5000.fr,10,88893,21939,1728084,166434
MergeSort,dahu-9.grenoble.grid5000.fr,10,89111,22455,1732234,166219
MergeSort,dahu-9.grenoble.grid5000.fr,10,88860,21706,1655392,158998
MergeSort,dahu-9.grenoble.grid5000.fr,10,88418,21800,1734310,166724
MergeSort,dahu-9.grenoble.grid5000.fr,10,87933,20616,1657650,159288
MergeSort,dahu-9.grenoble.grid5000.fr,10,87404,22016,1729976,165975
MergeSort,dahu-9.grenoble.grid5000.fr,10,88161,21529,1654781,159120
MergeSort,dahu-9.grenoble.grid5000.fr,10,88648,22025,1721370,166479
MergeSort,dahu-9.grenoble.grid5000.fr,10,88037,21515,1655879,159487
MergeSort,dahu-9.grenoble.grid5000.fr,10,88444,22142,1750362,166449
MergeSort,dahu-9.grenoble.grid5000.fr,10,88207,23092,1747310,166540
MergeSort,dahu-9.grenoble.grid5000.fr,10,90535,23261,1812251,181764
MergeSort,dahu-9.grenoble.grid5000.fr,10,89499,24013,1881465,181672
MergeSort,dahu-9.grenoble.grid5000.fr,10,90904,22763,1815791,166495
MergeSort,dahu-9.grenoble.grid5000.fr,10,88041,24646,1880305,181473
MergeSort,dahu-9.grenoble.grid5000.fr,10,87788,24109,1883602,181580
MergeSort,dahu-9.grenoble.grid5000.fr,10,88577,22807,1733883,173457
FrogJump,dahu-9.grenoble.grid5000.fr,10,1089619,209145,16380757,1614793
FrogJump,dahu-9.grenoble.grid5000.fr,10,2954054,548880,43114697,4259520
FrogJump,dahu-9.grenoble.grid5000.fr,10,1117649,218526,17359514,1757052
FrogJump,dahu-9.grenoble.grid5000.fr,10,1102983,208810,16501056,1635448
FrogJump,dahu-9.grenoble.grid5000.fr,10,1116888,212675,16796344,1665773
FrogJump,dahu-9.grenoble.grid5000.fr,10,1098546,216944,17022966,1683581
FrogJump,dahu-9.grenoble.grid5000.fr,10,1121445,231021,18168045,1817212
FrogJump,dahu-9.grenoble.grid5000.fr,10,1116137,228869,17993729,1786045
FrogJump,dahu-9.grenoble.grid5000.fr,10,1103240,219060,17161150,1695608
FrogJump,dahu-9.grenoble.grid5000.fr,10,1127738,225795,17764848,1763830
FrogJump,dahu-9.grenoble.grid5000.fr,10,1122729,220681,17387895,1734852
