name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,18,84019,16971,1267147,129851
MergeSort,dahu-9.grenoble.grid5000.fr,18,81527,15892,1265073,121023
MergeSort,dahu-9.grenoble.grid5000.fr,18,88428,17398,1338070,129377
MergeSort,dahu-9.grenoble.grid5000.fr,18,84348,16641,1339108,128642
MergeSort,dahu-9.grenoble.grid5000.fr,18,85348,16538,1259945,121222
MergeSort,dahu-9.grenoble.grid5000.fr,18,83559,15848,1261166,120962
MergeSort,dahu-9.grenoble.grid5000.fr,18,85285,16581,1338315,128336
MergeSort,dahu-9.grenoble.grid5000.fr,18,82980,16485,1257321,120961
MergeSort,dahu-9.grenoble.grid5000.fr,18,80960,16376,1325924,128337
MergeSort,dahu-9.grenoble.grid5000.fr,18,85863,16854,1259457,120610
MergeSort,dahu-9.grenoble.grid5000.fr,18,85799,16467,1334714,127739
MergeSort,dahu-9.grenoble.grid5000.fr,18,83055,16680,1257749,120580
MergeSort,dahu-9.grenoble.grid5000.fr,18,83326,15801,1257382,120840
MergeSort,dahu-9.grenoble.grid5000.fr,18,84330,15835,1257992,120625
MergeSort,dahu-9.grenoble.grid5000.fr,18,84716,16417,1262020,119845
MergeSort,dahu-9.grenoble.grid5000.fr,18,86336,16398,1338864,127923
MergeSort,dahu-9.grenoble.grid5000.fr,18,85422,16519,1263241,120610
MergeSort,dahu-9.grenoble.grid5000.fr,18,86818,17252,1323849,128658
MergeSort,dahu-9.grenoble.grid5000.fr,18,87138,17299,1342281,128795
MergeSort,dahu-9.grenoble.grid5000.fr,18,85057,17800,1409176,135604
MergeSort,dahu-9.grenoble.grid5000.fr,18,83800,16037,1260922,121069
MergeSort,dahu-9.grenoble.grid5000.fr,18,84598,17054,1328366,127832
MergeSort,dahu-9.grenoble.grid5000.fr,18,84806,16196,1263547,120365
MergeSort,dahu-9.grenoble.grid5000.fr,18,82652,15868,1266843,120258
MergeSort,dahu-9.grenoble.grid5000.fr,18,84802,17956,1427792,128275
MergeSort,dahu-9.grenoble.grid5000.fr,18,86167,16538,1342831,128260
MergeSort,dahu-9.grenoble.grid5000.fr,18,83168,16366,1256284,120533
MergeSort,dahu-9.grenoble.grid5000.fr,18,85903,17088,1346493,128076
MergeSort,dahu-9.grenoble.grid5000.fr,18,83388,15967,1259396,120992
MergeSort,dahu-9.grenoble.grid5000.fr,18,84420,16825,1333737,128183
FrogJump,dahu-9.grenoble.grid5000.fr,18,1244754,206554,16234333,1603685
FrogJump,dahu-9.grenoble.grid5000.fr,18,3293461,500563,39383811,3899648
FrogJump,dahu-9.grenoble.grid5000.fr,18,1252342,206773,16213948,1609683
FrogJump,dahu-9.grenoble.grid5000.fr,18,2235883,325597,25745173,2606952
FrogJump,dahu-9.grenoble.grid5000.fr,18,1244348,205626,16081319,1596081
FrogJump,dahu-9.grenoble.grid5000.fr,18,1240774,197353,15475546,1536686
FrogJump,dahu-9.grenoble.grid5000.fr,18,1253818,208145,16292927,1622779
FrogJump,dahu-9.grenoble.grid5000.fr,18,1249119,204749,16061300,1607449
FrogJump,dahu-9.grenoble.grid5000.fr,18,1257338,207134,16211628,1609071
FrogJump,dahu-9.grenoble.grid5000.fr,18,1249725,208203,16289326,1618006
FrogJump,dahu-9.grenoble.grid5000.fr,18,1261112,203069,16095540,1625181
FrogJump,dahu-9.grenoble.grid5000.fr,18,1236642,202881,15922872,1590313
FrogJump,dahu-9.grenoble.grid5000.fr,18,1223202,184125,14529138,1439408
FrogJump,dahu-9.grenoble.grid5000.fr,18,1230173,192502,15072533,1500058
FrogJump,dahu-9.grenoble.grid5000.fr,18,1248373,200982,15824728,1591767
FrogJump,dahu-9.grenoble.grid5000.fr,18,1249447,204503,16001241,1584621
FrogJump,dahu-9.grenoble.grid5000.fr,18,1230766,190992,15124778,1517622
FrogJump,dahu-9.grenoble.grid5000.fr,18,1257390,202591,15899678,1596463
FrogJump,dahu-9.grenoble.grid5000.fr,18,1254500,193379,15220359,1520024
FrogJump,dahu-9.grenoble.grid5000.fr,18,1256387,201627,15834249,1573054
FrogJump,dahu-9.grenoble.grid5000.fr,18,1281679,203898,16025655,1592577
FrogJump,dahu-9.grenoble.grid5000.fr,18,1232705,198186,15615622,1556270
FrogJump,dahu-9.grenoble.grid5000.fr,18,1238999,189419,14852928,1477598
FrogJump,dahu-9.grenoble.grid5000.fr,18,1232520,183365,14424707,1440342
FrogJump,dahu-9.grenoble.grid5000.fr,18,1241763,210577,16552448,1646907
