name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,22,87103,16298,1277523,122002
MergeSort,dahu-9.grenoble.grid5000.fr,22,86447,16168,1272946,121405
MergeSort,dahu-9.grenoble.grid5000.fr,22,88057,16378,1356747,128979
MergeSort,dahu-9.grenoble.grid5000.fr,22,90873,16767,1360531,128535
MergeSort,dahu-9.grenoble.grid5000.fr,22,87501,16726,1266537,121176
MergeSort,dahu-9.grenoble.grid5000.fr,22,87048,16272,1260128,120992
MergeSort,dahu-9.grenoble.grid5000.fr,22,88579,15767,1273190,121115
MergeSort,dahu-9.grenoble.grid5000.fr,22,88533,16939,1368893,137164
MergeSort,dahu-9.grenoble.grid5000.fr,22,90295,17904,1425960,136185
MergeSort,dahu-9.grenoble.grid5000.fr,22,85263,15311,1200925,112975
MergeSort,dahu-9.grenoble.grid5000.fr,22,87803,15675,1189939,113251
MergeSort,dahu-9.grenoble.grid5000.fr,22,86001,16793,1353451,128168
MergeSort,dahu-9.grenoble.grid5000.fr,22,87716,15214,1192563,113633
MergeSort,dahu-9.grenoble.grid5000.fr,22,86695,16032,1273129,121038
MergeSort,dahu-9.grenoble.grid5000.fr,22,87027,16288,1275143,120487
MergeSort,dahu-9.grenoble.grid5000.fr,22,90871,18842,1507992,143744
MergeSort,dahu-9.grenoble.grid5000.fr,22,88573,15723,1298886,128229
MergeSort,dahu-9.grenoble.grid5000.fr,22,88861,17592,1356991,128245
MergeSort,dahu-9.grenoble.grid5000.fr,22,89837,17817,1428585,136078
MergeSort,dahu-9.grenoble.grid5000.fr,22,88320,16664,1350704,128596
MergeSort,dahu-9.grenoble.grid5000.fr,22,91088,16010,1271726,121222
MergeSort,dahu-9.grenoble.grid5000.fr,22,86026,15328,1194577,113357
MergeSort,dahu-9.grenoble.grid5000.fr,22,90868,16330,1285214,120151
MergeSort,dahu-9.grenoble.grid5000.fr,22,85713,15628,1198239,113159
MergeSort,dahu-9.grenoble.grid5000.fr,22,91136,16483,1281247,120824
MergeSort,dahu-9.grenoble.grid5000.fr,22,88909,16079,1280697,120993
MergeSort,dahu-9.grenoble.grid5000.fr,22,89193,15887,1277096,120626
MergeSort,dahu-9.grenoble.grid5000.fr,22,86836,15647,1261899,120962
MergeSort,dahu-9.grenoble.grid5000.fr,22,87284,16588,1357113,136996
MergeSort,dahu-9.grenoble.grid5000.fr,22,89268,15829,1198544,113083
FrogJump,dahu-9.grenoble.grid5000.fr,22,1323334,195222,15535605,1520208
FrogJump,dahu-9.grenoble.grid5000.fr,22,1342269,207461,16496967,1654955
FrogJump,dahu-9.grenoble.grid5000.fr,22,1307468,203310,16030538,1572213
FrogJump,dahu-9.grenoble.grid5000.fr,22,1319979,196257,15654134,1554617
FrogJump,dahu-9.grenoble.grid5000.fr,22,1292212,181074,14428979,1459437
FrogJump,dahu-9.grenoble.grid5000.fr,22,1326240,203053,16093648,1583979
FrogJump,dahu-9.grenoble.grid5000.fr,22,1332573,197417,15649313,1537910
FrogJump,dahu-9.grenoble.grid5000.fr,22,1343231,212594,16899066,1660141
FrogJump,dahu-9.grenoble.grid5000.fr,22,1343389,200809,15960043,1570086
FrogJump,dahu-9.grenoble.grid5000.fr,22,1341093,198790,15828695,1567316
FrogJump,dahu-9.grenoble.grid5000.fr,22,1330563,203145,16118855,1586044
FrogJump,dahu-9.grenoble.grid5000.fr,22,1331499,187197,14886131,1464607
FrogJump,dahu-9.grenoble.grid5000.fr,22,1313481,200068,15904439,1576757
FrogJump,dahu-9.grenoble.grid5000.fr,22,1324769,199795,15928548,1569459
FrogJump,dahu-9.grenoble.grid5000.fr,22,1321091,198831,15805441,1548314
FrogJump,dahu-9.grenoble.grid5000.fr,22,1329669,194955,15488546,1524309
FrogJump,dahu-9.grenoble.grid5000.fr,22,1325600,192834,15398642,1535600
FrogJump,dahu-9.grenoble.grid5000.fr,22,1325950,188150,14990501,1483871
FrogJump,dahu-9.grenoble.grid5000.fr,22,1315074,203090,16144002,1609438
FrogJump,dahu-9.grenoble.grid5000.fr,22,1324789,214082,16971026,1667869
FrogJump,dahu-9.grenoble.grid5000.fr,22,1306758,185933,14812828,1477445
FrogJump,dahu-9.grenoble.grid5000.fr,22,1343876,193421,15342673,1508932
FrogJump,dahu-9.grenoble.grid5000.fr,22,1340228,187437,14848778,1462925
FrogJump,dahu-9.grenoble.grid5000.fr,22,1337277,204521,16254781,1599951
FrogJump,dahu-9.grenoble.grid5000.fr,22,1331612,204068,16215962,1597014
FrogJump,dahu-9.grenoble.grid5000.fr,22,1308895,199623,15844258,1569459
FrogJump,dahu-9.grenoble.grid5000.fr,22,1348458,201033,15970724,1572488
FrogJump,dahu-9.grenoble.grid5000.fr,22,2376088,330248,26273309,2582610
FrogJump,dahu-9.grenoble.grid5000.fr,22,1338517,205774,16361104,1608841
FrogJump,dahu-9.grenoble.grid5000.fr,22,1336616,204827,16408161,1612176
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,150337,150077,11711518,1137387
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148472,148495,11461580,1110275
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149934,149986,11584870,1124596
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149345,149367,11503633,1120189
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148719,148741,11447907,1119256
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149209,149230,11491792,1122117
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148936,148959,11501313,1121980
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148937,148958,11506380,1123157
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149226,149248,11473543,1121062
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149559,149587,11453157,1120787
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149680,149702,11463533,1122576
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149254,149275,11458528,1123173
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148647,148669,11374360,1116104
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149078,149100,11358125,1114253
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149236,149258,11347017,1112708
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149800,149843,11486543,1128207
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149833,149854,11413667,1120404
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149270,149293,11356843,1111835
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149050,149072,11434480,1120893
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148986,149009,11442659,1121505
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149204,149225,11572541,1121979
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149230,149252,11349519,1111835
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148468,148497,11431978,1115156
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149828,149850,11447114,1121215
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149541,149564,11414583,1122026
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149720,149741,11446809,1122668
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148849,148869,11491731,1122760
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,148907,148934,11359162,1113580
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149230,149259,11442110,1122729
Life - sequential generation,dahu-9.grenoble.grid5000.fr,22,149100,149128,11420564,1120511
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,391972,18051,1536618,141754
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,387565,17845,1528622,140867
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,392533,18070,1519222,141403
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,405176,18647,1618648,149113
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,397708,18309,1542843,141556
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,396752,18253,1537289,141464
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,389049,17899,1462520,132834
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,391059,17995,1546505,141754
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,392166,18050,1457760,140668
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,390689,17984,1551693,140393
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,393000,18084,1546383,141540
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,400133,18467,1568355,147247
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,396474,18242,1560604,141495
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,387227,17826,1557736,147767
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,391957,18038,1536800,141403
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,403150,18549,1549740,147170
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,397457,18282,1559139,141877
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,389592,17918,1546993,146620
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,397171,18265,1530148,140913
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,391794,18036,1546688,141158
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,388529,17879,1543697,140163
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,386301,17774,1554318,139383
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,386810,17807,1541805,141020
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,396034,18218,1553097,140622
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,388393,17871,1544613,140990
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,398933,18359,1631893,149052
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,391169,17999,1548641,140851
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,388310,17884,1545101,133416
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,386439,17798,1477718,133798
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,22,392603,18064,1549434,141372
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,86227,4136,354186,30921
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,92235,4538,344237,30997
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,85254,4107,435058,31105
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87775,4221,265625,31074
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,91206,4491,320129,31854
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87020,4201,364318,30891
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,85211,4147,379882,30753
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87124,4252,370421,30692
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,85683,4106,331054,30982
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,84014,4029,345214,30845
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,90945,4455,436218,31121
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,85240,4091,334960,31105
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87064,4223,340209,30997
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87674,4263,444152,38709
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,88050,4258,334960,31029
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87759,4242,424559,39428
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,89673,4432,420837,38694
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,90778,4440,346007,31747
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,83867,4034,347655,30662
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,85440,4108,427001,38556
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,87970,4269,342041,31120
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,89649,4386,338133,31075
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,22,86672,4198,428344,38618
