name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,29,105972,19097,1530391,146345
MergeSort,dahu-9.grenoble.grid5000.fr,29,104782,18501,1450131,137914
MergeSort,dahu-9.grenoble.grid5000.fr,29,104112,18697,1562801,151363
MergeSort,dahu-9.grenoble.grid5000.fr,29,103658,18466,1469357,138036
MergeSort,dahu-9.grenoble.grid5000.fr,29,105662,19028,1510921,145900
MergeSort,dahu-9.grenoble.grid5000.fr,29,100351,18407,1514523,145075
MergeSort,dahu-9.grenoble.grid5000.fr,29,102637,18229,1510250,137104
MergeSort,dahu-9.grenoble.grid5000.fr,29,108651,20415,1614254,160482
MergeSort,dahu-9.grenoble.grid5000.fr,29,99598,17565,1447995,137424
MergeSort,dahu-9.grenoble.grid5000.fr,29,108513,18357,1453549,138067
MergeSort,dahu-9.grenoble.grid5000.fr,29,103532,18277,1447262,138618
MergeSort,dahu-9.grenoble.grid5000.fr,29,103636,18591,1457760,137134
MergeSort,dahu-9.grenoble.grid5000.fr,29,106911,20207,1608700,153169
MergeSort,dahu-9.grenoble.grid5000.fr,29,101398,18766,1442318,136567
MergeSort,dahu-9.grenoble.grid5000.fr,29,108459,18800,1520503,145564
MergeSort,dahu-9.grenoble.grid5000.fr,29,102934,18525,1524471,145044
MergeSort,dahu-9.grenoble.grid5000.fr,29,101172,18287,1454036,137394
MergeSort,dahu-9.grenoble.grid5000.fr,29,100662,18963,1446712,137027
MergeSort,dahu-9.grenoble.grid5000.fr,29,105517,18520,1522579,145259
MergeSort,dahu-9.grenoble.grid5000.fr,29,100432,17696,1362423,129806
MergeSort,dahu-9.grenoble.grid5000.fr,29,100404,19140,1514584,143376
MergeSort,dahu-9.grenoble.grid5000.fr,29,102546,17798,1370175,130325
MergeSort,dahu-9.grenoble.grid5000.fr,29,101571,18870,1511593,144050
MergeSort,dahu-9.grenoble.grid5000.fr,29,102514,18468,1446224,137623
MergeSort,dahu-9.grenoble.grid5000.fr,29,100971,18072,1437191,137379
MergeSort,dahu-9.grenoble.grid5000.fr,29,107390,20082,1680599,153735
MergeSort,dahu-9.grenoble.grid5000.fr,29,104153,18168,1446529,137715
MergeSort,dahu-9.grenoble.grid5000.fr,29,102489,18398,1437923,136782
MergeSort,dahu-9.grenoble.grid5000.fr,29,101677,18460,1443417,144539
MergeSort,dahu-9.grenoble.grid5000.fr,29,102396,18443,1535457,145579
FrogJump,dahu-9.grenoble.grid5000.fr,29,1385848,184682,14819420,1466382
FrogJump,dahu-9.grenoble.grid5000.fr,29,1613955,214677,17189837,1706057
FrogJump,dahu-9.grenoble.grid5000.fr,29,1402399,184125,14774864,1453332
FrogJump,dahu-9.grenoble.grid5000.fr,29,1420340,196619,15694235,1567439
FrogJump,dahu-9.grenoble.grid5000.fr,29,1408116,193883,15531698,1538583
FrogJump,dahu-9.grenoble.grid5000.fr,29,1487304,198626,16017903,1604648
FrogJump,dahu-9.grenoble.grid5000.fr,29,1434017,199361,15932942,1578302
FrogJump,dahu-9.grenoble.grid5000.fr,29,1414172,192285,15418418,1548957
FrogJump,dahu-9.grenoble.grid5000.fr,29,1420701,194797,15630514,1555536
FrogJump,dahu-9.grenoble.grid5000.fr,29,1389728,185170,14788109,1466551
FrogJump,dahu-9.grenoble.grid5000.fr,29,1426348,199693,15904378,1578883
FrogJump,dahu-9.grenoble.grid5000.fr,29,1412545,200872,16155110,1619367
FrogJump,dahu-9.grenoble.grid5000.fr,29,1401313,190765,15291464,1520223
FrogJump,dahu-9.grenoble.grid5000.fr,29,1412584,197923,15837056,1576389
FrogJump,dahu-9.grenoble.grid5000.fr,29,1396126,194551,15532797,1519795
