name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,10,90453,23145,1794307,181350
MergeSort,dahu-9.grenoble.grid5000.fr,10,89408,22385,1784968,172753
MergeSort,dahu-9.grenoble.grid5000.fr,10,89822,22581,1735835,179989
MergeSort,dahu-9.grenoble.grid5000.fr,10,88291,23447,1866328,180937
MergeSort,dahu-9.grenoble.grid5000.fr,10,90125,23515,1870906,173043
MergeSort,dahu-9.grenoble.grid5000.fr,10,88573,20874,1568233,157437
MergeSort,dahu-9.grenoble.grid5000.fr,10,87997,21342,1643245,157009
MergeSort,dahu-9.grenoble.grid5000.fr,10,90549,22700,1802668,172600
MergeSort,dahu-9.grenoble.grid5000.fr,10,90335,21709,1717464,165653
MergeSort,dahu-9.grenoble.grid5000.fr,10,89209,22550,1791072,165056
MergeSort,dahu-9.grenoble.grid5000.fr,10,90228,21649,1630733,157590
MergeSort,dahu-9.grenoble.grid5000.fr,10,89064,23740,1799617,171956
MergeSort,dahu-9.grenoble.grid5000.fr,10,88098,21904,1717769,165087
MergeSort,dahu-9.grenoble.grid5000.fr,10,88940,21646,1661922,165546
MergeSort,dahu-9.grenoble.grid5000.fr,10,89203,22126,1714961,165240
MergeSort,dahu-9.grenoble.grid5000.fr,10,90398,23177,1808712,173119
MergeSort,dahu-9.grenoble.grid5000.fr,10,91107,23050,1720821,165424
MergeSort,dahu-9.grenoble.grid5000.fr,10,90970,23672,1876338,180066
MergeSort,dahu-9.grenoble.grid5000.fr,10,89707,22014,1646663,165561
MergeSort,dahu-9.grenoble.grid5000.fr,10,88849,22138,1719417,165148
MergeSort,dahu-9.grenoble.grid5000.fr,10,90138,22255,1719417,164980
MergeSort,dahu-9.grenoble.grid5000.fr,10,90955,23479,1871272,180326
MergeSort,dahu-9.grenoble.grid5000.fr,10,88451,21499,1713618,157300
MergeSort,dahu-9.grenoble.grid5000.fr,10,89361,23410,1863521,173257
MergeSort,dahu-9.grenoble.grid5000.fr,10,89951,21554,1720882,157881
MergeSort,dahu-9.grenoble.grid5000.fr,10,90340,22068,1717219,165622
MergeSort,dahu-9.grenoble.grid5000.fr,10,89177,21829,1720393,165562
MergeSort,dahu-9.grenoble.grid5000.fr,10,88506,22472,1792537,172324
MergeSort,dahu-9.grenoble.grid5000.fr,10,89037,23395,1866512,180203
MergeSort,dahu-9.grenoble.grid5000.fr,10,89466,22566,1790767,172095
FrogJump,dahu-9.grenoble.grid5000.fr,10,1107941,222229,17276262,1716201
FrogJump,dahu-9.grenoble.grid5000.fr,10,1999794,390248,30476546,3010933
FrogJump,dahu-9.grenoble.grid5000.fr,10,1098912,222849,17348832,1722611
FrogJump,dahu-9.grenoble.grid5000.fr,10,1099592,218797,17080340,1701498
FrogJump,dahu-9.grenoble.grid5000.fr,10,1100068,215162,16858721,1699341
FrogJump,dahu-9.grenoble.grid5000.fr,10,1111099,217710,16999468,1695133
FrogJump,dahu-9.grenoble.grid5000.fr,10,1096872,214410,16675494,1658183
FrogJump,dahu-9.grenoble.grid5000.fr,10,1106564,225338,17519181,1743572
FrogJump,dahu-9.grenoble.grid5000.fr,10,2910897,550225,42972730,4242644
FrogJump,dahu-9.grenoble.grid5000.fr,10,1110628,226210,17613725,1760892
FrogJump,dahu-9.grenoble.grid5000.fr,10,1112019,218931,17149492,1718068
FrogJump,dahu-9.grenoble.grid5000.fr,10,1103717,225066,17598710,1737437
FrogJump,dahu-9.grenoble.grid5000.fr,10,1113487,231574,18236282,1850275
FrogJump,dahu-9.grenoble.grid5000.fr,10,1103571,225393,17528886,1747184
FrogJump,dahu-9.grenoble.grid5000.fr,10,1087208,210597,16459064,1625181
FrogJump,dahu-9.grenoble.grid5000.fr,10,1114197,228387,17782852,1780293
FrogJump,dahu-9.grenoble.grid5000.fr,10,1110500,220464,17213151,1721020
FrogJump,dahu-9.grenoble.grid5000.fr,10,1096083,228376,17819656,1755645
FrogJump,dahu-9.grenoble.grid5000.fr,10,1093025,211648,16471515,1624340
FrogJump,dahu-9.grenoble.grid5000.fr,10,1101360,230844,17993484,1792992
FrogJump,dahu-9.grenoble.grid5000.fr,10,1105058,216729,16924944,1686947
FrogJump,dahu-9.grenoble.grid5000.fr,10,1109676,224913,17549516,1746832
FrogJump,dahu-9.grenoble.grid5000.fr,10,1115248,233235,18168960,1808583
FrogJump,dahu-9.grenoble.grid5000.fr,10,1101031,221205,17257280,1716538
FrogJump,dahu-9.grenoble.grid5000.fr,10,1995163,380810,29809005,2968659
FrogJump,dahu-9.grenoble.grid5000.fr,10,1109366,231197,18158828,1820150
FrogJump,dahu-9.grenoble.grid5000.fr,10,1108614,226914,17638382,1763953
FrogJump,dahu-9.grenoble.grid5000.fr,10,1106131,224225,17637101,1776437
FrogJump,dahu-9.grenoble.grid5000.fr,10,1106578,227216,17682389,1767012
FrogJump,dahu-9.grenoble.grid5000.fr,10,1106524,226573,17635147,1753595
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149685,149707,11332063,1116486
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149457,149479,11334505,1117940
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,148962,148991,11325045,1118124
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,150269,150290,11325349,1118400
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149648,149670,11339143,1118353
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149762,149781,11344575,1119456
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149158,149179,11247957,1111867
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149160,149182,11250582,1117482
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149290,149311,11322725,1117665
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,150055,150081,11403840,1124550
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149145,149168,11248262,1109541
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149105,149127,11326693,1115553
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149559,149580,11331575,1116686
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149721,149743,11330476,1116977
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,148737,148759,11251130,1108807
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149683,149703,11400544,1113809
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149185,149234,11330843,1117573
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149349,149394,11263032,1110138
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149353,149378,11313692,1115003
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149901,149922,11332551,1114528
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149047,149067,11330782,1115064
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149499,149521,11358003,1117711
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149430,149456,11327791,1117405
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149821,149844,11323579,1116930
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149383,149404,11317964,1117757
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149339,149359,11322054,1116625
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,148965,148990,11252474,1108852
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149554,149576,11331575,1116670
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149896,149918,11402192,1121200
Life - sequential generation,dahu-9.grenoble.grid5000.fr,10,149317,149361,11323946,1117941
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,239463,24149,1939204,189735
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238072,24009,1859126,189016
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,236091,23807,1849971,185803
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238820,24079,1939815,189490
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237384,23935,1935298,187486
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,244287,24623,2018672,198349
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,239913,24195,1943416,189108
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,235676,23761,1939143,192000
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238180,24018,1929561,188205
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237872,23987,1932368,189598
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,234371,23640,1852717,180280
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238309,24025,1939265,188634
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,242129,24384,1948969,191464
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,245853,24781,2022883,192000
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237217,23918,1941158,188695
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238513,24052,1937068,187257
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237902,23992,1939692,189246
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,236190,23818,1932673,187578
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238443,24042,1936580,187945
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,236966,23904,1940059,187027
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,238580,24056,1941402,189904
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,240021,24196,2013056,196085
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237732,23964,1945429,187547
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,236488,23849,1855342,181382
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237601,23960,1934748,187960
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,239246,24124,2018672,196927
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,237724,23974,1938472,193055
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,240229,24242,2038874,203199
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,241137,24343,2019282,199543
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,10,241937,24411,1961115,192092
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75257,7731,583433,61246
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75030,7831,649290,61277
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74064,7900,653136,61200
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74901,7809,569884,53289
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74713,7824,650206,61016
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75311,8144,646910,61108
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75260,7867,649595,61017
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74820,7970,654234,61230
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74866,7840,560850,60756
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75113,7869,580321,61154
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74339,7635,575926,53320
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74873,7818,651671,60924
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74880,7812,653258,61307
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75398,7894,656310,62929
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75390,8020,578062,53489
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75321,7868,647154,60878
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75341,7919,648558,61185
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74682,7954,635984,61200
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,74915,7830,645384,61215
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75007,7825,646360,53795
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,10,75454,8010,647886,61323
