name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,13,81680,18153,1406307,136843
MergeSort,dahu-9.grenoble.grid5000.fr,13,81382,18175,1406734,135405
MergeSort,dahu-9.grenoble.grid5000.fr,13,81015,17088,1408748,128077
MergeSort,dahu-9.grenoble.grid5000.fr,13,82814,18518,1510006,152005
MergeSort,dahu-9.grenoble.grid5000.fr,13,82431,18557,1403805,136292
MergeSort,dahu-9.grenoble.grid5000.fr,13,81832,16937,1337704,128887
MergeSort,dahu-9.grenoble.grid5000.fr,13,81840,18625,1485287,143621
MergeSort,dahu-9.grenoble.grid5000.fr,13,81805,18258,1483150,135390
MergeSort,dahu-9.grenoble.grid5000.fr,13,82179,19933,1555049,151057
MergeSort,dahu-9.grenoble.grid5000.fr,13,81643,17956,1403316,135834
MergeSort,dahu-9.grenoble.grid5000.fr,13,80768,17453,1326473,128536
MergeSort,dahu-9.grenoble.grid5000.fr,13,84171,19201,1485653,143376
MergeSort,dahu-9.grenoble.grid5000.fr,13,81537,18009,1330502,135741
MergeSort,dahu-9.grenoble.grid5000.fr,13,81997,17858,1337460,128244
MergeSort,dahu-9.grenoble.grid5000.fr,13,83167,18193,1409847,135435
MergeSort,dahu-9.grenoble.grid5000.fr,13,82458,18228,1424740,135451
MergeSort,dahu-9.grenoble.grid5000.fr,13,80962,17667,1404110,136048
MergeSort,dahu-9.grenoble.grid5000.fr,13,81303,17762,1402462,135665
MergeSort,dahu-9.grenoble.grid5000.fr,13,83682,19819,1553219,150980
MergeSort,dahu-9.grenoble.grid5000.fr,13,81435,17321,1414425,128000
MergeSort,dahu-9.grenoble.grid5000.fr,13,81273,18751,1475521,143162
MergeSort,dahu-9.grenoble.grid5000.fr,13,80284,16944,1324887,128520
MergeSort,dahu-9.grenoble.grid5000.fr,13,82318,17602,1408261,136384
MergeSort,dahu-9.grenoble.grid5000.fr,13,81274,17566,1333981,128107
MergeSort,dahu-9.grenoble.grid5000.fr,13,80752,17558,1326962,136323
MergeSort,dahu-9.grenoble.grid5000.fr,13,81717,18885,1480403,143391
MergeSort,dahu-9.grenoble.grid5000.fr,13,82164,17572,1334408,127648
MergeSort,dahu-9.grenoble.grid5000.fr,13,80453,17507,1407467,135742
MergeSort,dahu-9.grenoble.grid5000.fr,13,80945,17309,1406612,135971
MergeSort,dahu-9.grenoble.grid5000.fr,13,81634,17965,1405880,135940
FrogJump,dahu-9.grenoble.grid5000.fr,13,1138315,202378,15800130,1580612
FrogJump,dahu-9.grenoble.grid5000.fr,13,3059320,514724,40309346,4016097
FrogJump,dahu-9.grenoble.grid5000.fr,13,3095333,523880,40977556,4082269
FrogJump,dahu-9.grenoble.grid5000.fr,13,1151816,203105,15852682,1588339
FrogJump,dahu-9.grenoble.grid5000.fr,13,1152186,204677,15940023,1597457
FrogJump,dahu-9.grenoble.grid5000.fr,13,1155942,219534,17084674,1705598
FrogJump,dahu-9.grenoble.grid5000.fr,13,2065711,364496,28486560,2807963
FrogJump,dahu-9.grenoble.grid5000.fr,13,1173718,214782,16688617,1662789
FrogJump,dahu-9.grenoble.grid5000.fr,13,2074517,366065,28599658,2851736
FrogJump,dahu-9.grenoble.grid5000.fr,13,1154258,202210,15789510,1578547
FrogJump,dahu-9.grenoble.grid5000.fr,13,1144745,210682,16460773,1633428
FrogJump,dahu-9.grenoble.grid5000.fr,13,1182596,223744,17489946,1746863
FrogJump,dahu-9.grenoble.grid5000.fr,13,1174142,213932,16761920,1686151
FrogJump,dahu-9.grenoble.grid5000.fr,13,1165504,201671,15787496,1580184
FrogJump,dahu-9.grenoble.grid5000.fr,13,1177079,222091,17347673,1727798
FrogJump,dahu-9.grenoble.grid5000.fr,13,1170686,207726,16220967,1625334
FrogJump,dahu-9.grenoble.grid5000.fr,13,1176501,213423,16699237,1671096
FrogJump,dahu-9.grenoble.grid5000.fr,13,1170725,223208,17381792,1733796
FrogJump,dahu-9.grenoble.grid5000.fr,13,1160035,208742,16316670,1629221
FrogJump,dahu-9.grenoble.grid5000.fr,13,1181644,210841,16490009,1647779
FrogJump,dahu-9.grenoble.grid5000.fr,13,1193804,229488,17913651,1780706
FrogJump,dahu-9.grenoble.grid5000.fr,13,1165925,219517,17075091,1705460
FrogJump,dahu-9.grenoble.grid5000.fr,13,1155694,212528,16690142,1693128
FrogJump,dahu-9.grenoble.grid5000.fr,13,1173987,225144,17575883,1760494
FrogJump,dahu-9.grenoble.grid5000.fr,13,1179240,209030,16331501,1616077
FrogJump,dahu-9.grenoble.grid5000.fr,13,1162009,218574,17073259,1706562
FrogJump,dahu-9.grenoble.grid5000.fr,13,1182115,211423,16497882,1650228
FrogJump,dahu-9.grenoble.grid5000.fr,13,1158882,211695,16557758,1637972
FrogJump,dahu-9.grenoble.grid5000.fr,13,1142153,212650,16603351,1644597
FrogJump,dahu-9.grenoble.grid5000.fr,13,1167107,212382,16644427,1660371
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148886,148909,11247590,1112662
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149319,149341,11328646,1123036
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149237,149260,11329805,1119960
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148683,148704,11253084,1114819
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148826,148848,11249300,1114544
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149251,149302,11264009,1113397
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149798,149819,11399629,1129278
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149024,149046,11327302,1122638
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149334,149355,11254488,1119593
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149436,149459,11332857,1121153
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149205,149227,11328279,1117941
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149100,149128,11264681,1111423
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148902,148925,11234164,1112708
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149273,149294,11320284,1120067
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148973,148994,11331331,1122225
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148818,148840,11252291,1111377
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,148917,148939,11253389,1112019
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149054,149076,11265353,1110918
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149375,149403,11325715,1119869
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,150026,150052,11328218,1119868
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149427,149448,11334688,1118828
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149401,149422,11330659,1117466
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149392,149413,11329195,1117711
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149426,149449,11320710,1119440
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149420,149463,11439302,1139314
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149716,149738,11442048,1137662
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149262,149284,11259553,1113795
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149206,149229,11330599,1121108
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149251,149273,11332307,1113090
Life - sequential generation,dahu-9.grenoble.grid5000.fr,13,149346,149369,11338656,1120847
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,287006,22299,1806697,180295
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,279839,21749,1709774,165408
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,280754,21813,1880672,176883
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,280925,21818,1748408,172002
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,283943,22050,1793330,175934
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,280949,21815,1710567,174390
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,282729,21949,1806270,177588
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,287344,22326,1789607,176700
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,281900,21893,1794307,177174
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,283449,22010,1799373,176929
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,285184,22150,1802180,177832
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,281676,21885,1788753,174710
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,286281,22230,1797420,176179
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,282861,21975,1794185,179897
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,288054,22372,1877375,184182
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,285379,22163,1802059,182881
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,286253,22227,1796626,175644
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,282719,21951,1800716,179943
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,285471,22167,1802974,178290
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,279704,21727,1717281,165638
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,279761,21735,1793941,174191
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,286364,22234,1796260,178245
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,282115,21910,1792049,166969
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,281206,21840,1799312,174726
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,281490,21864,1714291,166908
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,282221,21916,1797908,174359
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,282075,21908,1794551,175170
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,279010,21799,1715511,165775
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,286966,22273,1791377,176593
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,13,279393,21694,1791011,175353
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76780,6113,497191,46129
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76180,6351,502441,46252
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76632,6158,498290,45854
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,77430,6189,498961,45946
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76152,6058,492614,46145
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76437,6082,498961,53626
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,75950,6051,497557,46191
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76983,6159,483336,45992
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,77701,6214,496275,47384
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76202,6067,494445,46359
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76333,6075,493712,46374
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,78268,6279,494688,46145
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76953,6452,413084,46114
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,75710,6026,496580,46343
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76906,6459,496276,46114
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,77044,6159,495727,46145
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,75682,6024,498839,46283
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76049,6056,487730,46191
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76019,6048,492003,45977
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76411,6371,486144,46314
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,79259,6914,624327,62026
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,77721,6191,576170,46589
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,13,76256,6065,470885,46175
