name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,25,95194,16858,1347103,130693
MergeSort,dahu-9.grenoble.grid5000.fr,25,89255,16012,1254025,122263
MergeSort,dahu-9.grenoble.grid5000.fr,25,89252,15260,1255368,114903
MergeSort,dahu-9.grenoble.grid5000.fr,25,89666,16063,1265194,121833
MergeSort,dahu-9.grenoble.grid5000.fr,25,89462,15968,1262936,122323
MergeSort,dahu-9.grenoble.grid5000.fr,25,91345,15861,1181271,114460
MergeSort,dahu-9.grenoble.grid5000.fr,25,88835,15665,1263425,122232
MergeSort,dahu-9.grenoble.grid5000.fr,25,91567,15738,1268979,122017
MergeSort,dahu-9.grenoble.grid5000.fr,25,88544,16353,1268857,121911
MergeSort,dahu-9.grenoble.grid5000.fr,25,90565,15815,1271176,121941
MergeSort,dahu-9.grenoble.grid5000.fr,25,87591,15033,1186520,113786
MergeSort,dahu-9.grenoble.grid5000.fr,25,88157,15234,1187742,114627
MergeSort,dahu-9.grenoble.grid5000.fr,25,89269,15776,1265805,122033
MergeSort,dahu-9.grenoble.grid5000.fr,25,93787,16496,1338864,129974
MergeSort,dahu-9.grenoble.grid5000.fr,25,88166,15044,1192380,114061
MergeSort,dahu-9.grenoble.grid5000.fr,25,89304,17408,1410091,136659
MergeSort,dahu-9.grenoble.grid5000.fr,25,89077,15760,1190793,113985
MergeSort,dahu-9.grenoble.grid5000.fr,25,90214,16299,1266599,122048
MergeSort,dahu-9.grenoble.grid5000.fr,25,93878,17310,1419491,136981
MergeSort,dahu-9.grenoble.grid5000.fr,25,91433,17377,1331723,129713
MergeSort,dahu-9.grenoble.grid5000.fr,25,88471,15898,1177548,121666
MergeSort,dahu-9.grenoble.grid5000.fr,25,93406,15756,1263730,122384
MergeSort,dahu-9.grenoble.grid5000.fr,25,89716,15212,1191281,114429
MergeSort,dahu-9.grenoble.grid5000.fr,25,88467,15140,1179563,114077
MergeSort,dahu-9.grenoble.grid5000.fr,25,88711,15119,1187864,114230
MergeSort,dahu-9.grenoble.grid5000.fr,25,90976,15318,1184629,114903
MergeSort,dahu-9.grenoble.grid5000.fr,25,87448,15578,1255551,122140
MergeSort,dahu-9.grenoble.grid5000.fr,25,88812,15447,1193540,114046
MergeSort,dahu-9.grenoble.grid5000.fr,25,90898,17215,1343808,129117
MergeSort,dahu-9.grenoble.grid5000.fr,25,90325,15769,1185604,113556
FrogJump,dahu-9.grenoble.grid5000.fr,25,1333740,182027,14363000,1438430
FrogJump,dahu-9.grenoble.grid5000.fr,25,1340448,192059,15101219,1512344
FrogJump,dahu-9.grenoble.grid5000.fr,25,1356685,193342,15179710,1522274
FrogJump,dahu-9.grenoble.grid5000.fr,25,1373570,191712,15111839,1528960
FrogJump,dahu-9.grenoble.grid5000.fr,25,1351413,183145,14528771,1464639
FrogJump,dahu-9.grenoble.grid5000.fr,25,1365547,202899,16026753,1616919
FrogJump,dahu-9.grenoble.grid5000.fr,25,1364711,199566,15727011,1589349
FrogJump,dahu-9.grenoble.grid5000.fr,25,1361859,189849,14988365,1504877
FrogJump,dahu-9.grenoble.grid5000.fr,25,1370020,197364,15516989,1547947
FrogJump,dahu-9.grenoble.grid5000.fr,25,1381734,202137,15904073,1597580
FrogJump,dahu-9.grenoble.grid5000.fr,25,1368282,194617,15340537,1539226
FrogJump,dahu-9.grenoble.grid5000.fr,25,1359027,191275,15040855,1507478
FrogJump,dahu-9.grenoble.grid5000.fr,25,3558117,452626,35964569,3602462
FrogJump,dahu-9.grenoble.grid5000.fr,25,1355469,193620,15306174,1530489
FrogJump,dahu-9.grenoble.grid5000.fr,25,1384794,207867,16338337,1638860
FrogJump,dahu-9.grenoble.grid5000.fr,25,1354132,196991,15574057,1567913
FrogJump,dahu-9.grenoble.grid5000.fr,25,1349408,201540,15824300,1589685
FrogJump,dahu-9.grenoble.grid5000.fr,25,1349587,190480,15063682,1510722
FrogJump,dahu-9.grenoble.grid5000.fr,25,1366496,192397,15253195,1535172
FrogJump,dahu-9.grenoble.grid5000.fr,25,1365891,198980,15707052,1575288
FrogJump,dahu-9.grenoble.grid5000.fr,25,1371662,187405,14760277,1484406
FrogJump,dahu-9.grenoble.grid5000.fr,25,2410873,315748,25001828,2502744
FrogJump,dahu-9.grenoble.grid5000.fr,25,1378347,201780,15810629,1580490
FrogJump,dahu-9.grenoble.grid5000.fr,25,1353455,197347,15465781,1535569
FrogJump,dahu-9.grenoble.grid5000.fr,25,1352452,194881,15415304,1549874
FrogJump,dahu-9.grenoble.grid5000.fr,25,1349289,190239,14957969,1498451
FrogJump,dahu-9.grenoble.grid5000.fr,25,1653998,226862,17845780,1789825
FrogJump,dahu-9.grenoble.grid5000.fr,25,1339526,195898,15464316,1533152
FrogJump,dahu-9.grenoble.grid5000.fr,25,1331233,199462,15784810,1589502
FrogJump,dahu-9.grenoble.grid5000.fr,25,1342712,203817,16038960,1621907
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149706,149729,11327485,1120955
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149542,149592,11328096,1120557
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149417,149439,11319490,1121383
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,148577,148599,11259432,1112249
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149093,149115,11313081,1120189
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149380,149401,11332369,1118262
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149170,149193,11252718,1112294
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,148528,148549,11251253,1112157
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149115,149142,11324128,1119042
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,150349,150371,11682038,1161469
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149774,149796,11399629,1130471
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149445,149467,11338533,1119822
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149907,149927,11407136,1130517
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149453,149474,11331452,1122026
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149269,149320,11242769,1114314
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149633,149653,11324190,1119318
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149722,149743,11409394,1125774
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149480,149501,11321016,1119180
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149348,149370,11331026,1118873
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149820,149841,11328279,1127181
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149867,149891,11561494,1116166
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149050,149076,11252718,1111407
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,150000,150021,11409822,1118537
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149725,149747,11405610,1127075
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149249,149272,11329988,1119593
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149990,150011,11329805,1126753
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,148921,148947,11254854,1112570
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149702,149747,11402986,1126936
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149054,149080,11238680,1119823
Life - sequential generation,dahu-9.grenoble.grid5000.fr,25,149230,149251,11388642,1120495
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,432298,17530,1469235,145825
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,471152,19065,1646297,159747
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,445672,18049,1536190,147385
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,476576,19288,1717647,166923
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,439521,17804,1536617,146191
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,450986,18254,1548091,150383
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,438612,17779,1467404,138832
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,443577,17978,1538570,147967
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,451717,18297,1551876,148441
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,449504,18211,1532405,145901
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,448976,18179,1555477,149481
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,438966,17792,1534176,145411
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,461860,18714,1645992,159181
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,447763,18143,1545467,148211
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,433797,17587,1469845,137761
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,434807,17611,1542293,144539
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,449623,18227,1631099,148486
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,452945,18365,1555538,151134
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,440836,17854,1461971,139445
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,444341,17987,1552486,148166
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,437832,17741,1542965,144738
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,436983,17708,1555294,144616
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,441139,17868,1457882,139047
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,456837,18502,1642208,150843
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,435517,17641,1549923,146145
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,450700,18262,1542904,144799
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,477580,19311,1643429,158860
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,449386,18200,1518367,148150
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,433984,17589,1536251,137118
Life - parallel iterators generation,dahu-9.grenoble.grid5000.fr,25,436440,17701,1533443,146085
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,92751,4020,358214,31151
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,88963,3768,292480,23440
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,93133,4033,428588,31533
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,93506,4035,359863,31304
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,89215,3797,341429,31151
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,93407,4057,339049,31518
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,95015,4199,354003,31687
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,96065,4237,346130,31671
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,93363,4030,354491,31686
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,90497,3836,343688,31395
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,92953,4028,351074,31610
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,91718,3973,336486,31089
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,94804,3995,349547,31717
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,89148,3770,258666,31289
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,89226,3793,259155,31121
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,96164,4248,343261,31288
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,95902,4252,440611,31457
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,89062,3783,354553,31334
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,96231,4197,341979,31610
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,98069,4129,347961,40438
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,88526,3759,351379,31090
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,89308,3789,354431,31350
NBody parallel iterator,dahu-9.grenoble.grid5000.fr,25,89569,3809,344542,31686
