name,machine_id,cpu_time_us,package_energy,core_energy
MergeSort,dahu-13.grenoble.grid5000.fr,58329,970700,74542
FrogJump,dahu-13.grenoble.grid5000.fr,556778,9073219,872605
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72808,4806690,561908
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,109441,1045286,133095
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,5539803,57946446,6795449
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,43663,576293,66815
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,84293,974180,110298
NBody sequential,dahu-13.grenoble.grid5000.fr,35839,1856135,147109
QuickSort,dahu-13.grenoble.grid5000.fr,39988,535948,61369
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,5277,56397,7665
MergeSort,dahu-13.grenoble.grid5000.fr,53641,934141,108003
FrogJump,dahu-13.grenoble.grid5000.fr,708433,10941623,1218140
Life - sequential generation,dahu-13.grenoble.grid5000.fr,73393,3850393,309137
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,109354,1224301,142565
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,8377445,91389842,10272818
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,42242,597045,61873
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,83830,1151608,116892
NBody sequential,dahu-13.grenoble.grid5000.fr,36417,1812739,146696
QuickSort,dahu-13.grenoble.grid5000.fr,39311,587950,58155
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3991,62928,7665
MergeSort,dahu-13.grenoble.grid5000.fr,51091,1007138,103091
FrogJump,dahu-13.grenoble.grid5000.fr,790535,13456509,1530490
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72903,4726734,540289
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,113810,1493343,157697
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,7426446,93309758,10824918
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,44689,590635,54116
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,81633,1350033,125689
NBody sequential,dahu-13.grenoble.grid5000.fr,35666,1861568,177220
QuickSort,dahu-13.grenoble.grid5000.fr,40264,520934,68528
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4722,63293,7757
