name,machine_id,cpu_time_us,package_energy,core_energy
MergeSort,dahu-13.grenoble.grid5000.fr,53974,860410,69631
FrogJump,dahu-13.grenoble.grid5000.fr,555271,10217442,1030868
Life - sequential generation,dahu-13.grenoble.grid5000.fr,102058,4873340,552039
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,88555,1159910,124970
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,4323147,53727706,6471457
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,35726,707335,84853
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,78066,1190060,131779
NBody sequential,dahu-13.grenoble.grid5000.fr,43502,2161249,252680
QuickSort,dahu-13.grenoble.grid5000.fr,44570,701292,92305
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4151,122009,15468
MergeSort,dahu-13.grenoble.grid5000.fr,50611,969297,115531
FrogJump,dahu-13.grenoble.grid5000.fr,1943101,15049583,1841661
Life - sequential generation,dahu-13.grenoble.grid5000.fr,96196,4880481,607257
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,96746,1439999,174450
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,5639221,88878129,9920749
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,36407,758360,84900
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,79297,1349484,123333
NBody sequential,dahu-13.grenoble.grid5000.fr,46792,2151545,276731
QuickSort,dahu-13.grenoble.grid5000.fr,45002,850767,92029
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4607,59692,15423
MergeSort,dahu-13.grenoble.grid5000.fr,50485,1125912,123242
FrogJump,dahu-13.grenoble.grid5000.fr,845543,17397966,2083447
Life - sequential generation,dahu-13.grenoble.grid5000.fr,98435,4754321,605803
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,89820,1558467,165683
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,6518049,89950270,10073413
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,51795,686644,69630
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,79865,1392636,140561
NBody sequential,dahu-13.grenoble.grid5000.fr,46372,2212275,276930
QuickSort,dahu-13.grenoble.grid5000.fr,43908,763426,84625
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3991,57739,7895
MergeSort,dahu-13.grenoble.grid5000.fr,50759,1042356,115668
FrogJump,dahu-13.grenoble.grid5000.fr,827873,16446491,1984915
Life - sequential generation,dahu-13.grenoble.grid5000.fr,98878,4563099,585210
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,82983,1560970,165592
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,6571292,100618761,11564367
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,30781,776731,79942
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,81876,1344296,132681
NBody sequential,dahu-13.grenoble.grid5000.fr,45956,2104976,269081
QuickSort,dahu-13.grenoble.grid5000.fr,44467,761411,84732
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3369,67993,7711
MergeSort,dahu-13.grenoble.grid5000.fr,47796,980955,107666
FrogJump,dahu-13.grenoble.grid5000.fr,820230,15719930,1896159
Life - sequential generation,dahu-13.grenoble.grid5000.fr,98157,4665760,592615
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,95715,1572322,166204
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,7567580,105031409,11979870
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,41626,708311,69738
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,81914,1290463,125490
NBody sequential,dahu-13.grenoble.grid5000.fr,44371,2327081,276823
