name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,68411,15921,1263485,106166
FrogJump,dahu-10.grenoble.grid5000.fr,698977,134208,10844394,1030547
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73039,73164,4499378,511235
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,182143,15678,1522884,112777
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,44602,4002,405334,28458
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,112191,10104,1163815,70870
NBody sequential,dahu-10.grenoble.grid5000.fr,30684,30764,1824397,186721
QuickSort,dahu-10.grenoble.grid5000.fr,48446,6777,482482,33644
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,5320,1256,74829,7207
MergeSort,dahu-10.grenoble.grid5000.fr,65476,16497,1210202,102632
FrogJump,dahu-10.grenoble.grid5000.fr,696107,139534,11015963,1073601
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73313,73404,4521778,511969
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,175247,14878,1497433,105432
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,46512,4131,468383,35572
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,121134,10471,1182492,70503
NBody sequential,dahu-10.grenoble.grid5000.fr,32007,32137,2100092,224083
QuickSort,dahu-10.grenoble.grid5000.fr,51840,7207,574217,51132
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,5743,1079,131103,14504
MergeSort,dahu-10.grenoble.grid5000.fr,64478,14418,1176999,106947
FrogJump,dahu-10.grenoble.grid5000.fr,701311,132533,10603977,1040109
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72902,73031,4434986,511250
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,173528,14747,1467648,105570
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,46612,4118,410583,28183
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,121120,10515,1136105,70272
