name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,110337,15690,857908,64995
FrogJump,dahu-10.grenoble.grid5000.fr,1228285,145841,9084388,1076385
Life - sequential generation,dahu-10.grenoble.grid5000.fr,374091,79106,5622667,559858
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,668445,23596,1725642,172155
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,115471,3347,272399,22567
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,308947,10645,848874,74082
NBody sequential,dahu-10.grenoble.grid5000.fr,182346,36866,2685785,266786
QuickSort,dahu-10.grenoble.grid5000.fr,87414,8197,584105,60389
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,10265,1678,70252,7344
MergeSort,dahu-10.grenoble.grid5000.fr,107259,12475,834959,95319
FrogJump,dahu-10.grenoble.grid5000.fr,1360859,168974,11282197,1258287
Life - sequential generation,dahu-10.grenoble.grid5000.fr,375535,100417,5910141,711006
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,632050,20690,1587521,156167
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,102091,3036,260071,22889
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,302324,11062,854368,81105
NBody sequential,dahu-10.grenoble.grid5000.fr,188438,36975,2641351,255862
QuickSort,dahu-10.grenoble.grid5000.fr,87175,7615,518065,52846
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8620,1419,120300,7482
MergeSort,dahu-10.grenoble.grid5000.fr,110489,13110,798521,93912
FrogJump,dahu-10.grenoble.grid5000.fr,1367733,160010,10457126,1191732
Life - sequential generation,dahu-10.grenoble.grid5000.fr,377782,100188,5907944,709660
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,653515,21889,1657650,161782
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,104079,3077,252319,22981
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,284561,9677,814878,73761
NBody sequential,dahu-10.grenoble.grid5000.fr,177604,47592,2842461,328200
QuickSort,dahu-10.grenoble.grid5000.fr,82179,7772,555114,60817
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,8410,1185,52307,7253
MergeSort,dahu-10.grenoble.grid5000.fr,96545,12170,845335,95196
FrogJump,dahu-10.grenoble.grid5000.fr,1358065,169975,10911044,1251754
Life - sequential generation,dahu-10.grenoble.grid5000.fr,386604,100715,6084213,710685
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,622160,19601,1602352,149358
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,104204,3087,250549,23179
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,263970,7697,656492,52020
NBody sequential,dahu-10.grenoble.grid5000.fr,193485,37252,2747186,262089
QuickSort,dahu-10.grenoble.grid5000.fr,79972,7410,543822,53458
