name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,77833,77961,4882128,550204
NBody sequential,dahu-10.grenoble.grid5000.fr,33907,34036,2052852,232300
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71731,71860,4309193,505038
NBody sequential,dahu-10.grenoble.grid5000.fr,33527,33659,2041254,231427
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72035,72168,4312428,503799
NBody sequential,dahu-10.grenoble.grid5000.fr,33428,33555,2098140,239139
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72141,72268,4300953,506277
NBody sequential,dahu-10.grenoble.grid5000.fr,33426,33551,2104182,239644
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72074,72198,4349598,506690
NBody sequential,dahu-10.grenoble.grid5000.fr,33439,33563,2016230,231918
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72232,72321,4316944,506139
NBody sequential,dahu-10.grenoble.grid5000.fr,33442,33572,2018488,232163
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72190,72269,4315296,503340
NBody sequential,dahu-10.grenoble.grid5000.fr,33514,33642,2048884,231428
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72183,72269,4288930,505084
NBody sequential,dahu-10.grenoble.grid5000.fr,33503,33594,2098505,232254
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71822,71913,4244801,498061
NBody sequential,dahu-10.grenoble.grid5000.fr,33430,33521,2031183,231612
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71624,71752,4305226,505497
NBody sequential,dahu-10.grenoble.grid5000.fr,33635,33766,2129267,239552
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71643,71732,4243031,499575
NBody sequential,dahu-10.grenoble.grid5000.fr,33434,33561,2027644,231979
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71997,72126,4290150,504992
NBody sequential,dahu-10.grenoble.grid5000.fr,33593,33726,2033381,232208
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72082,72218,4380787,506645
NBody sequential,dahu-10.grenoble.grid5000.fr,33699,33826,2073420,232116
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71334,71423,4254567,498153
NBody sequential,dahu-10.grenoble.grid5000.fr,33423,33511,2039362,231382
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71712,71845,4238881,498796
NBody sequential,dahu-10.grenoble.grid5000.fr,33592,33721,2097773,239414
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71489,71578,4320973,506920
NBody sequential,dahu-10.grenoble.grid5000.fr,33424,33511,2085810,238588
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72151,72279,4309193,506552
NBody sequential,dahu-10.grenoble.grid5000.fr,33486,33565,2038203,232483
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72020,72099,4307972,505680
NBody sequential,dahu-10.grenoble.grid5000.fr,33419,33510,2027522,232070
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72235,72357,4371144,505497
NBody sequential,dahu-10.grenoble.grid5000.fr,33419,33510,2052668,232208
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72259,72387,4303334,505864
NBody sequential,dahu-10.grenoble.grid5000.fr,33519,33613,2116022,238053
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71927,72035,4245900,497785
NBody sequential,dahu-10.grenoble.grid5000.fr,33426,33519,2049006,230280
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72071,72159,4322316,504671
NBody sequential,dahu-10.grenoble.grid5000.fr,33430,33557,2117243,238772
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71756,71851,4241689,497908
NBody sequential,dahu-10.grenoble.grid5000.fr,33420,33511,2035212,231565
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71775,71859,4288258,505588
NBody sequential,dahu-10.grenoble.grid5000.fr,33434,33510,2094050,238772
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72538,72666,4387074,511831
NBody sequential,dahu-10.grenoble.grid5000.fr,33483,33612,2095820,238680
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72208,72333,4308216,504976
