name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,78360,78497,4843982,548092
NBody sequential,dahu-10.grenoble.grid5000.fr,34392,34520,2140498,239369
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72709,72802,4386891,511602
NBody sequential,dahu-10.grenoble.grid5000.fr,33605,33737,2121455,238588
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72260,72383,4300160,503661
NBody sequential,dahu-10.grenoble.grid5000.fr,33470,33599,2039362,238772
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72846,72969,4362355,516130
NBody sequential,dahu-10.grenoble.grid5000.fr,33806,33935,2106196,239873
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72709,72833,4400502,517018
NBody sequential,dahu-10.grenoble.grid5000.fr,33557,33686,2069391,233891
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73192,73319,4390980,517522
NBody sequential,dahu-10.grenoble.grid5000.fr,33522,33651,2055903,232896
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73338,73418,4384938,515258
NBody sequential,dahu-10.grenoble.grid5000.fr,33976,34103,2140681,239920
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73165,73291,4349598,516971
NBody sequential,dahu-10.grenoble.grid5000.fr,33671,33799,2115900,240332
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72438,72566,4393544,517431
NBody sequential,dahu-10.grenoble.grid5000.fr,33686,33817,2110895,241067
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73041,73182,4364369,517431
NBody sequential,dahu-10.grenoble.grid5000.fr,33586,33675,2148127,240470
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73032,73157,4429799,517936
NBody sequential,dahu-10.grenoble.grid5000.fr,33691,33781,2137567,241663
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72837,72927,4351979,508113
NBody sequential,dahu-10.grenoble.grid5000.fr,33585,33681,2035578,232070
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72381,72508,4333180,507654
NBody sequential,dahu-10.grenoble.grid5000.fr,33588,33723,2069941,239552
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73013,73100,4367359,516604
NBody sequential,dahu-10.grenoble.grid5000.fr,33582,33674,2072565,233861
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73666,73760,4443104,525004
NBody sequential,dahu-10.grenoble.grid5000.fr,33773,33861,2098322,239690
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72923,73057,4366749,516788
NBody sequential,dahu-10.grenoble.grid5000.fr,33734,33824,2144831,241740
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72961,73051,4351674,509367
NBody sequential,dahu-10.grenoble.grid5000.fr,33549,33638,2068293,233218
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73493,73624,4383472,514753
NBody sequential,dahu-10.grenoble.grid5000.fr,33795,33885,2140925,240516
