name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,9,90933,25771,2411921,218790
MergeSort,dahu-6.grenoble.grid5000.fr,9,87686,21652,2057185,193376
MergeSort,dahu-6.grenoble.grid5000.fr,9,87521,24284,2319330,209075
MergeSort,dahu-6.grenoble.grid5000.fr,9,87953,22491,2119989,189628
MergeSort,dahu-6.grenoble.grid5000.fr,9,86919,21818,2126521,190761
MergeSort,dahu-6.grenoble.grid5000.fr,9,87426,21972,2132319,190822
MergeSort,dahu-6.grenoble.grid5000.fr,9,88522,22880,2217829,199757
MergeSort,dahu-6.grenoble.grid5000.fr,9,88795,23091,2220758,199405
MergeSort,dahu-6.grenoble.grid5000.fr,9,87911,24108,2306390,208172
MergeSort,dahu-6.grenoble.grid5000.fr,9,88356,23964,2305720,208187
MergeSort,dahu-6.grenoble.grid5000.fr,9,88009,23658,2216303,199803
MergeSort,dahu-6.grenoble.grid5000.fr,9,86850,22170,2122370,190087
MergeSort,dahu-6.grenoble.grid5000.fr,9,86543,21571,2033686,182115
MergeSort,dahu-6.grenoble.grid5000.fr,9,88355,22785,2098445,199726
MergeSort,dahu-6.grenoble.grid5000.fr,9,87654,22595,2197016,191020
MergeSort,dahu-6.grenoble.grid5000.fr,9,87207,22088,2121760,190975
MergeSort,dahu-6.grenoble.grid5000.fr,9,87074,22594,2222711,198885
MergeSort,dahu-6.grenoble.grid5000.fr,9,88288,25765,2498773,225874
MergeSort,dahu-6.grenoble.grid5000.fr,9,88116,23425,2309564,208157
MergeSort,dahu-6.grenoble.grid5000.fr,9,87468,23953,2308832,199665
MergeSort,dahu-6.grenoble.grid5000.fr,9,88610,23887,2308771,208172
MergeSort,dahu-6.grenoble.grid5000.fr,9,87970,23156,2216242,200017
MergeSort,dahu-6.grenoble.grid5000.fr,9,87796,23022,2226313,199802
MergeSort,dahu-6.grenoble.grid5000.fr,9,87054,22163,2112543,191372
MergeSort,dahu-6.grenoble.grid5000.fr,9,86992,22101,2125605,191066
MergeSort,dahu-6.grenoble.grid5000.fr,9,88484,22603,2216975,199389
MergeSort,dahu-6.grenoble.grid5000.fr,9,87830,23773,2318720,199680
MergeSort,dahu-6.grenoble.grid5000.fr,9,87913,22175,2121882,191036
MergeSort,dahu-6.grenoble.grid5000.fr,9,87863,23611,2308282,208584
MergeSort,dahu-6.grenoble.grid5000.fr,9,87721,22701,2220636,199466
FrogJump,dahu-6.grenoble.grid5000.fr,9,1071632,220986,21281196,1993131
FrogJump,dahu-6.grenoble.grid5000.fr,9,2840815,571998,55174541,5158854
FrogJump,dahu-6.grenoble.grid5000.fr,9,1051377,212892,20487619,1907681
FrogJump,dahu-6.grenoble.grid5000.fr,9,1078433,222153,21336432,1984731
FrogJump,dahu-6.grenoble.grid5000.fr,9,1065585,225885,21760260,2037670
FrogJump,dahu-6.grenoble.grid5000.fr,9,1064754,226515,21854863,2047078
FrogJump,dahu-6.grenoble.grid5000.fr,9,1073786,229049,22026555,2047385
FrogJump,dahu-6.grenoble.grid5000.fr,9,2857572,570857,54959148,5097195
FrogJump,dahu-6.grenoble.grid5000.fr,9,1068752,222593,21327032,1992029
FrogJump,dahu-6.grenoble.grid5000.fr,9,1058471,230785,22197636,2067917
FrogJump,dahu-6.grenoble.grid5000.fr,9,1096339,231391,22457401,2117933
FrogJump,dahu-6.grenoble.grid5000.fr,9,1078643,217094,20926216,1969676
FrogJump,dahu-6.grenoble.grid5000.fr,9,1065987,220722,21288459,1994569
FrogJump,dahu-6.grenoble.grid5000.fr,9,1079483,223209,21536077,2020151
FrogJump,dahu-6.grenoble.grid5000.fr,9,1062129,223593,21537665,2015133
FrogJump,dahu-6.grenoble.grid5000.fr,9,1067647,215938,20763435,1947522
FrogJump,dahu-6.grenoble.grid5000.fr,9,1067678,221275,21246040,2002220
FrogJump,dahu-6.grenoble.grid5000.fr,9,1072289,228991,22116887,2072446
FrogJump,dahu-6.grenoble.grid5000.fr,9,1083011,217579,20880683,1958996
FrogJump,dahu-6.grenoble.grid5000.fr,9,1924884,395447,38113428,3571662
