name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,56,126274,15795,1478573,134503
MergeSort,dahu-6.grenoble.grid5000.fr,56,127234,14500,1462033,133645
MergeSort,dahu-6.grenoble.grid5000.fr,56,122437,14980,1463009,133003
MergeSort,dahu-6.grenoble.grid5000.fr,56,133128,15113,1471859,133599
MergeSort,dahu-6.grenoble.grid5000.fr,56,124743,14959,1462460,143544
MergeSort,dahu-6.grenoble.grid5000.fr,56,125768,14898,1469296,133921
MergeSort,dahu-6.grenoble.grid5000.fr,56,124152,14599,1375424,132299
MergeSort,dahu-6.grenoble.grid5000.fr,56,127280,14941,1484798,141632
MergeSort,dahu-6.grenoble.grid5000.fr,56,123607,14822,1473385,133033
MergeSort,dahu-6.grenoble.grid5000.fr,56,128932,14717,1467952,132131
MergeSort,dahu-6.grenoble.grid5000.fr,56,124426,14604,1465450,131733
MergeSort,dahu-6.grenoble.grid5000.fr,56,126237,14365,1487118,142320
MergeSort,dahu-6.grenoble.grid5000.fr,56,132006,15440,1565731,141586
MergeSort,dahu-6.grenoble.grid5000.fr,56,123992,14940,1460995,123502
MergeSort,dahu-6.grenoble.grid5000.fr,56,117127,14680,1373409,123196
MergeSort,dahu-6.grenoble.grid5000.fr,56,125824,14415,1370114,123915
MergeSort,dahu-6.grenoble.grid5000.fr,56,120222,14728,1463680,131977
MergeSort,dahu-6.grenoble.grid5000.fr,56,125426,14363,1373714,123456
MergeSort,dahu-6.grenoble.grid5000.fr,56,126026,14964,1456723,132009
MergeSort,dahu-6.grenoble.grid5000.fr,56,125485,14476,1375485,122951
MergeSort,dahu-6.grenoble.grid5000.fr,56,123888,14294,1372433,123348
MergeSort,dahu-6.grenoble.grid5000.fr,56,130589,14533,1378231,132896
MergeSort,dahu-6.grenoble.grid5000.fr,56,126729,14709,1465939,132743
MergeSort,dahu-6.grenoble.grid5000.fr,56,121676,14366,1462398,131825
MergeSort,dahu-6.grenoble.grid5000.fr,56,120920,15180,1462948,132605
MergeSort,dahu-6.grenoble.grid5000.fr,56,123198,14479,1376889,132024
MergeSort,dahu-6.grenoble.grid5000.fr,56,123407,14753,1462521,124144
MergeSort,dahu-6.grenoble.grid5000.fr,56,124641,14368,1467220,132406
MergeSort,dahu-6.grenoble.grid5000.fr,56,124029,14503,1379391,124221
MergeSort,dahu-6.grenoble.grid5000.fr,56,122204,14399,1369931,123440
FrogJump,dahu-6.grenoble.grid5000.fr,56,1976423,203022,19721385,1861046
FrogJump,dahu-6.grenoble.grid5000.fr,56,2025185,215049,20902229,1972614
FrogJump,dahu-6.grenoble.grid5000.fr,56,1928098,197313,19197583,1816952
FrogJump,dahu-6.grenoble.grid5000.fr,56,1969602,206183,20187693,1940285
FrogJump,dahu-6.grenoble.grid5000.fr,56,2008509,208915,20309762,1903397
FrogJump,dahu-6.grenoble.grid5000.fr,56,2008261,204237,19918345,1880002
FrogJump,dahu-6.grenoble.grid5000.fr,56,3531109,324346,31711101,2986790
FrogJump,dahu-6.grenoble.grid5000.fr,56,1979314,210486,20444650,1930508
FrogJump,dahu-6.grenoble.grid5000.fr,56,1973921,202449,19682627,1860190
FrogJump,dahu-6.grenoble.grid5000.fr,56,1916014,195236,19016919,1807695
FrogJump,dahu-6.grenoble.grid5000.fr,56,1963180,203490,19882640,1888662
FrogJump,dahu-6.grenoble.grid5000.fr,56,2022034,203084,20058481,1942763
FrogJump,dahu-6.grenoble.grid5000.fr,56,2025825,216178,21017463,1990362
FrogJump,dahu-6.grenoble.grid5000.fr,56,2001638,207178,20065745,1916876
FrogJump,dahu-6.grenoble.grid5000.fr,56,1959868,198770,19470043,1853917
FrogJump,dahu-6.grenoble.grid5000.fr,56,2027564,208603,20458078,1950413
FrogJump,dahu-6.grenoble.grid5000.fr,56,1980902,207799,20305734,1934150
FrogJump,dahu-6.grenoble.grid5000.fr,56,1975037,208623,20221018,1894737
FrogJump,dahu-6.grenoble.grid5000.fr,56,5390555,489904,47930663,4480283
FrogJump,dahu-6.grenoble.grid5000.fr,56,1955715,200358,19679332,1879253
FrogJump,dahu-6.grenoble.grid5000.fr,56,1981789,202046,19816966,1880339
FrogJump,dahu-6.grenoble.grid5000.fr,56,1997435,202940,19896067,1907910
FrogJump,dahu-6.grenoble.grid5000.fr,56,2009266,207021,20138804,1908139
FrogJump,dahu-6.grenoble.grid5000.fr,56,2007885,209926,20406991,1936949
FrogJump,dahu-6.grenoble.grid5000.fr,56,2021765,210772,20526803,1944324
FrogJump,dahu-6.grenoble.grid5000.fr,56,2031436,212804,20739022,1945151
FrogJump,dahu-6.grenoble.grid5000.fr,56,1980925,210107,20513681,1946696
FrogJump,dahu-6.grenoble.grid5000.fr,56,1968235,201921,19723644,1865177
FrogJump,dahu-6.grenoble.grid5000.fr,56,1915768,194675,18967115,1797030
FrogJump,dahu-6.grenoble.grid5000.fr,56,2005544,205645,20063548,1894523
Life - sequential generation,dahu-6.grenoble.grid5000.fr,56,149680,149717,14075099,1290984
Life - sequential generation,dahu-6.grenoble.grid5000.fr,56,149505,149525,14062525,1290234
Life - sequential generation,dahu-6.grenoble.grid5000.fr,56,149515,149536,14068019,1289606
Life - sequential generation,dahu-6.grenoble.grid5000.fr,56,149605,149628,14061609,1290601
Life - sequential generation,dahu-6.grenoble.grid5000.fr,56,149804,149826,14054652,1299750
Life - sequential generation,dahu-6.grenoble.grid5000.fr,56,149366,149387,13987147,1291534
