name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,15,101256,23940,2364923,212578
MergeSort,dahu-6.grenoble.grid5000.fr,15,97728,22274,2285883,201960
MergeSort,dahu-6.grenoble.grid5000.fr,15,98360,23758,2265863,200537
MergeSort,dahu-6.grenoble.grid5000.fr,15,97523,21547,2172175,192367
MergeSort,dahu-6.grenoble.grid5000.fr,15,96652,21178,2086665,182896
MergeSort,dahu-6.grenoble.grid5000.fr,15,95700,22181,2175470,191373
MergeSort,dahu-6.grenoble.grid5000.fr,15,96325,24764,2460260,217474
MergeSort,dahu-6.grenoble.grid5000.fr,15,97313,21692,2083918,182468
MergeSort,dahu-6.grenoble.grid5000.fr,15,97815,23387,2365899,208340
MergeSort,dahu-6.grenoble.grid5000.fr,15,98365,22355,2179133,190975
MergeSort,dahu-6.grenoble.grid5000.fr,15,97284,22194,2177484,191403
MergeSort,dahu-6.grenoble.grid5000.fr,15,96388,22264,2172541,191908
MergeSort,dahu-6.grenoble.grid5000.fr,15,95865,21207,2077693,183324
MergeSort,dahu-6.grenoble.grid5000.fr,15,97154,21670,2170771,191586
MergeSort,dahu-6.grenoble.grid5000.fr,15,97013,23529,2271784,199711
MergeSort,dahu-6.grenoble.grid5000.fr,15,96699,22049,2165582,191648
MergeSort,dahu-6.grenoble.grid5000.fr,15,97848,22296,2179255,190974
MergeSort,dahu-6.grenoble.grid5000.fr,15,96291,23162,2259393,199940
MergeSort,dahu-6.grenoble.grid5000.fr,15,97762,20926,2073786,183707
MergeSort,dahu-6.grenoble.grid5000.fr,15,94712,21564,2081843,191021
MergeSort,dahu-6.grenoble.grid5000.fr,15,95637,23079,2271417,200415
MergeSort,dahu-6.grenoble.grid5000.fr,15,95403,20975,2084040,183921
MergeSort,dahu-6.grenoble.grid5000.fr,15,99891,23445,2373773,212410
MergeSort,dahu-6.grenoble.grid5000.fr,15,95576,21645,2088190,183600
MergeSort,dahu-6.grenoble.grid5000.fr,15,96878,22759,2267817,200155
MergeSort,dahu-6.grenoble.grid5000.fr,15,96890,20448,1959345,174512
MergeSort,dahu-6.grenoble.grid5000.fr,15,94870,22401,2163935,199711
MergeSort,dahu-6.grenoble.grid5000.fr,15,96737,21507,2170771,191204
MergeSort,dahu-6.grenoble.grid5000.fr,15,98252,23706,2364252,199374
MergeSort,dahu-6.grenoble.grid5000.fr,15,97917,22176,2174921,191280
MergeSort,dahu-6.grenoble.grid5000.fr,15,96337,24764,2441400,217413
MergeSort,dahu-6.grenoble.grid5000.fr,15,98205,20777,1993770,173456
MergeSort,dahu-6.grenoble.grid5000.fr,15,96547,21279,2166925,182958
MergeSort,dahu-6.grenoble.grid5000.fr,15,95976,21566,2075801,182545
MergeSort,dahu-6.grenoble.grid5000.fr,15,97031,23374,2267695,199941
MergeSort,dahu-6.grenoble.grid5000.fr,15,94918,21502,2179071,191862
MergeSort,dahu-6.grenoble.grid5000.fr,15,95420,20883,2083307,181642
MergeSort,dahu-6.grenoble.grid5000.fr,15,96476,21073,2085078,182835
MergeSort,dahu-6.grenoble.grid5000.fr,15,96594,21429,2079035,182544
MergeSort,dahu-6.grenoble.grid5000.fr,15,96523,21342,2086359,182360
MergeSort,dahu-6.grenoble.grid5000.fr,15,96706,23367,2274713,199543
MergeSort,dahu-6.grenoble.grid5000.fr,15,98505,23719,2373224,199435
MergeSort,dahu-6.grenoble.grid5000.fr,15,97340,21967,2204096,190714
MergeSort,dahu-6.grenoble.grid5000.fr,15,96894,21219,2072932,182804
MergeSort,dahu-6.grenoble.grid5000.fr,15,98362,22128,2182245,192138
MergeSort,dahu-6.grenoble.grid5000.fr,15,96113,21608,2086176,181993
MergeSort,dahu-6.grenoble.grid5000.fr,15,96291,21638,2165766,191266
MergeSort,dahu-6.grenoble.grid5000.fr,15,96516,25047,2458124,217948
MergeSort,dahu-6.grenoble.grid5000.fr,15,97158,23623,2365106,208891
MergeSort,dahu-6.grenoble.grid5000.fr,15,96414,20573,2070734,182391
FrogJump,dahu-6.grenoble.grid5000.fr,15,960904,166190,16439777,1544504
FrogJump,dahu-6.grenoble.grid5000.fr,15,937877,154006,15347007,1427796
FrogJump,dahu-6.grenoble.grid5000.fr,15,958855,161577,16029134,1500104
FrogJump,dahu-6.grenoble.grid5000.fr,15,956370,168504,16622211,1558672
FrogJump,dahu-6.grenoble.grid5000.fr,15,951644,154733,15371237,1435523
FrogJump,dahu-6.grenoble.grid5000.fr,15,946602,162363,16042195,1498131
FrogJump,dahu-6.grenoble.grid5000.fr,15,2661293,405315,40423969,3840178
FrogJump,dahu-6.grenoble.grid5000.fr,15,952026,182580,17934768,1677584
FrogJump,dahu-6.grenoble.grid5000.fr,15,951712,164828,16323505,1529082
FrogJump,dahu-6.grenoble.grid5000.fr,15,949453,169518,16708270,1578638
FrogJump,dahu-6.grenoble.grid5000.fr,15,943327,161889,16061604,1502414
FrogJump,dahu-6.grenoble.grid5000.fr,15,1168617,192582,18556410,1804023
FrogJump,dahu-6.grenoble.grid5000.fr,15,982376,178913,17638688,1650243
FrogJump,dahu-6.grenoble.grid5000.fr,15,946666,168154,16690875,1564226
FrogJump,dahu-6.grenoble.grid5000.fr,15,1024801,185829,18286452,1735677
FrogJump,dahu-6.grenoble.grid5000.fr,15,1069753,185032,18166274,1735463
FrogJump,dahu-6.grenoble.grid5000.fr,15,956006,170597,16872393,1574202
FrogJump,dahu-6.grenoble.grid5000.fr,15,968739,184228,18289748,1704833
FrogJump,dahu-6.grenoble.grid5000.fr,15,946502,161006,15958516,1493494
FrogJump,dahu-6.grenoble.grid5000.fr,15,956628,164602,16313618,1532356
FrogJump,dahu-6.grenoble.grid5000.fr,15,950182,163992,16238484,1522182
FrogJump,dahu-6.grenoble.grid5000.fr,15,966220,176739,17448380,1637208
FrogJump,dahu-6.grenoble.grid5000.fr,15,950113,171821,16974077,1591705
FrogJump,dahu-6.grenoble.grid5000.fr,15,957331,164548,16311237,1527032
FrogJump,dahu-6.grenoble.grid5000.fr,15,994355,169610,16706622,1582540
FrogJump,dahu-6.grenoble.grid5000.fr,15,1163428,207240,19914622,1930952
FrogJump,dahu-6.grenoble.grid5000.fr,15,954833,177971,17532731,1635632
FrogJump,dahu-6.grenoble.grid5000.fr,15,946981,165603,16396869,1541873
FrogJump,dahu-6.grenoble.grid5000.fr,15,1076716,192032,18859510,1803824
FrogJump,dahu-6.grenoble.grid5000.fr,15,951260,162940,16097860,1510232
FrogJump,dahu-6.grenoble.grid5000.fr,15,1043588,185854,18230606,1717839
FrogJump,dahu-6.grenoble.grid5000.fr,15,941943,168708,16590900,1559131
FrogJump,dahu-6.grenoble.grid5000.fr,15,1705050,286228,28340076,2652393
FrogJump,dahu-6.grenoble.grid5000.fr,15,952315,162905,16132405,1514838
FrogJump,dahu-6.grenoble.grid5000.fr,15,942209,157896,15650655,1472962
FrogJump,dahu-6.grenoble.grid5000.fr,15,957161,158807,15720968,1483014
FrogJump,dahu-6.grenoble.grid5000.fr,15,944549,164501,16285725,1529526
FrogJump,dahu-6.grenoble.grid5000.fr,15,956936,176411,17435929,1627415
FrogJump,dahu-6.grenoble.grid5000.fr,15,969003,170014,16798785,1574263
FrogJump,dahu-6.grenoble.grid5000.fr,15,939481,157005,15546469,1459039
FrogJump,dahu-6.grenoble.grid5000.fr,15,952601,164287,16245930,1520958
FrogJump,dahu-6.grenoble.grid5000.fr,15,950726,157499,15646445,1468035
FrogJump,dahu-6.grenoble.grid5000.fr,15,2486010,384310,38162744,3556699
FrogJump,dahu-6.grenoble.grid5000.fr,15,946008,164112,16212300,1517531
FrogJump,dahu-6.grenoble.grid5000.fr,15,936599,158032,15744772,1465495
