name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,41,97590,13428,996884,125399
MergeSort,dahu-6.grenoble.grid5000.fr,41,90164,13268,894590,82253
MergeSort,dahu-6.grenoble.grid5000.fr,41,94413,13635,873166,81105
MergeSort,dahu-6.grenoble.grid5000.fr,41,104475,13537,1141904,116081
MergeSort,dahu-6.grenoble.grid5000.fr,41,99080,13840,1178708,119692
MergeSort,dahu-6.grenoble.grid5000.fr,41,102771,13871,1281613,101393
MergeSort,dahu-6.grenoble.grid5000.fr,41,106443,13762,1211545,121390
MergeSort,dahu-6.grenoble.grid5000.fr,41,103958,13697,1108396,126577
MergeSort,dahu-6.grenoble.grid5000.fr,41,92021,13656,1296261,114000
MergeSort,dahu-6.grenoble.grid5000.fr,41,98852,12421,1238767,117152
MergeSort,dahu-6.grenoble.grid5000.fr,41,92045,12900,1263974,118927
MergeSort,dahu-6.grenoble.grid5000.fr,41,100765,12842,1251340,115989
MergeSort,dahu-6.grenoble.grid5000.fr,41,95761,12494,1127194,108814
MergeSort,dahu-6.grenoble.grid5000.fr,41,92277,12901,1262387,119616
MergeSort,dahu-6.grenoble.grid5000.fr,41,92240,12808,1137509,108462
MergeSort,dahu-6.grenoble.grid5000.fr,41,98910,14186,1414853,122400
MergeSort,dahu-6.grenoble.grid5000.fr,41,88695,12762,1149228,117306
MergeSort,dahu-6.grenoble.grid5000.fr,41,105250,12910,1130063,117550
MergeSort,dahu-6.grenoble.grid5000.fr,41,96075,14698,1449520,133952
MergeSort,dahu-6.grenoble.grid5000.fr,41,102715,12835,1072568,117794
MergeSort,dahu-6.grenoble.grid5000.fr,41,99428,13156,1206723,117351
MergeSort,dahu-6.grenoble.grid5000.fr,41,93443,12266,1126096,108110
MergeSort,dahu-6.grenoble.grid5000.fr,41,93148,14446,1395260,130616
MergeSort,dahu-6.grenoble.grid5000.fr,41,95517,12709,1080930,117504
MergeSort,dahu-6.grenoble.grid5000.fr,41,95386,12798,950681,87899
MergeSort,dahu-6.grenoble.grid5000.fr,41,97659,13033,1177365,118667
MergeSort,dahu-6.grenoble.grid5000.fr,41,95633,15024,973996,91999
MergeSort,dahu-6.grenoble.grid5000.fr,41,92421,12198,970700,99802
MergeSort,dahu-6.grenoble.grid5000.fr,41,103066,14718,1154172,131870
MergeSort,dahu-6.grenoble.grid5000.fr,41,123586,14125,1195432,127005
MergeSort,dahu-6.grenoble.grid5000.fr,41,97543,13916,1073056,126470
MergeSort,dahu-6.grenoble.grid5000.fr,41,94831,14301,1336056,133569
MergeSort,dahu-6.grenoble.grid5000.fr,41,99323,13773,1244199,121941
MergeSort,dahu-6.grenoble.grid5000.fr,41,101564,13996,1329342,124985
MergeSort,dahu-6.grenoble.grid5000.fr,41,94934,14053,1314511,113924
MergeSort,dahu-6.grenoble.grid5000.fr,41,93000,12486,1076901,111277
MergeSort,dahu-6.grenoble.grid5000.fr,41,105799,12908,998044,101515
MergeSort,dahu-6.grenoble.grid5000.fr,41,93627,12613,1037412,117473
MergeSort,dahu-6.grenoble.grid5000.fr,41,104514,13197,1017637,112990
MergeSort,dahu-6.grenoble.grid5000.fr,41,94901,12389,1206906,117596
MergeSort,dahu-6.grenoble.grid5000.fr,41,104608,13858,1208920,125047
MergeSort,dahu-6.grenoble.grid5000.fr,41,102922,12484,1174313,108431
MergeSort,dahu-6.grenoble.grid5000.fr,41,109191,14372,958005,97522
MergeSort,dahu-6.grenoble.grid5000.fr,41,97963,14059,1036558,117504
MergeSort,dahu-6.grenoble.grid5000.fr,41,90357,12173,1193295,122155
MergeSort,dahu-6.grenoble.grid5000.fr,41,89272,13048,1119809,98608
MergeSort,dahu-6.grenoble.grid5000.fr,41,96679,13414,1305295,120243
MergeSort,dahu-6.grenoble.grid5000.fr,41,93650,13349,1187863,121711
MergeSort,dahu-6.grenoble.grid5000.fr,41,97124,13403,1220883,125062
MergeSort,dahu-6.grenoble.grid5000.fr,41,101038,13393,1186459,126042
FrogJump,dahu-6.grenoble.grid5000.fr,41,1377015,155531,12285308,1373787
FrogJump,dahu-6.grenoble.grid5000.fr,41,1488052,151884,11477693,1164147
FrogJump,dahu-6.grenoble.grid5000.fr,41,1358852,153181,14274439,1394702
FrogJump,dahu-6.grenoble.grid5000.fr,41,2476720,260879,25560176,2347770
FrogJump,dahu-6.grenoble.grid5000.fr,41,1338538,146744,13889369,1279233
FrogJump,dahu-6.grenoble.grid5000.fr,41,1356430,156592,14993004,1381667
FrogJump,dahu-6.grenoble.grid5000.fr,41,1291157,138835,13999842,1313566
FrogJump,dahu-6.grenoble.grid5000.fr,41,1353966,149572,14500085,1378239
FrogJump,dahu-6.grenoble.grid5000.fr,41,1392212,158786,15099083,1411150
FrogJump,dahu-6.grenoble.grid5000.fr,41,1336650,144207,13831629,1261256
FrogJump,dahu-6.grenoble.grid5000.fr,41,1321206,150142,14185144,1337236
FrogJump,dahu-6.grenoble.grid5000.fr,41,1319383,145486,13976099,1303804
FrogJump,dahu-6.grenoble.grid5000.fr,41,1295412,140399,14032801,1340861
FrogJump,dahu-6.grenoble.grid5000.fr,41,1350632,149397,14541650,1409925
FrogJump,dahu-6.grenoble.grid5000.fr,41,1354072,150267,14545312,1330274
FrogJump,dahu-6.grenoble.grid5000.fr,41,1366149,155736,14700890,1398083
FrogJump,dahu-6.grenoble.grid5000.fr,41,1268642,136761,13336636,1214835
FrogJump,dahu-6.grenoble.grid5000.fr,41,1307788,145023,13961817,1290617
FrogJump,dahu-6.grenoble.grid5000.fr,41,1229642,136359,13606838,1281222
FrogJump,dahu-6.grenoble.grid5000.fr,41,1327158,151535,14666772,1416902
FrogJump,dahu-6.grenoble.grid5000.fr,41,1278729,142215,13847010,1261822
FrogJump,dahu-6.grenoble.grid5000.fr,41,1360892,147367,14117030,1346384
FrogJump,dahu-6.grenoble.grid5000.fr,41,1319041,150339,14318018,1325363
FrogJump,dahu-6.grenoble.grid5000.fr,41,1370518,149982,14208948,1304937
FrogJump,dahu-6.grenoble.grid5000.fr,41,1376103,150771,14297022,1341152
FrogJump,dahu-6.grenoble.grid5000.fr,41,1324456,145971,13922755,1285827
FrogJump,dahu-6.grenoble.grid5000.fr,41,1180621,136525,13855128,1269931
FrogJump,dahu-6.grenoble.grid5000.fr,41,1290905,142590,14125574,1337404
FrogJump,dahu-6.grenoble.grid5000.fr,41,1302222,141373,13693203,1258639
FrogJump,dahu-6.grenoble.grid5000.fr,41,1344040,152888,14468408,1347915
FrogJump,dahu-6.grenoble.grid5000.fr,41,1367792,153037,14241784,1341520
FrogJump,dahu-6.grenoble.grid5000.fr,41,1391153,154675,14933312,1447487
FrogJump,dahu-6.grenoble.grid5000.fr,41,1364268,147526,13838526,1302535
FrogJump,dahu-6.grenoble.grid5000.fr,41,1362055,147447,13980922,1290861
FrogJump,dahu-6.grenoble.grid5000.fr,41,1312704,150989,14496728,1338306
FrogJump,dahu-6.grenoble.grid5000.fr,41,1352570,152143,14391198,1356146
FrogJump,dahu-6.grenoble.grid5000.fr,41,1355327,151849,12849028,1393968
FrogJump,dahu-6.grenoble.grid5000.fr,41,1168778,132110,8490152,839496
FrogJump,dahu-6.grenoble.grid5000.fr,41,1356925,149453,12390960,1369763
FrogJump,dahu-6.grenoble.grid5000.fr,41,1293054,139389,10851657,1252917
FrogJump,dahu-6.grenoble.grid5000.fr,41,1329871,150647,12119292,1372854
FrogJump,dahu-6.grenoble.grid5000.fr,41,1317187,147637,12009186,1329921
FrogJump,dahu-6.grenoble.grid5000.fr,41,1307008,144873,11108431,1229737
FrogJump,dahu-6.grenoble.grid5000.fr,41,1396735,161820,13011319,1481668
FrogJump,dahu-6.grenoble.grid5000.fr,41,1310279,148096,11524934,1328086
FrogJump,dahu-6.grenoble.grid5000.fr,41,1325274,140912,11208589,1266993
FrogJump,dahu-6.grenoble.grid5000.fr,41,1322193,142951,12439665,1337098
